Name,Status,Population Census 1988-08-27,Population Census 2002-08-01,Population Census 2012-08-26,Unnamed: 5
Arusha,Region,744479,1288088,1694310,→
Arusha City,City,132861,281608,416442,→
Arusha Rural,District,...,...,323198,→
Karatu,District,111605,177951,230166,→
Longido,District,...,...,123153,→
Meru,District,...,...,268144,→
Monduli,District,...,...,158929,→
Ngorongoro,District,69101,129362,174278,→
Dar es Salaam,Region,1360850,2487288,4364541,→
Ilala Municipal,Municipality,331663,634924,1220611,→
Kinondoni Municipal,Municipality,627416,1083913,1775049,→
Temeke Municipal,Municipality,401786,768451,1368881,→
Dodoma,Region,1235328,1692025,2083588,→
Bahi,District,...,...,221645,→
Chamwino,District,...,...,330543,→
Chemba,District,...,...,235711,→
Dodoma Municipal,Municipality,202665,322811,410956,→
Kondoa,District,...,...,269704,→
Kongwa,District,163446,248656,309973,→
Mpwapwa,District,176051,253602,305056,→
Geita,Region,...,1337718,1739530,→
Bukombe,District,...,...,224542,→
Chato,District,...,...,365127,→
Geita,District,...,...,807619,→
Mbogwe,District,...,...,193922,→
Nyang'hwale,District,...,...,148320,→
Iringa,Region,...,840404,941238,→
Iringa Municipal,Municipality,84501,106371,151345,→
Iringa Rural,District,205504,245033,254032,→
Kilolo,District,156989,204372,218130,→
Mafinga Town,Town,...,...,51902,→
Mufindi,District,...,...,265829,→
Kagera,Region,...,1791451,2458023,→
Biharamulo,District,...,...,323486,→
Bukoba Municipal,Municipality,46503,80868,128796,→
Bukoba Rural,District,...,...,289697,→
Karagwe,District,...,...,332020,→
Kyerwa,District,...,...,321026,→
Missenyi,District,...,...,202632,→
Muleba,District,273329,385184,540310,→
Ngara,District,...,...,320056,→
Kaskazini Pemba [North Pemba],Region,137189,185326,211732,→
Micheweni,District,61064,83266,103816,→
Wete,District,76115,102060,107916,→
Kaskazini Unguja [North Zanzibar],Region,96989,136639,187455,→
Kaskazini A [North Unguja A],District,59990,84147,105780,→
Kaskazini B [North Unguja B],District,36999,52492,81675,→
Katavi,Region,...,408609,564604,→
Mlele,District,...,...,282568,→
Mpanda Rural,District,...,...,179136,→
Mpanda Town,Town,...,...,102900,→
Kigoma,Region,856770,1674047,2127930,→
Buhigwe,District,...,...,254342,→
Kakonko,District,...,...,167555,→
Kasulu Rural,District,...,...,425794,→
Kasulu Town,Town,...,...,208244,→
Kibondo,District,...,...,261331,→
Kigoma Rural,District,...,...,211566,→
Kigoma-Ujiji Municipal,Municipality,84704,144257,215458,→
Uvinza,District,...,...,383640,→
Kilimanjaro,Region,1104673,1376702,1640087,→
Hai,District,...,...,210533,→
Moshi Municipal,Municipality,96631,143799,184292,→
Moshi Rural,District,342891,401369,466737,→
Mwanga,District,97003,115145,131442,→
Rombo,District,200912,245716,260963,→
Same,District,169718,211738,269807,→
Siha,District,...,...,116313,→
Kusini Pemba [South Pemba],Region,127623,175471,195116,→
Chake Chake,District,60051,82998,97249,→
Mkoani,District,67572,92473,97867,→
Kusini Unguja [South Zanzibar],Region,70313,94244,115588,→
Kati [Central Unguja],District,45252,62391,76346,→
Kusini [South Unguja],District,25061,31853,39242,→
Lindi,Region,646494,787624,864652,→
Kilwa,District,150419,171057,190744,→
Lindi Municipal,Municipality,...,...,78841,→
Lindi Rural,District,...,...,194143,→
Liwale,District,52240,75128,91380,→
Nachingwea,District,117473,161473,178464,→
Ruangwa,District,86449,124009,131080,→
Manyara,Region,604035,1037605,1425131,→
Babati Rural,District,...,...,312392,→
Babati Town,Town,...,...,93108,→
Hanang,District,113270,204640,275990,→
Kiteto,District,74460,152296,244669,→
Mbulu,District,156058,237280,320279,→
Simanjiro,District,52895,141136,178693,→
Mara,Region,946418,1363397,1743830,→
Bunda,District,201164,258930,335061,→
Butiama,District,...,...,241732,→
Musoma Municipal,Municipality,68437,107855,134327,→
Musoma Rural,District,...,...,178356,→
Rorya,District,...,...,265241,→
Serengeti,District,111689,176057,249420,→
Tarime,District,...,...,339693,→
Mbeya,Region,...,1339848,1708548,→
Chunya,District,...,105882,156786,→
Kyela,District,135091,173830,221490,→
Mbarali,District,153182,234101,300517,→
Mbeya City,City,151881,265586,385279,→
Mbeya Rural,District,179900,254069,305319,→
Rungwe,District,271516,306380,339157,→
Mjini Magharibi [Urban West],Region,208571,390074,593678,→
Magharibi [Zanzibar West],District,50945,184204,370645,→
Mjini [Zanzibar City],Town,157626,205870,223033,→
Morogoro,Region,1220564,1753362,2218492,→
Gairo,District,...,...,193011,→
Kilombero,District,187593,321611,407880,→
Kilosa,District,...,...,438175,→
Morogoro Municipal,Municipality,117601,227921,315866,→
Morogoro Rural,District,225857,263012,286248,→
Mvomero,District,204345,259347,312109,→
Ulanga,District,138642,193280,265203,→
Mtwara,Region,889100,1124481,1270854,→
Masasi Rural,District,...,...,247993,→
Masasi Town,Town,...,...,102696,→
Mtwara Municipal,Municipality,76686,92156,108299,→
Mtwara Rural,District,169304,204157,228003,→
Nanyumbu,District,...,...,150857,→
Newala,District,161156,183344,205492,→
Tandahimba,District,146506,203837,227514,→
Mwanza,Region,...,2058866,2772509,→
Ilemela Municipal,Municipality,...,...,343001,→
Kwimba,District,236443,314925,406509,→
Magu,District,...,...,299759,→
Misungwi,District,191283,256133,351607,→
Nyamagana Municipal,Municipality,109985,209806,363452,→
Sengerema,District,303897,498993,663034,→
Ukerewe,District,172946,260831,345147,→
Njombe,Region,...,648464,702097,→
Ludewa,District,100206,128155,133218,→
Makambako Town,Town,...,...,93827,→
Makete,District,102617,105775,97266,→
Njombe Rural,District,...,...,85747,→
Njombe Town,Town,...,...,130223,→
Wanging'ombe,District,...,...,161816,→
Pwani,Region,636103,885017,1098668,→
Bagamoyo,District,173871,228967,311740,→
Kibaha,District,...,...,70209,→
Kibaha Town,Town,...,...,128488,→
Kisarawe,District,78290,95323,101598,→
Mafia,District,33079,40557,46438,→
Mkuranga,District,114973,186927,222921,→
Rufiji,District,153938,202001,217274,→
Rukwa,Region,...,729060,1004539,→
Kalambo,District,...,...,207700,→
Nkasi,District,107239,207311,281200,→
Sumbawanga Municipal,Municipality,90703,146842,209793,→
Sumbawanga Rural,District,...,...,305846,→
Ruvuma,Region,779875,1113715,1376891,→
Mbinga,District,...,...,353683,→
Namtumbo,District,137038,175051,201639,→
Nyasa,District,...,...,146160,→
Songea Municipal,Municipality,...,...,203309,→
Songea Rural,District,...,...,173821,→
Tunduru,District,170320,247055,298279,→
Shinyanga,Region,...,1249226,1534808,→
Kahama Rural,District,...,...,523802,→
Kahama Town,Town,...,...,242208,→
Kishapu,District,192549,239305,272990,→
Shinyanga Municipal,Municipality,98682,134523,161391,→
Shinyanga Rural,District,212847,276393,334417,→
Simiyu,Region,...,1317879,1584157,→
Bariadi,District,...,...,422916,→
Busega,District,...,...,203597,→
Itilima,District,...,...,313900,→
Maswa,District,220432,304402,344125,→
Meatu,District,159272,248214,299619,→
Singida,Region,792387,1086748,1370637,→
Ikungi,District,...,...,272959,→
Iramba,District,...,...,236282,→
Manyoni,District,135390,204482,296763,→
Mkalama,District,...,...,188733,→
Singida Municipal,Municipality,81528,114853,150379,→
Singida Rural,District,...,...,225521,→
Songwe,Region,...,723480,998862,→
Ileje,District,88562,109847,124451,→
Mbozi,District,...,...,446339,→
Momba,District,...,...,196818,→
Songwe (← Chunya),District,...,100033,133692,→
Tunduma Town,Town,...,...,97562,→
Tabora,Region,1036150,1710465,2291623,→
Igunga,District,203367,324094,399727,→
Kaliua,District,...,...,393358,→
Nzega,District,296085,415203,502252,→
Sikonge,District,78633,132733,179883,→
Tabora Municipal,Municipality,143148,188005,226999,→
Urambo,District,...,...,192781,→
Uyui,District,126836,281101,396623,→
Tanga,Region,1280212,1636280,2045205,→
Handeni Rural,District,...,...,276646,→
Handeni Town,Town,...,...,79056,→
Kilindi,District,88666,143792,236833,→
Korogwe Rural,District,...,...,242038,→
Korogwe Town,Town,...,...,68308,→
Lushoto,District,357492,418652,492441,→
Mkinga,District,...,...,118065,→
Muheza,District,...,...,204461,→
Pangani,District,37670,43920,54025,→
Tanga City,City,186818,242640,273332,→
Tanzania,United Republic,23174336,34443603,44928923,
