Unnamed: 0,Name,Abbr.,Status,Capital,Area A-L (km²),Population Census (C) 1978-08-26,Population Census (C) 1988-08-27,Population Census (C) 2002-08-01,Population Census (C) 2012-08-26,Population Census (Cp) 2022-08-23,Unnamed: 11,Unnamed: 12
,Arusha,ARU,Reg,Arusha,37576,...,744479,1288088,1694310,2356255,3757600.0,→
,Dar es Salaam,DAR,Reg,Dar es Salaam,1393,843090,1360850,2487288,4364541,5383728,139300.0,→
,Dodoma,DOD,Reg,Dodoma,41311,972005,1235328,1692025,2083588,3085625,4131100.0,→
,Geita,GEI,Reg,Geita,20054,...,...,1337718,1739530,2977608,2005400.0,→
,Iringa,IRI,Reg,Iringa,35503,...,...,840404,941238,1192728,3550300.0,→
,Kagera [West Lake],KAG,Reg,Bukoba,25265,...,...,1791451,2458023,2989299,2526500.0,→
,Katavi,KAT,Reg,Mpanda,45843,...,...,408609,564604,1152958,4584300.0,→
,Kigoma,KIG,Reg,Kigoma,37040,648941,856770,1674047,2127930,2470967,3704000.0,→
,Kilimanjaro,KIL,Reg,Moshi,13250,902437,1104673,1376702,1640087,1861934,1325000.0,→
,Lindi,LIN,Reg,Lindi,66040,527624,646494,787624,864652,1194028,6604000.0,→
,Manyara,MAY,Reg,Babati,44522,...,603691,1037605,1425131,1892502,4452200.0,→
,Mara,MAR,Reg,Musoma,21760,723827,946418,1363397,1743830,2372015,2176000.0,→
,Mbeya,MBE,Reg,Mbeya,37700,...,...,1339848,1708548,2343754,3770000.0,→
,Morogoro,MOR,Reg,Morogoro,70624,939264,1220564,1753362,2218492,3197104,7062400.0,→
,Mtwara,MTW,Reg,Mtwara,16710,771818,889100,1124481,1270854,1634947,1671000.0,→
,Mwanza,MWA,Reg,Mwanza,9467,...,...,2058866,2772509,3699872,946700.0,→
,Njombe,NJO,Reg,Njombe,21347,...,...,648464,702097,889946,2134700.0,→
,Pwani [Coast],PWA,Reg,Dar es Salaam,32547,516586,636103,885017,1098668,2024947,3254700.0,→
,Rukwa,RUK,Reg,Sumbawanga,22792,...,...,729060,1004539,1540519,2279200.0,→
,Ruvuma,RUV,Reg,Songea,63669,561575,779875,1113715,1376891,1848794,6366900.0,→
,Shinyanga,SHI,Reg,Shinyanga,18901,...,...,1249226,1534808,2241299,1890100.0,→
,Simiyu,SIM,Reg,Bariadi,25212,...,...,1317879,1584157,2140497,2521200.0,→
,Singida,SIN,Reg,Singida,49340,613949,792387,1086748,1370637,2008058,4934000.0,→
,Songwe,SON,Reg,Vwawa,22600,...,...,723480,998862,1344687,2260000.0,→
,Tabora,TAB,Reg,Tabora,76150,817907,1036150,1710465,2291623,3391679,7615000.0,→
,Tanga,TAN,Reg,Tanga,26677,1037767,1280212,1636280,2045205,2615597,2667700.0,→
,Zanzibar,ZAN,St,Zanzibar,2460,476111,640685,981754,1303569,1889773,246000.0,→
,Tanzania,TZA,Rep,Dodoma,885803,17527564,23174336,34443603,44928923,61741120,,→
