Unnamed: 0,Name,Adm.,Population Census (C) 1978-08-26,Population Census (C) 1988-08-28,Population Census (C) 2002-08-01,Population Census (C) 2012-08-26,Area
,Arusha,ARU,55223,102544,333791,416442,0
,Babati,MAY,9759,...,30975,57909,0
,Bagamoyo,PWA,16272,...,28368,...,0
,Bariadi,SIM,4603,...,15462,...,0
,Biharamulo,KAG,3349,...,9585,11700,0
,Bomang'ombe (Hai),KIL,...,...,17674,34098,0
,Bugarama,SHI,...,...,9248,...,0
,Bukoba,KAG,21547,28702,59157,128796,0
,Bunda,MAR,7873,...,40404,58390,0
,Buseresere,GEI,...,...,9202,...,0
,Chake Chake,ZAN,9640,13972,19283,27700,0
,Chala,RUK,...,...,9046,...,0
,Chalinze,PWA,...,...,10469,...,0
,Chato,GEI,...,...,13540,...,0
,Chiwezi,SON,...,...,...,14176,0
,Dakawa,MOR,...,...,7537,...,0
,Dar es Salaam,DAR,769445,1205443,2339910,4364541,0
,Diobahika,GEI,...,...,10616,...,0
,Dodoma,DOD,45807,83205,150604,213636,0
,Dumila,MOR,...,...,9650,...,0
,Gairo,MOR,...,...,16982,22948,0
,Geita,GEI,6917,...,39562,99795,0
,Handeni (Chanika),TAN,9444,...,14057,79056,0
,Hedaru,KIL,...,...,14179,...,0
,Ifakara,MOR,15250,...,41606,...,0
,Igunga,TAB,4847,...,15553,...,0
,Igurusi,MBE,...,...,7635,...,0
,Ikwiriri,PWA,...,...,22441,...,0
,Ilula,IRI,...,...,17065,...,0
,Iringa,IRI,57164,84860,102208,151345,0
,Isagehe (Sangilwa),SHI,...,...,10909,...,0
,Itigi,SIN,6729,...,14362,...,0
,Kahama,SHI,7637,...,33957,95087,0
,Karatu,ARU,...,...,9437,14843,0
,Kasamwa,GEI,...,...,8739,...,0
,Kasulu,KIG,10838,19324,33452,67704,0
,Katesh,MAY,...,...,9093,16317,0
,Katoro,GEI,...,...,13458,...,0
,Kibaha,PWA,...,...,42503,128488,0
,Kibaigwa,DOD,...,...,10004,...,0
,Kibaoni,MOR,...,...,7868,...,0
,Kibiti,PWA,...,...,11395,...,0
,Kibondo,KIG,3525,...,13241,...,0
,Kidodi-Kidatu,MOR,21884,...,38486,...,0
,Kigoma,KIG,50075,74224,131792,215458,0
,Kihurio,KIL,...,...,8072,...,0
,Kilindoni,PWA,...,...,9463,12141,0
,Kilosa,MOR,12886,...,26060,34425,0
,Kilwa Masoko,LIN,4289,...,8339,13601,0
,Kimamba,MOR,9164,...,10537,12046,0
,Kiomboi,SIN,9039,...,11350,...,0
,Kirando,RUK,...,...,9936,...,0
,Kisarawe,PWA,...,...,7603,...,0
,Kisesa,MWA,...,...,10179,...,0
,Kitama (Lilombe),MTW,...,...,8413,...,0
,Kondoa,DOD,12182,14872,20426,27383,0
,Korogwe,TAN,15388,...,26601,56282,0
,Kyela,MBE,4906,...,17602,47389,0
,Laela,RUK,...,...,9745,...,0
