,0,1,2,3
0,Name,Status,Population Census 2010-11-06,
1,Centrale,Region,"617,871",
2,Blitta,Prefecture,"137,658",
3,Mô,Sub-Prefecture,"37,411",
4,Sotouboua,Prefecture,"121,014",
5,Tchamba,Prefecture,"131,674",
6,Tchaoudjo,Prefecture,"190,114",
7,Kara,Region,"769,940",
8,Assoli,Prefecture,"51,491",
9,Bassar,Prefecture,"119,717",
10,Binah ( Bimah ),Prefecture,"70,054",
11,Dankpen,Prefecture,"130,723",
12,Doufelgou,Prefecture,"78,635",
13,Kéran,Prefecture,"94,061",
14,Kozah,Prefecture,"225,259",
15,Maritime,Region,"2,599,955",
16,Avé,Prefecture,"93,812",
17,Bas-Mono,Prefecture,"88,846",
18,Golfe,Prefecture,"731,942",
19,Lacs,Prefecture,"172,148",
20,Lomé,Commune,"839,566",
21,Vo,Prefecture,"210,075",
22,Yoto,Prefecture,"165,596",
23,Zio,Prefecture,"297,970",
24,Plateaux,Region,"1,375,165",
25,Agou,Prefecture,"84,890",
26,Akébou,Prefecture,"62,245",
27,Amou,Prefecture,"105,091",
28,Anié,Prefecture,"124,928",
29,Danyi,Prefecture,"38,742",
30,Est-Mono,Prefecture,"121,789",
31,Haho,Prefecture,"248,160",
32,Kloto,Prefecture,"139,043",
33,Kpélé,Prefecture,"75,547",
34,Moyen-Mono,Prefecture,"77,286",
35,Ogou,Prefecture,"196,470",
36,Wawa,Prefecture,"100,974",
37,Savanes,Region,"828,224",
38,Cinkassé,Prefecture,"78,592",
39,Kpendjal,Prefecture,"155,091",
40,Oti,Prefecture,"190,543",
41,Tandjouaré,Prefecture,"117,969",
42,Tône,Prefecture,"286,029",
43,Togo,Republic,"6,191,155",
