,Name,Native,Status,PopulationCensus2004-04-28,PopulationCensus2014-04-23,Unnamed: 5
0,Ariana,أريانة,Governorate,422246,576088,→
1,Béja,باجة,Governorate,304501,303032,→
2,Ben Arous,بن عروس,Governorate,505773,631842,→
3,Bizerte,بنزرت,Governorate,524128,568219,→
4,Gabès,قابس,Governorate,342630,374300,→
5,Gafsa,قفصة,Governorate,323709,337331,→
6,Jendouba,جندوبة,Governorate,416608,401477,→
7,Kairouan,القيروان,Governorate,546209,570559,→
8,Kasserine,القصرين,Governorate,412278,439243,→
9,Kébili,قبلي,Governorate,143218,156961,→
10,Kef,الكاف,Governorate,258790,243156,→
11,Mahdia,المهدية,Governorate,377853,410812,→
12,Manouba,منوبة,Governorate,335912,379518,→
13,Médenine,مدنين,Governorate,432503,479520,→
14,Monastir,المنستير,Governorate,455590,548828,→
15,Nabeul,نابل,Governorate,693890,787920,→
16,Sfax,صفاقس,Governorate,855256,955421,→
17,Sidi Bouzid,سيدي بوزيد,Governorate,395506,429912,→
18,Siliana,سليانة,Governorate,233985,223087,→
19,Sousse,سوسة,Governorate,544413,674971,→
20,Tataouine,تطاوين,Governorate,143524,149453,→
21,Tozeur,توزر,Governorate,97526,107912,→
22,Tunis,تونس,Governorate,983861,1056247,→
23,Zaghouan,زغوان,Governorate,160963,176945,→
24,Tunisie [Tunisia],تونس,Republic,9910872,10982754,
