,Name,Status,Native,PopulationCensus2004-04-28,PopulationCensus2014-04-23,PopulationEstimate2022-01-01,Unnamed: 6
0,Ariana,Governorate,أريانة,422246,576088,669423,→
1,Ariana,Municipality,أريانة,97687,114486,122341,→
2,Ettadhamen,Municipality,التضامن,78311,84312,84923,→
3,Kalâat El Andalous,Municipality,قلعة الأندلس,23045,26796,28120,→
4,La Soukra,Municipality,سكرة,89151,129693,152275,→
5,Mnihla,Municipality,المنيهلة,53752,89884,116653,→
6,Raoued,Municipality,رواد,60896,106414,138205,→
7,Sidi Thabet,Municipality,سيدي ثابت,19404,24503,26906,→
8,Béja,Governorate,باجة,304501,303032,308293,→
9,Amdoun [Zahret Medien],Municipality,زهرة مدين,22484,21187,20664,→
10,Béja,Municipality,باجة,79969,83780,87909,→
11,El Maâgoula,Municipality,المعقولة,...,15554,15743,→
12,Goubellat,Municipality,قبلاط,16383,15762,15616,→
13,Medjez El Bab,Municipality,مجاز الباب,38964,41749,44749,→
14,Nefza,Municipality,نفزة,28026,26159,24815,→
15,Ouchtata - Jmila,Municipality,وشتاتة الجميلة,25169,21942,20815,→
16,Sidi Ismaïl,Municipality,سيدي إسماعيل,...,9965,10086,→
17,Slouguia,Municipality,السلوقية,6241,7348,7619,→
18,Téboursouk,Municipality,تبرسق,24327,22115,21130,→
19,Testour,Municipality,تستور,26531,26265,27233,→
20,Thibar,Municipality,تيبار,10509,11206,11914,→
21,Ben Arous,Governorate,بن عروس,505773,631842,717462,→
22,Ben Arous,Municipality,بن عروس,74932,88322,96225,→
23,Bou Mhel El Bassatine,Municipality,بومهل البساتين,27977,40101,50005,→
24,El Mourouj,Municipality,المروج,81986,104538,119954,→
25,Ezzahra,Municipality,الزهراء,31792,34962,36170,→
26,Fouchana,Municipality,فوشانة,36215,46717,54799,→
27,Hammam Chott,Municipality,حمام الشط,24847,31858,36977,→
28,Hammam Lif,Municipality,حمام الأنف,38401,42518,44057,→
29,Khalidia,Municipality,الخليدية,16552,19156,20172,→
30,Mégrine,Municipality,مقرين,24031,26720,27839,→
31,Mohamedia,Municipality,المحمدية,46613,66439,81952,→
32,Mornag,Municipality,مرناق,37157,42362,44609,→
33,Naassen,Municipality,نعسان,20413,28151,33021,→
34,Radès,Municipality,رادس,44857,59998,71683,→
35,Bizerte,Governorate,بنزرت,524128,568219,598208,→
36,Aousja,Municipality,عوسجة,9748,10235,10535,→
37,Bizerte,Municipality,بنزرت,144889,167759,185547,→
38,El Alia,Municipality,العالية,24539,27075,28867,→
39,El Hachachna,Municipality,الحشاشنة,19972,18797,17943,→
40,Ghar El Melh,Municipality,غار الملح,8777,9242,9513,→
41,Ghezala,Municipality,غزالة,27799,26977,26186,→
42,Joumine,Municipality,جومين,35213,29029,25097,→
43,Mateur,Municipality,ماطر,47562,46975,46033,→
44,Menzel Abderrahmane,Municipality,منزل عبد الرحمان,16824,19085,20958,→
45,Menzel Bourguiba,Municipality,منزل بورقيبة,54804,61919,66522,→
46,Menzel Jemil,Municipality,منزل جميل,22867,28139,30901,→
