,0,1,2,3,4,5,6
0,Name,Status,Native,Population Census 2004-04-28,Population Census 2014-04-23,Population Estimate 2022-01-01,
1,Ariana,Governorate,أريانة,"422,246","576,088","669,423",
2,Ariana Ville,Delegation,اريانةالمدينة,"97,687","114,486","122,341",
3,Cité Ettadhamen,Delegation,حي التضامن,"78,311","84,312","84,923",
4,Kalâat El Andalous,Delegation,قلعة الأندلس,"23,045","26,796","28,120",
5,La Soukra,Delegation,سكرة,"89,151","129,693","152,275",
6,Mnihla,Delegation,المنيهلة,"53,752","89,884","116,653",
7,Raoued,Delegation,روّاد,"60,896","106,414","138,205",
8,Sidi Thabet,Delegation,سيدي ثابت,"19,404","24,503","26,906",
9,Béja,Governorate,باجة,"304,501","303,032","308,293",
10,Amdoun,Delegation,عمدون,"22,484","21,187","20,664",
11,Béja Nord,Delegation,باجة الشمالية,"67,471","71,198","75,175",
12,Béja Sud,Delegation,باجة الجنوبية,"38,396","38,101","38,563",
13,Goubellat,Delegation,قبلاط,"16,383","15,762","15,616",
14,Medjez El Bab,Delegation,مجاز الباب,"38,964","41,749","44,749",
15,Nefza,Delegation,نفزة,"53,195","48,101","45,630",
16,Téboursouk,Delegation,تبرسق,"24,327","22,115","21,130",
17,Testour,Delegation,تستور,"32,772","33,613","34,852",
18,Thibar [ Tibar ],Delegation,تيبار,"10,509","11,206","11,914",
19,Ben Arous,Governorate,بن عروس,"505,773","631,842","717,462",
20,Ben Arous,Delegation,بن عروس,"32,329","31,128","28,502",
21,Bou Mhel El Bassatine,Delegation,بومهل البساتين,"27,977","40,101","50,005",
22,El Mourouj,Delegation,المروج,"81,986","104,538","119,954",
23,Ezzahra,Delegation,الزهراء,"31,792","34,962","36,170",
24,Fouchana,Delegation,فوشانة,"56,628","74,868","87,819",
25,Hammam Chott,Delegation,حمام الشط,"24,847","31,858","36,977",
26,Hammam Lif,Delegation,حمام الأنف,"38,401","42,518","44,057",
27,Medina Jedida [ La Nouvelle Medina ],Delegation,المدينة الجديدة,"42,603","57,194","67,722",
28,Mégrine,Delegation,مقرين,"24,031","26,720","27,839",
29,Mohamedia,Delegation,المحمدية,"46,613","66,439","81,952",
30,Mornag,Delegation,مرناق,"53,709","61,518","64,781",
31,Radès,Delegation,رادس,"44,857","59,998","71,683",
32,Bizerte,Governorate,بنزرت,"524,128","568,219","598,208",
33,Bizerte Nord,Delegation,بنزرت الشمالية,"75,234","87,307","96,679",
34,Bizerte Sud,Delegation,بنزرت الجنوبية,"45,227","55,659","63,939",
35,El Alia,Delegation,العالية,"24,539","27,075","28,867",
36,Ghar El Melh,Delegation,غار الملح,"18,525","19,477","20,048",
37,Ghezala,Delegation,غزالة,"27,799","26,977","26,186",
38,Joumine [ Djoumine ],Delegation,جومين,"35,213","29,029","25,097",
39,Mateur,Delegation,ماطر,"47,562","46,975","46,033",
40,Menzel Bourguiba,Delegation,منزل بورقيبة,"54,804","61,919","66,522",
41,Menzel Jemil,Delegation,منزل جميل,"39,691","47,224","51,859",
42,Ras Jebel,Delegation,راس الجبل,"51,240","58,241","62,837",
43,Sejnane,Delegation,سجنان,"42,156","40,166","38,342",
44,Tinja,Delegation,تينجة,"19,444","23,455","26,003",
45,Utique,Delegation,أوتيك,"18,266","19,922","20,869",
46,Zarzouna,Delegation,جرزونة,"24,428","24,793","24,929",
47,Gabès,Governorate,قابس,"342,630","374,300","405,489",
48,Dkhilet Toujane [ ← Mareth ],Delegation,دخيلة توجان,"9,544","10,277","11,023",
49,El Hamma,Delegation,الحامة,"45,564","54,192","60,937",
50,Gabès Médina,Delegation,قابس المدينة,"47,057","46,731","47,441",
51,Gabès Ouest,Delegation,قابس الغربية,"28,389","31,768","35,209",
52,Gabès Sud,Delegation,قابس الجنوبية,"61,699","74,422","84,432",
53,Ghannouch,Delegation,غنوش,"22,681","28,051","32,355",
54,Habib Thameur Bouatouch [ ← El Hamma ],Delegation,الحبيب ثامر بوعطوش,"16,826","19,320","21,760",
55,Mareth,Delegation,مارث,"51,796","52,845","54,661",
56,Matmata,Delegation,مطماطة,"5,766","4,444","4,075",
57,Menzel El Habib,Delegation,منزل الحبيب,"11,477","10,148","9,455",
58,Métouia,Delegation,المطوية,"12,115","12,507","13,407",
59,Nouvelle Matmata,Delegation,مطماطة الجديدة,"15,969","14,224","14,257",
60,Oudhref [ ← Métouia ],Delegation,وذرف,"13,747","15,371","16,478",
61,Gafsa,Governorate,قفصة,"323,709","337,331","354,604",
62,Belkhir,Delegation,بلخير,"15,159","14,784","15,032",
63,El Guettar,Delegation,القطار,"19,942","20,137","20,820",
64,El Ksar,Delegation,القصر,"32,186","36,482","39,631",
65,Gafsa Nord,Delegation,قفصة الشمالية,"9,407","10,022","10,630",
66,Gafsa Sud,Delegation,قفصة الجنوبية,"90,742","101,148","109,748",
67,Mdhila,Delegation,المضيلة,"14,841","15,306","15,950",
68,Métlaoui,Delegation,المتلوي,"38,938","38,634","39,142",
69,Moularès [ Oum El Araies ],Delegation,أم العرائس,"27,393","22,798","21,515",
70,Redeyef,Delegation,الرديف,"27,940","26,976","26,906",
71,Sened,Delegation,السند,"20,138","21,487","22,725",
72,Sidi Aïch,Delegation,سيدي عيش,"8,297","10,084","11,821",
73,Sidi Boubaker [ ← Moularès ],Delegation,سيدي بوبكر,"4,340","4,214","4,255",
74,Zannouch [ ← Sened ],Delegation,زانوش,"14,386","15,259","16,429",
75,Jendouba,Governorate,جندوبة,"416,608","401,477","404,853",
76,Aïn Draham,Delegation,عين دراهم,"40,372","35,400","33,801",
77,Balta - Bou Aouane,Delegation,بلطة بوعوان,"42,229","38,764","37,486",
78,Bou Salem,Delegation,بوسالم,"36,061","35,501","36,482",
79,Fernana,Delegation,فرنانة,"52,690","47,690","45,895",
80,Ghardimaou,Delegation,غار الدماء,"67,955","64,170","63,232",
81,Jendouba [ Jendouba Sud ],Delegation,جندوبة,"68,597","72,337","77,217",
82,Jendouba Nord,Delegation,جندوبة الشمالية,"44,195","40,779","39,225",
83,Oued Meliz,Delegation,وادي مليز,"19,015","17,843","17,365",
84,Tabarka,Delegation,طبرقة,"45,494","48,993","54,151",
85,Kairouan,Governorate,القيروان,"546,209","570,559","600,345",
86,Aïn Djeloula [ ← Oueslatia ],Delegation,عين جلولة,"7,179","6,780","6,759",
87,Bou Hajla,Delegation,بوحجلة,"70,589","72,371","75,054",
88,Chebika,Delegation,الشبيكة,"33,889","35,308","36,900",
89,Echrarda,Delegation,الشراردة,"25,903","27,518","29,065",
90,El Alâa,Delegation,العلاء,"31,773","28,991","28,530",
91,Haffouz,Delegation,حفوز,"43,792","40,066","39,605",
92,Hajeb el Ayoun,Delegation,حاجب العيون,"35,403","36,137","37,407",
93,Kairouan Nord,Delegation,القيروان الشمالية,"83,794","96,904","106,741",
94,Kairouan Sud,Delegation,القيروان الجنوبية,"80,444","93,101","103,013",
95,Menzel Mehiri [ ← Nasrallah ],Delegation,منزل مهيري,"12,454","12,660","13,077",
96,Nasrallah,Delegation,نصر اللّه,"24,658","21,129","20,167",
97,Oueslatia,Delegation,الوسلاتية,"29,016","27,672","28,053",
98,Sbikha,Delegation,السبيخة,"67,315","71,922","75,975",
99,Kasserine,Governorate,القصرين,"412,278","439,243","464,126",
100,El Ayoun,Delegation,العيون,"18,634","19,211","19,828",
101,Ezzouhour,Delegation,الزهور,"20,277","21,819","23,030",
102,Fériana,Delegation,فريانة,"45,787","51,455","55,764",
103,Foussana,Delegation,فوسانة,"41,240","41,447","43,550",
104,Haïdra,Delegation,حيدرة,"8,716","9,762","10,918",
105,Hassi El Ferid,Delegation,حاسي الفريد,"16,890","19,400","21,127",
106,Jedelienne,Delegation,جدليان,"13,205","12,297","12,112",
107,Kasserine Nord,Delegation,القصرين الشمالية,"58,343","65,322","70,454",
108,Kasserine Sud,Delegation,القصرين الجنوبية,"21,139","21,653","22,320",
109,Majel Bel Abbès,Delegation,ماجل بالعباس,"21,909","23,315","24,485",
110,Sbeïtla,Delegation,سبيطلة,"69,539","75,245","80,135",
111,Sbiba,Delegation,سبيبة,"42,091","41,189","40,855",
112,Thala,Delegation,تالة,"34,508","37,128","39,547",
113,Kébili,Governorate,قبلي,"143,218","156,961","170,803",
114,Douz Nord,Delegation,دوز الشمالية,"25,534","28,617","31,401",
115,Douz Sud,Delegation,دوز الجنوبية,"17,187","18,565","20,049",
116,Faouar,Delegation,فوار,"13,407","15,376","17,058",
117,Kébili Nord,Delegation,قبلي الشمالية,"29,429","31,854","34,441",
118,Kébili Sud,Delegation,قبلي الجنوبية,"28,040","30,447","32,964",
119,Rjim Maatoug [ ← Faouar ],Delegation,رجيم معتوق,"2,889","4,237","5,314",
120,Souk Lahad [ Souk El Ahed ],Delegation,سوق الأحد,"26,732","27,865","29,576",
121,Kef,Governorate,الكاف,"258,790","243,156","247,382",
122,Dahmani,Delegation,الدهماني,"30,749","27,907","27,504",
123,El Ksour,Delegation,القصور,"17,100","15,215","14,821",
124,Jérissa,Delegation,الجريصة,"11,298","9,807","9,352",
125,Kalâat Khasba,Delegation,القلعة الخصباء,"7,353","6,652","6,517",
126,Kalaat Senan,Delegation,قلعة سنان,"16,454","15,621","15,980",
127,Kef Est,Delegation,الكاف الشرقية,"40,456","40,288","42,680",
128,Kef Ouest,Delegation,الكاف الغربية,"29,951","33,418","38,300",
129,Nebeur,Delegation,نبر,"21,229","19,713","19,657",
130,Sakiet Sidi Youssef,Delegation,ساقية سيدي يوسف,"20,527","17,500","16,638",
131,Sers,Delegation,السرس,"25,915","23,259","22,836",
132,Tajerouine,Delegation,تاجروين,"30,659","27,592","27,052",
133,Touiref [ ← Nebeur ],Delegation,الطويرف,"7,099","6,184","6,044",
134,Mahdia,Governorate,المهدية,"377,853","410,812","446,494",
135,Bou Merdes,Delegation,بومرداس,"29,559","33,890","38,090",
136,Chebba,Delegation,الشابة,"27,433","29,282","31,138",
137,Chorbane,Delegation,شربان,"28,577","25,935","24,755",
