,0,1,2,3,4,5,6,7,8,9,10,11
0,,Name,Status,Adm.,Population Census (Cf) 1969-08-18,Population Census (Cf) 1980-01-18,Population Census (Cf) 1991-01-12,Population Census (Cf) 2002-09-13,Population Census (Cf) 2014-08-27,Population Projection (P) 2020-07-01,Area,
1,,Abim,Town,NOR,...,...,...,"7,645","17,168","24,400",11410,
2,,Adjumani,Town,NOR,...,...,"2,108","19,876","35,433","37,100",1690,
3,,Amudat,Town,NOR,...,...,...,...,"11,786","15,000",1898,
4,,Anaka,Town,NOR,...,...,...,"8,169","13,592","24,000",7609,
5,,Apac,Mun,NOR,378,"1,716","5,783","10,137","14,972","67,700",20438,
6,,Arua,Mun,NOR,"10,837",...,"22,217","43,929","61,962","72,400",1019,
7,,Bombo,Town,CEN,583,"5,573","10,566","16,699","25,832","29,600",837,
8,,Budadiri,Town,EAS,...,...,...,"6,578","17,001","19,200",644,
9,,Budaka,Town,EAS,...,...,...,"16,110","23,809","29,100",3781,
10,,Bugembe,Town,EAS,...,...,...,"28,657","41,707","45,600",458,
11,,Bugiri,Mun,EAS,...,...,"3,321","17,046","28,747","36,000",916,
12,,Bugweri ( Busesa ),Town,EAS,...,...,...,...,...,"32,900",1714,
13,,Buheesi,Town,WES,...,...,...,...,...,"16,000",3389,
14,,Buhimba,Town,WES,...,...,...,...,...,"19,500",4042,
15,,Buikwe,Town,CEN,...,...,...,"12,628","16,544","18,500",2906,
16,,Bukomero,Town,CEN,...,...,...,...,"14,182","16,400",3735,
17,,Bundibugyo,Town,WES,"2,931","2,331","6,845","13,782","18,952","22,300",973,
18,,Bushenyi-Ishaka,Mun,WES,...,...,...,"37,664","41,217","43,700",9017,
19,,Busia,Mun,EAS,"1,146","8,663","27,967","36,630","54,798","64,900",715,
20,,Busolwe,Town,EAS,...,...,...,"10,444","13,640","16,800",1698,
21,,Butaleja,Town,EAS,...,...,...,"11,358","19,561","24,000",4983,
22,,Butemba,Town,CEN,...,...,...,"7,439","14,346","18,800",18961,
23,,Butunduzi,Town,WES,...,...,...,"6,841","14,111","17,600",5853,
24,,Buwenge,Town,EAS,...,...,"4,946","14,461","22,126","24,200",588,
25,,Buyende,Town,EAS,...,...,...,"18,036","23,201","29,700",10521,
26,,Bweyale,Town,WES,...,...,...,"14,237","31,173","36,700",4446,
27,,Dokolo,Town,NOR,...,...,...,"13,174","20,135","23,700",8988,
28,,Entebbe,Mun,CEN,"21,096","21,289","42,763","55,086","70,219","102,600",3613,
29,,Fort Portal ( Kabarole ),Mun,WES,"7,947","26,806","32,789","40,993","53,786","60,800",3987,
30,,Gombe ( Butambala ),Town,CEN,...,...,...,"8,332","15,553","16,600",4983,
31,,Gulu,Mun,NOR,"18,170","14,958","38,297","119,430","150,306","177,400",5445,
32,,Hima,Town,WES,...,...,...,"7,075","13,135","15,000",2921,
33,,Hoima,Mun,WES,...,...,...,"60,561","100,099","122,700",22808,
34,,Ibanda,Mun,WES,129,...,"2,974","22,728","104,805","117,700",36513,
35,,Iganga,Mun,EAS,"5,958","9,899","19,740","39,472","55,263","65,500",766,
