,0,1,2,3,4,5,6
0,Name,Status,Population Census 1991-01-12,Population Census 2002-09-13,Population Census 2014-08-27,Population Projection 2020-07-01,
1,Central,Region,"4,843,594","6,575,425","9,529,238","11,562,900",
2,Buikwe,District,"250,511","329,858","422,771","474,100",
3,Bukomansimbi,District,"126,549","139,556","151,413","156,600",
4,Butambala,District,"74,062","86,755","100,840","107,800",
5,Buvuma,District,"18,482","42,483","89,890","128,900",
6,Gomba,District,"119,550","133,264","159,922","173,800",
7,Kalangala,District,"16,371","34,766","54,293","67,200",
8,Kalungu,District,"152,028","160,684","183,232","194,100",
9,Kampala,City,"774,241","1,189,142","1,507,080","1,680,600",
10,Kassanda ( ← Mubende ),District,...,...,"271,544","312,700",
11,Kayunga,District,"236,177","294,613","368,062","407,700",
12,Kiboga,District,"98,153","108,897","148,218","171,200",
13,Kyankwanzi,District,"43,454","120,575","214,693","282,800",
14,Kyotera ( ← Rakai ),District,...,...,"239,563","261,000",
15,Luwero ( Luweero ),District,"255,390","341,317","456,958","523,600",
16,Lwengo,District,"212,554","242,252","274,953","290,500",
17,Lyantonde,District,"53,100","66,039","93,753","110,500",
18,Masaka,District,"203,566","228,170","297,004","335,700",
19,Mityana,District,"223,527","266,108","328,964","362,500",
20,Mpigi,District,"157,368","187,771","250,548","286,600",
21,Mubende,District,...,...,"412,804","554,800",
22,Mukono,District,"319,434","423,052","596,804","701,400",
23,Nakaseke,District,"93,804","137,278","197,373","234,600",
24,Nakasongola,District,"100,497","127,064","181,795","215,200",
25,Rakai,District,...,...,"276,746","317,700",
26,Ssembabule ( Sembabule ),District,"144,039","180,045","252,597","296,100",
27,Wakiso,District,"562,887","907,988","1,997,418","2,915,200",
28,Eastern,Region,"4,128,469","6,204,915","9,042,420","10,836,500",
29,Amuria,District,...,...,"183,348","225,000",
30,Budaka,District,"100,348","136,489","207,597","253,100",
31,Bududa,District,"79,218","123,103","210,173","271,100",
32,Bugiri,District,"171,269","237,441","382,913","480,400",
33,Bugweri ( ← Iganga ),District,...,...,"164,886","191,600",
34,Bukedea,District,"75,272","122,433","203,600","259,300",
35,Bukwo,District,"30,692","48,952","89,356","119,100",
36,Bulambuli,District,"64,576","97,273","174,513","230,600",
