,0,1,2,3
0,Name,Status,Population Census 2010-10-16,
1,Chadiza,District,"62,742",
2,Chadiza,Ward,"5,670",
3,Chamandala,Ward,"4,129",
4,Chanjowe,Ward,"2,633",
5,Chilenga,Ward,"4,491",
6,Kampini,Ward,"4,405",
7,Kandabwako,Ward,"4,050",
8,Kapachi,Ward,"4,029",
9,Mangwe,Ward,"10,318",
10,Manje,Ward,"6,846",
11,Naviluri,Ward,"6,350",
12,Nsadzu,Ward,"5,773",
13,Tafelansoni,Ward,"4,048",
14,Chama,District,"103,894",
15,Bazimu,Ward,"5,936",
16,Chibungwe,Ward,"5,352",
17,Chilenje,Ward,"6,052",
18,Chipala,Ward,"2,555",
19,Chisunga,Ward,"3,812",
20,Kalinkhu,Ward,"2,193",
21,Kamphemba,Ward,"13,542",
22,Luangwa,Ward,"3,868",
23,Lumezi,Ward,"5,284",
24,Lunzi,Ward,"7,772",
25,Lupamazi,Ward,"2,392",
26,Mabinga,Ward,"5,543",
27,Manthepa,Ward,"2,183",
28,Mapamba,Ward,"4,182",
29,Mazonde,Ward,"1,587",
30,Mbazi,Ward,"2,969",
31,Mphalausenga,Ward,"6,421",
32,Muchinga,Ward,"3,103",
33,Mwalala,Ward,"6,377",
34,Ndunda,Ward,"1,919",
35,Nkhankha,Ward,"5,339",
36,Vilimukulu,Ward,"5,513",
37,Chavuma,District,"35,041",
38,Chambi Mandalo,Ward,"2,494",
39,Chavuma Central,Ward,"7,263",
40,Chivombo Mbalango,Ward,"1,362",
41,Chiyeke,Ward,"5,875",
42,Kalombo Kamisamba,Ward,"2,300",
43,Kambuya Mukelangombe,Ward,"3,884",
44,Lingelengenda,Ward,"1,672",
45,Lingundu,Ward,"1,046",
46,Lukolwe Musumba,Ward,"1,152",
47,Nguvu,Ward,"1,486",
48,Nyatanda Nyambingila,Ward,"2,647",
49,Sanjongo,Ward,"1,388",
50,Sewe,Ward,"2,472",
51,Chembe,District,"23,394",
52,Luapula,Ward,"16,163",
53,Lukola,Ward,"7,231",
54,Chibombo,District,"199,536",
55,Chaloshi,Ward,"9,206",
56,Chibombo,Ward,"9,541",
57,Chikobo,Ward,"5,778",
58,Chilochabalenge,Ward,"7,651",
59,Chitanda,Ward,"12,554",
60,Chunga,Ward,"8,083",
61,Ipongo,Ward,"9,899",
62,Kabile,Ward,"10,220",
63,Kakoma,Ward,"18,613",
64,Kalola,Ward,"14,058",
65,Katuba,Ward,"16,634",
66,Keembe,Ward,"9,103",
67,Lunjofwa,Ward,"8,478",
68,Mashikili,Ward,"23,000",
69,Muchenje,Ward,"11,105",
70,Mungule,Ward,"25,613",
71,Chienge ( Chiengi ),District,"114,225",
72,Chienge ( Chiengi ),Ward,"9,161",
73,Chipamba,Ward,"15,938",
74,Chipungu,Ward,"15,241",
75,Chitutu,Ward,"6,491",
76,Ifuna,Ward,"7,895",
77,Kalobwa,Ward,"4,801",
78,Katete,Ward,"11,092",
79,Kulungwishi,Ward,"5,942",
80,Lambwe Chomba,Ward,"3,882",
81,Luau,Ward,"6,632",
82,Lunchinda,Ward,"7,486",
83,Mununga,Ward,"9,135",
84,Munwa,Ward,"10,529",
85,Chikankanta,District,"59,909",
86,Chitete,Ward,"10,531",
87,Kasengo,Ward,"6,787",
88,Mabwe Atuba,Ward,"12,974",
89,Malala,Ward,"6,454",
90,Musaya,Ward,"1,133",
91,Namalundu,Ward,"7,989",
92,Nansenga,Ward,"2,701",
93,Upper Kaleya,Ward,"11,340",
94,Chilanga,District,"107,051",
95,Chilanga,Ward,"31,953",
96,Chilongolo,Ward,"19,191",
97,Chinyanja,Ward,"11,518",
98,Nakachenje,Ward,"2,152",
99,Namalombwe,Ward,"32,230",
100,Nyemba,Ward,"10,007",
101,Chililabombwe,District,"91,833",
102,Anoya Zulu,Ward,"1,384",
103,Chilimina,Ward,"2,787",
104,Chitambi,Ward,629,
105,Chitimukulu,Ward,"2,823",
106,Helen Kaunda,Ward,"3,121",
107,James Phiri,Ward,"7,496",
108,Joseph Mwilwa,Ward,"3,807",
109,Kafue,Ward,"3,796",
110,Kakoso,Ward,"6,158",
111,Kamima,Ward,"4,014",
112,Kawama,Ward,"1,329",
113,Mathew Nkoloma,Ward,"5,471",
114,Miteta,Ward,"6,094",
115,Miyanda,Ward,"2,367",
116,Mukuka,Ward,"5,965",
