,0,1,2,3,4
0,Name,Status,Population Census 1987-04-10,Population Census 2005-11-11,
1,Bamboutos,Department,"215,523","292,410",
2,Babadjou,Arrondissement,...,"36,929",
3,Batcham,Arrondissement,...,"83,817",
4,Galim,Arrondissement,...,"51,014",
5,Mbouda,Arrondissement,...,"120,650",
6,Bénoué,Department,"385,756","851,955",
7,Baschéo ( Bachéo ),Arrondissement,...,"26,743",
8,Bibemi,Arrondissement,...,"133,191",
9,Dembo,Arrondissement,...,"15,816",
10,Demsa,Arrondissement,...,"37,282",
11,Garoua I,City Arrondissement,...,"120,232",
12,Garoua II,City Arrondissement,...,"117,841",
13,Garoua III,City Arrondissement,...,"27,229",
14,Lagdo,Arrondissement,...,"142,129",
15,Mayo-Hourna,Arrondissement,...,"21,445",
16,Pitoa,Arrondissement,...,"76,715",
17,Tcheboa,Arrondissement,...,"92,658",
18,Touroua,Arrondissement,...,"40,674",
19,Boumba-et-Ngoko,Department,"79,935","115,354",
20,Gari-Gombo,Arrondissement,...,"15,978",
21,Moloundou,Arrondissement,...,"18,174",
22,Salapoumbé,Arrondissement,...,"17,240",
23,Yokadouma,Arrondissement,...,"63,962",
24,Boyo,Department,"114,102","124,887",
25,Belo,Arrondissement,...,"40,757",
26,Bum,Arrondissement,...,"17,838",
27,Fundong,Arrondissement,...,"45,831",
28,Njinikom,Arrondissement,...,"20,461",
29,Bui,Department,"217,064","321,969",
30,Jakiri,Arrondissement,...,"47,022",
31,Kumbo,Arrondissement,...,"83,479",
32,Mbven,Arrondissement,...,"20,289",
33,Nkum,Arrondissement,...,"44,059",
34,Noni,Arrondissement,...,"39,400",
35,Oku,Arrondissement,...,"87,720",
36,Diamaré,Department,"386,569","642,227",
37,Bogo,Arrondissement,...,"95,230",
38,Dargala,Arrondissement,...,"33,142",
39,Gazawa,Arrondissement,...,"27,395",
40,Maroua I,City Arrondissement,...,"134,934",
41,Maroua II,City Arrondissement,...,"108,902",
42,Maroua III,City Arrondissement,...,"86,574",
43,Meri,Arrondissement,...,"86,834",
44,Ndoukoula,Arrondissement,...,"32,091",
45,Petté,Arrondissement,...,"37,125",
46,Dja-et-Lobo,Department,"121,059","196,951",
47,Bengbis,Arrondissement,...,"13,075",
48,Djoum,Arrondissement,...,"18,050",
49,Meyomessala,Arrondissement,...,"31,366",
50,Meyomessi,Arrondissement,...,"9,227",
51,Mintom,Arrondissement,...,"6,130",
52,Oveng,Arrondissement,...,"6,007",
53,Sangmélima,Arrondissement,...,"82,513",
54,Zoétélé,Arrondissement,...,"30,583",
55,Djérem,Department,"61,165","124,948",
56,Ngaoundal,Arrondissement,...,"52,867",
57,Tibati,Arrondissement,...,"72,081",
58,Donga-Mantung,Department,"226,916","269,931",
59,Ako,Arrondissement,...,"40,349",
60,Misaje,Arrondissement,...,"22,641",
61,Ndu,Arrondissement,...,"73,955",
62,Nkambé,Arrondissement,...,"63,032",
63,Nwa,Arrondissement,...,"69,954",
64,Fako,Department,"248,032","466,412",
65,Buea,Arrondissement,...,"131,325",
