,0,1,2,3
0,Name,Status,Population Census 2017-12-15,
1,Djando,Prefecture,"9,349",
2,Djando,Commune,"9,349",
3,Domoni,Prefecture,"69,904",
4,Bambao Mstanga,Commune,"13,779",
5,Domoni,Commune,"15,623",
6,Jimlimé,Commune,"11,480",
7,Koni,Commune,"18,883",
8,Ngandzalé,Commune,"10,139",
9,Fomboni,Prefecture,"30,834",
10,Fomboni,Commune,"17,291",
11,Moili Mdjini,Commune,"7,410",
12,Moinbassa,Commune,"6,133",
13,Hamahamet-Mboinkou,Prefecture,"36,648",
14,Mboinkou,Commune,"11,573",
15,Nyuma Mro,Commune,"11,445",
16,Nyuma Msiru,Commune,"13,630",
17,Hambou,Prefecture,"22,777",
18,Djoumoipangua,Commune,"9,334",
19,Tsinimoipangua,Commune,"13,443",
20,Itsandra-Hamanvou,Prefecture,"57,335",
21,Bangaani,Commune,"19,355",
22,Djoumoichongo,Commune,"7,442",
23,Hamanvou,Commune,"13,789",
24,Isahari,Commune,"8,279",
25,Mbadani,Commune,"8,470",
26,Mbadjini-Est,Prefecture,"35,312",
27,Domba ( Dombàà ),Commune,"8,164",
28,Itsahidi,Commune,"15,225",
29,Pimba,Commune,"11,923",
30,Mbadjini-Ouest,Prefecture,"23,599",
31,Ngouéngoué,Commune,"9,244",
32,Nioumagama,Commune,"14,355",
33,Mboudé,Prefecture,"24,341",
34,Nyumamro Kiblani,Commune,"12,089",
35,Nyumamro Souheili,Commune,"12,251",
36,Mitsamiouli,Prefecture,"31,821",
37,Cembenoi Lac-Salé,Commune,"7,926",
38,Cembenoui Sada-Djoulamlima,Commune,"6,373",
39,Mitsamiouli,Commune,"9,906",
40,Nyuma Komo,Commune,"7,615",
41,Moroni-Bambao,Prefecture,"121,236",
42,Bambao ya Djou,Commune,"13,525",
43,Bambao ya Hari,Commune,"20,854",
44,Bambao ya Mboini,Commune,"12,107",
45,Moroni,Commune,"74,749",
46,Moya,Prefecture,"24,140",
47,Moya,Commune,"24,140",
48,Mrémani,Prefecture,"65,448",
49,Adda,Commune,"21,482",
50,Mramani,Commune,"9,562",
51,Mrémani,Commune,"15,805",
52,Ongojou,Commune,"11,206",
53,Shaweni ( Chaweni ),Commune,"7,393",
54,Mutsamudu,Prefecture,"63,831",
55,Bandrani ya Chironkamba,Commune,"9,733",
56,Bandrani ya Mitsangani,Commune,"7,203",
57,Mirontsi,Commune,"11,955",
58,Mutsamudu,Commune,"34,940",
59,Nioumachoua,Prefecture,"11,384",
60,M'Lédjélé,Commune,"7,914",
61,Moimbao,Commune,"3,470",
62,Oichili-Dimani,Prefecture,"26,298",
63,Dimani,Commune,"11,414",
64,Oichili ya Djou,Commune,"8,860",
65,Oichili ya Mboini,Commune,"6,025",
66,Ouani,Prefecture,"68,885",
67,Bambao Mtrouni,Commune,"27,916",
68,Bazimini,Commune,"18,469",
69,Ouani,Commune,"22,501",
70,Sima,Prefecture,"35,174",
71,Sima,Commune,"18,415",
72,Vouani,Commune,"16,758",
73,"Comores ( Komori, Al-Qumur ) [ Comoros ]",Union,"758,316",
