,0,1,2,3,4,5,6
0,Name,Status,County,Population Census 1999-08-24,Population Census 2009-08-24,Population Census 2019-08-24,
1,Bamba,Urban Center,Kilifi,...,...,"2,015",
2,Bura,Urban Center,Tana River,517,...,"13,650",
3,Faza,Urban Center,Lamu,...,...,"2,855",
4,Garissa,Urban Center,Tana River / Garissa,"50,955","109,224","163,399",
5,Garsen,Urban Center,Tana River,"4,977",...,"7,176",
6,Gongoni,Urban Center,Kilifi,...,...,"10,993",
7,Hola,Urban Center,Tana River,"10,453","11,492","20,912",
8,Kaloleni,Urban Center,Kilifi,"4,431","5,474","7,016",
9,Kilifi,Urban Center,Kilifi,"30,394","43,388","74,270",
10,Kinango,Urban Center,Kwale,...,"4,317","5,928",
11,Kipini,Urban Center,Tana River,...,...,"2,656",
12,Kwale,Urban Center,Kwale,...,"6,037","10,063",
13,Lamu,Urban Center,Lamu,"11,831","12,767","25,385",
14,Lunga-Lunga,Urban Center,Kwale,...,...,"2,536",
15,Mackinnon Road,Urban Center,Kwale,...,...,"3,901",
16,Malindi,Urban Center,Kilifi,"53,805","82,747","119,859",
17,Marereni,Urban Center,Kilifi,...,"6,252","7,085",
18,Mariakani,Urban Center,Kwale / Kilifi,"10,987","30,671","31,715",
19,Maungu,Urban Center,Taita-Taveta,...,...,"4,713",
20,Mazeras,Urban Center,Kwale / Kilifi,...,...,"16,254",
21,Mokowe,Urban Center,Lamu,...,...,"4,249",
22,Mombasa,Urban Center,Mombasa,"665,018","905,627","1,208,333",
23,Mpeketoni,Urban Center,Lamu,...,...,"5,957",
24,Msambweni,Urban Center,Kwale,"13,043","12,503","14,951",
25,Mtwapa,Urban Center,Kilifi,"18,397","48,426","90,677",
26,Mwatate,Urban Center,Taita-Taveta,...,"5,570","9,572",
27,Samburu,Urban Center,Kwale,...,...,"4,454",
28,Taveta,Urban Center,Taita-Taveta,"11,495","16,889","22,018",
29,Ukunda,Urban Center,Kwale,"43,946","60,489","77,686",
30,Vipingo,Urban Center,Kilifi,...,...,"12,183",
31,Voi,Urban Center,Taita-Taveta,"16,863","16,136","53,353",
32,Watamu,Urban Center,Kilifi,...,"9,407","27,857",
33,Wundanyi,Urban Center,Taita-Taveta,...,"3,914","4,118",
