,0,1,2,3,4,5,6
0,Name,Status,County,Population Census 1999-08-24,Population Census 2009-08-24,Population Census 2019-08-24,
1,Chaka,Urban Center,Nyeri,...,...,"5,970",
2,Endarasha,Urban Center,Nyeri,"2,862",...,"2,743",
3,Engineer,Urban Center,Nyandarua,"3,292","5,139","5,324",
4,Gatundu,Urban Center,Kiambu,...,"5,418","7,947",
5,Githiga,Urban Center,Kiambu,...,"5,184","5,565",
6,Githunguri,Urban Center,Kiambu,"5,370","10,062","10,615",
7,Ikinu,Urban Center,Kiambu,...,...,"2,532",
8,Juja,Urban Center,Kiambu,"6,009","40,183","156,041",
9,Kagio,Urban Center,Kirinyaga,260,...,"13,961",
10,Kagumo,Urban Center,Kirinyaga,...,...,"3,673",
11,Kangari,Urban Center,Murang'a,"1,770",...,"4,096",
12,Kangema,Urban Center,Murang'a,...,...,"6,424",
13,Karatina,Urban Center,Nyeri,"6,852","8,362","23,552",
14,Karuri,Urban Center,Kiambu,"19,746","107,754","194,342",
15,Kasuku,Urban Center,Nyandarua,...,...,"2,209",
16,Kawaida,Urban Center,Kiambu,...,...,"14,038",
17,Kenol,Urban Center,Murang'a,...,...,"44,086",
18,Kerugoya,Urban Center,Kirinyaga,"14,056","20,121","30,045",
19,Kiambu,Urban Center,Kiambu,"13,814","75,203","147,870",
20,Kianyaga,Urban Center,Kirinyaga,"2,541",...,"2,974",
21,Kiganjo,Urban Center,Nyeri,...,...,"4,009",
22,Kijabe,Urban Center,Kiambu,...,...,"2,026",
23,Kikuyu,Urban Center,Kiambu,"156,131","200,285","323,881",
24,Kimbimbi,Urban Center,Kirinyaga,...,...,"6,826",
25,Kimende,Urban Center,Kiambu,...,...,"4,356",
26,Kiriaini,Urban Center,Murang'a,...,...,"3,779",
27,Kutus,Urban Center,Kirinyaga,...,...,"9,143",
28,Limuru,Urban Center,Kiambu,...,"61,306","81,316",
29,Mairo Inya,Urban Center,Nyandarua,"3,580","10,053","30,527",
30,Maragua,Urban Center,Murang'a,...,"4,263","8,597",
31,Mukurwe-ini,Urban Center,Nyeri,...,"2,168","6,508",
32,Murang'a,Urban Center,Murang'a,...,"23,723","43,314",
33,Mweiga,Urban Center,Nyeri,"2,707",...,"3,609",
34,Nanyuki,Urban Center,Nyeri / Laikipia,"31,577","38,339","72,813",
35,Naro Moru,Urban Center,Nyeri / Laikipia,"2,861",...,"8,097",
36,Ndunyu Njeru,Urban Center,Nyandarua,"2,446",...,"4,354",
37,Ngewa,Urban Center,Kiambu,...,...,"2,452",
38,Njabini,Urban Center,Nyandarua,"4,251",...,"3,929",
39,Nyeri,Urban Center,Nyeri,"46,969","61,187","80,081",
40,Ol Joro Orok,Urban Center,Nyandarua,"2,223",...,"2,116",
41,Ol Kalou,Urban Center,Nyandarua,...,"7,010","13,234",
42,Othaya,Urban Center,Nyeri,...,"5,213","6,650",
43,Rironi,Urban Center,Kiambu,...,...,"5,544",
44,Ruiru,Urban Center,Kiambu,"79,741","238,329","490,120",
45,Saba Saba,Urban Center,Murang'a,...,...,"2,438",
46,Sagana,Urban Center,Kirinyaga,"3,031","9,837","11,203",
47,Thika,Urban Center,Murang'a / Kiambu,"82,665","136,386","251,407",
48,Ting'ang'a,Urban Center,Kiambu,...,"5,492","6,059",
49,Wanguru,Urban Center,Kirinyaga,"8,181","17,581","51,722",
