,0,1,2,3,4,5,6,7
0,Name,Status,Population Census 1979-08-24,Population Census 1989-08-24,Population Census 1999-08-24,Population Census 2009-08-24,Population Census 2019-08-24,
1,Central,Former Province,"2,345,833","3,116,703","3,724,159","4,383,743","5,482,239",
2,Kiambu,County,"686,290","914,412","1,389,723","1,623,282","2,417,735",
3,Kirinyaga,County,"291,431","391,516","457,105","528,054","610,411",
4,Murang'a,County,"648,333","858,063","736,273","942,581","1,056,640",
5,Nyandarua,County,"233,302","345,420","479,902","596,268","638,289",
6,Nyeri,County,"486,477","607,292","661,156","693,558","759,164",
7,Coast,Former Province,"1,342,794","1,829,191","2,487,264","3,325,307","4,329,474",
8,Kilifi,County,"430,986","591,903","825,855","1,109,735","1,453,787",
9,Kwale,County,"288,363","383,053","496,133","649,931","866,820",
10,Lamu,County,"42,299","56,783","72,686","101,539","143,920",
11,Mombasa,County,"341,148","461,753","665,018","939,370","1,208,333",
12,Taita-Taveta,County,"147,597","207,273","246,671","284,657","340,671",
13,Tana River,County,"92,401","128,426","180,901","240,075","315,943",
14,Eastern,Former Province,"2,719,851","3,768,677","4,631,779","5,668,123","6,821,049",
15,Embu,County,"263,173","370,138","449,149","516,212","608,599",
16,Isiolo,County,"43,478","70,078","100,861","143,294","268,002",
17,Kitui,County,"464,283","652,603","819,250","1,012,709","1,136,187",
18,Machakos,County,...,...,"906,644","1,098,584","1,421,932",
19,Makueni,County,...,...,"771,545","884,527","987,653",
20,Marsabit,County,"96,216","129,262","174,957","291,166","459,785",
21,Meru,County,...,...,"1,102,930","1,356,301","1,545,714",
22,Tharaka-Nithi,County,...,...,"306,443","365,330","393,177",
23,Nairobi,Former Province,"827,775","1,324,570","2,143,254","3,138,369","4,397,073",
24,Nairobi,County,"827,775","1,324,570","2,143,254","3,138,369","4,397,073",
25,North Eastern,Former Province,"373,787","371,391","962,143","2,310,757","2,490,073",
26,Garissa,County,"128,867","124,835","392,510","623,060","841,353",
27,Mandera,County,"105,601","123,787","250,372","1,025,756","867,457",
28,Wajir,County,"139,319","122,769","319,261","661,941","781,263",
29,Nyanza,Former Province,"2,643,956","3,507,162","4,392,196","5,442,711","6,269,579",
30,Homa Bay,County,...,...,"751,332","963,794","1,131,950",
31,Kisii,County,...,...,"952,725","1,152,282","1,266,860",
32,Kisumu,County,"482,327","664,086","804,289","968,909","1,155,574",
33,Migori,County,...,...,"666,784","917,170","1,116,436",
34,Nyamira,County,...,...,"498,102","598,252","605,576",
35,Siaya,County,"474,516","639,439","718,964","842,304","993,183",
36,Rift Valley,Former Province,"3,240,402","4,981,613","6,987,036","10,006,805","12,752,966",
37,Baringo,County,"203,792","347,990","403,141","555,561","666,763",
38,Bomet,County,...,...,...,"730,129","875,689",
39,Elgeyo-Marakwet,County,"148,868","216,487","284,494","369,998","454,480",
40,Kajiado,County,"149,005","258,659","406,054","687,312","1,117,840",
41,Kericho,County,...,...,...,"752,396","901,777",
42,Laikipia,County,"134,524","218,957","322,187","399,227","518,560",
43,Nakuru,County,"522,709","849,096","1,187,039","1,603,325","2,162,202",
44,Nandi,County,"299,319","433,613","578,751","752,965","885,711",
45,Narok,County,"210,306","398,272","536,341","850,920","1,157,873",
46,Samburu,County,"76,908","108,884","143,547","223,947","310,327",
47,Trans Nzoia,County,"259,503","393,682","575,662","818,757","990,341",
48,Turkana,County,"142,702","184,060","450,860","855,399","926,976",
49,Uasin Gishu,County,"300,766","445,530","622,705","894,179","1,163,186",
50,West Pokot,County,"158,652","225,449","308,086","512,690","621,241",
51,Western,Former Province,"1,832,663","2,544,329","3,358,776","4,334,282","5,021,843",
52,Bungoma,County,"503,935","679,146","1,011,524","1,375,063","1,670,570",
53,Busia,County,"297,841","401,658","552,099","743,946","893,681",
54,Kakamega,County,...,...,"1,296,270","1,660,651","1,867,579",
55,Vihiga,County,...,...,"498,883","554,622","590,013",
56,Kenya,Republic,"15,327,061","21,443,636","28,686,607","38,610,097","47,564,296",
