,0,1,2,3
0,Name,Status,Population Census 2019-08-24,
1,Baringo,County,"666,763",
2,Baringo Central,Subcounty,"96,951",
3,Baringo North,Subcounty,"104,871",
4,East Pokot,Subcounty,"79,923",
5,Koibatek,Subcounty,"129,535",
6,Marigat ( incl. Lake Baringo ),Subcounty,"90,958",
7,Mogotio,Subcounty,"91,104",
8,Tiaty East,Subcounty,"73,421",
9,Bomet,County,"875,689",
10,Bomet Central,Subcounty,"175,215",
11,Bomet East,Subcounty,"144,275",
12,Chepalungu,Subcounty,"164,837",
13,Konoin ( incl. Mau Forest ),Subcounty,"163,507",
14,Sotik,Subcounty,"227,855",
15,Bungoma,County,"1,670,570",
16,Bumula,Subcounty,"215,892",
17,Bungoma Central,Subcounty,"177,748",
18,Bungoma East,Subcounty,"114,548",
19,Bungoma North,Subcounty,"121,317",
20,Bungoma South,Subcounty,"287,765",
21,Bungoma West,Subcounty,"119,875",
22,Cheptais,Subcounty,"136,035",
23,Kimilili-Bungoma,Subcounty,"162,038",
24,Mount Elgon,Subcounty,"78,873",
25,Mount Elgon National Park,National Park,"3,621",
26,Tongaren,Subcounty,"100,343",
27,Webuye West,Subcounty,"152,515",
28,Busia,County,"893,681",
29,Bunyala,Subcounty,"85,977",
30,Busia,Subcounty,"142,408",
31,Butula,Subcounty,"140,334",
32,Nambale,Subcounty,"111,636",
33,Samia,Subcounty,"107,176",
34,Teso North,Subcounty,"138,034",
35,Teso South,Subcounty,"168,116",
36,Elgeyo-Marakwet,County,"454,480",
37,Keiyo North,Subcounty,"99,176",
38,Keiyo South,Subcounty,"120,750",
39,Marakwet East,Subcounty,"97,041",
40,Marakwet West,Subcounty,"137,513",
41,Embu,County,"608,599",
42,Embu East,Subcounty,"129,564",
43,Embu North,Subcounty,"79,556",
44,Embu West,Subcounty,"127,100",
45,Mbeere North,Subcounty,"108,881",
46,Mbeere South,Subcounty,"163,476",
47,Mount Kenya National Park,National Park,22,
48,Garissa,County,"841,353",
49,Balambala,Subcounty,"32,257",
50,Dadaab,Subcounty,"185,252",
51,Fafi,Subcounty,"134,040",
52,Garissa,Subcounty,"163,914",
53,Hulugho,Subcounty,"133,984",
54,Ijara,Subcounty,"141,591",
55,Lagdera,Subcounty,"50,315",
56,Homa Bay,County,"1,131,950",
57,Homa Bay,Subcounty,"117,439",
58,Ndhiwa,Subcounty,"218,136",
59,Rachuonyo East,Subcounty,"121,822",
60,Rachuonyo North,Subcounty,"178,686",
61,Rachuonyo South,Subcounty,"130,814",
62,Rangwe,Subcounty,"117,732",
63,Suba North,Subcounty,"124,938",
64,Suba South,Subcounty,"122,383",
65,Isiolo,County,"268,002",
66,Garbatulla,Subcounty,"99,730",
67,Isiolo,Subcounty,"121,066",
68,Merti,Subcounty,"47,206",
69,Kajiado,County,"1,117,840",
70,Isinya,Subcounty,"210,473",
71,Kajiado Central,Subcounty,"161,862",
72,Kajiado North,Subcounty,"306,596",
73,Kajiado West,Subcounty,"182,849",
74,Loitokitok,Subcounty,"191,846",
75,Mashuuru,Subcounty,"64,214",
76,Kakamega,County,"1,867,579",
77,Butere,Subcounty,"154,100",
78,Kakamega Central,Subcounty,"188,212",
79,Kakamega East,Subcounty,"167,641",
80,Kakamega North,Subcounty,"238,330",
81,Kakamega South,Subcounty,"111,743",
82,Khwisero,Subcounty,"113,476",
83,Likuyani,Subcounty,"152,055",
84,Lugari,Subcounty,"122,728",
85,Matete,Subcounty,"66,172",
86,Matungu,Subcounty,"166,940",
87,Mumias East,Subcounty,"116,851",
88,Mumias West,Subcounty,"115,354",
89,Navakholo,Subcounty,"153,977",
90,Kericho,County,"901,777",
91,Belgut,Subcounty,"145,072",
92,Bureti,Subcounty,"199,470",
93,Kericho East,Subcounty,"170,625",
94,Kipkelion,Subcounty,"122,530",
95,"Londiani ( incl. Mau Forest, Tinderet Forest )",Subcounty,"137,580",
96,Soin Sigowet,Subcounty,"126,500",
97,Kiambu,County,"2,417,735",
98,Gatundu North,Subcounty,"109,870",
99,Gatundu South,Subcounty,"122,103",
100,Githunguri,Subcounty,"165,232",
101,Juja,Subcounty,"300,948",
102,Kabete,Subcounty,"199,653",
103,Kiambaa,Subcounty,"236,400",
104,Kiambu,Subcounty,"145,903",
105,Kikuyu,Subcounty,"187,122",
106,Lari,Subcounty,"135,303",
107,Limuru,Subcounty,"159,314",
108,Ruiru,Subcounty,"371,111",
109,Thika East,Subcounty,"38,956",
110,Thika West,Subcounty,"245,820",
111,Kilifi,County,"1,453,787",
112,Chonyi,Subcounty,"62,335",
