,0,1,2,3,4,5,6
0,Name,Status,County,Population Census 1999-08-24,Population Census 2009-08-24,Population Census 2019-08-24,
1,Athi River ( Mavoko ),Urban Center,Machakos,"22,167",...,"81,302",
2,Chogoria,Urban Center,Tharaka-Nithi,...,"6,434","7,603",
3,Chuka,Urban Center,Tharaka-Nithi,"6,784","7,614","22,388",
4,Emali,Urban Center,Makueni / Kajiado,"3,649","7,024","18,325",
5,Embu,Urban Center,Embu,"31,500","34,825","64,979",
6,Garbatula,Urban Center,Isiolo,"1,991",...,"17,443",
7,Githunguri,Urban Center,Machakos,...,...,"63,319",
8,Isiolo,Urban Center,Isiolo,"28,854","43,746","78,650",
9,Kabati,Urban Center,Kitui,...,...,"2,420",
10,Kangundo,Urban Center,Machakos,...,...,"10,258",
11,Kathiani,Urban Center,Machakos,"1,823",...,"4,304",
12,Kiboko,Urban Center,Makueni,...,...,"2,708",
13,Kibwezi,Urban Center,Makueni,...,"4,804","8,143",
14,Kiirua,Urban Center,Meru,...,...,"2,158",
15,Kikima,Urban Center,Makueni,"1,871",...,"3,269",
16,Kinna,Urban Center,Isiolo,"4,122",...,"11,175",
17,Kithimani,Urban Center,Machakos,...,...,"2,923",
18,Kitui,Urban Center,Kitui,"13,244","19,067","29,062",
19,Laare,Urban Center,Meru,"2,141",...,"5,358",
20,Laisamis,Urban Center,Marsabit,"1,938",...,"5,047",
21,Loiyangalani,Urban Center,Marsabit,...,...,"5,193",
22,Machakos,Urban Center,Machakos,"28,891","40,819","63,767",
23,Mado Gashi ( Modogashe ),Urban Center,Isiolo / Garissa,"4,148",...,"11,814",
24,Makindu,Urban Center,Makueni,"6,226","7,766","15,038",
25,Makutano ( Kyumbi ),Urban Center,Machakos,...,...,"12,396",
26,Marimanti,Urban Center,Tharaka-Nithi,...,"1,638","2,752",
27,Marsabit,Urban Center,Marsabit,"13,862","14,474","36,289",
28,Masii,Urban Center,Machakos,...,...,"3,653",
29,Matuu,Urban Center,Machakos,"5,321","10,569","12,073",
30,Maua,Urban Center,Meru,"9,763","14,753","22,121",
31,Merti,Urban Center,Isiolo,"3,446","6,515","10,990",
32,Meru,Urban Center,Meru,...,"43,146","80,191",
33,Mitungugu,Urban Center,Meru,"3,724",...,"3,293",
34,Mlolongo,Urban Center,Machakos,...,...,"136,351",
35,Moyale,Urban Center,Marsabit,"13,944","27,632","47,850",
36,Mtito Andei,Urban Center,Makueni,...,...,"5,626",
37,Mwingi,Urban Center,Kitui,"10,138","14,900","17,025",
38,Nkubu,Urban Center,Meru,"7,725","7,385","7,675",
39,North Horr,Urban Center,Marsabit,"2,401",...,"5,177",
40,Nunguni,Urban Center,Makueni,...,...,"2,266",
41,Ol Donyo Sabuk,Urban Center,Machakos,...,...,"3,353",
42,Runyenjes,Urban Center,Embu,...,"1,956","4,943",
43,Siakago,Urban Center,Embu,...,...,"4,315",
44,Sololo,Urban Center,Marsabit,"2,541","4,098","7,683",
45,Sultan Hamud,Urban Center,Makueni / Kajiado,"4,452","3,820","8,718",
46,Tala,Urban Center,Machakos,...,...,"11,446",
47,Timau,Urban Center,Meru,...,"8,227","10,571",
48,Wamunyu,Urban Center,Machakos,408,...,"2,190",
49,Wote,Urban Center,Makueni,"5,542","9,433","19,725",
