,0,1,2,3,4,5,6
0,Name,Status,County,Population Census 1999-08-24,Population Census 2009-08-24,Population Census 2019-08-24,
1,Banisa ( Banissa ),Urban Center,Mandera,...,...,"14,974",
2,Bura East,Urban Center,Garissa,...,...,"6,496",
3,Bute,Urban Center,Wajir,"2,808",...,"14,108",
4,Dadaab,Urban Center,Garissa,"4,500",...,"11,525",
5,Eldas,Urban Center,Wajir,"2,575",...,"12,270",
6,Elwak,Urban Center,Mandera,"11,128","28,069","60,732",
7,Giriftu,Urban Center,Wajir,...,...,"7,935",
8,Habaswein,Urban Center,Wajir,...,"8,280","49,599",
9,Ijara,Urban Center,Garissa,...,...,"11,792",
10,Lafey,Urban Center,Mandera,...,...,"22,882",
11,Mandera,Urban Center,Mandera,"30,433","57,186","114,718",
12,Masalani,Urban Center,Garissa,...,"13,900","43,642",
13,Rhamu,Urban Center,Mandera,"7,437","23,894","35,644",
14,Takaba,Urban Center,Mandera,"2,931","21,271","21,517",
15,Tarbaj,Urban Center,Wajir,...,...,"3,146",
16,Wajir,Urban Center,Wajir,...,"16,188","90,116",
