,0,1,2,3,4,5,6
0,Name,Status,County,Population Census 1999-08-24,Population Census 2009-08-24,Population Census 2019-08-24,
1,Amagoro,Urban Center,Busia,...,...,"4,182",
2,Bungoma,Urban Center,Bungoma,"44,196","54,469","68,031",
3,Busia,Urban Center,Busia,"30,777","39,076","71,886",
4,Butere,Urban Center,Kakamega,...,"4,448","7,596",
5,Chavakali,Urban Center,Vihiga,...,...,"12,674",
6,Cheptais,Urban Center,Bungoma,"3,675",...,"4,419",
7,Chwele,Urban Center,Bungoma,"3,018",...,"9,797",
8,Funyula,Urban Center,Busia,...,...,"3,645",
9,Kakamega,Urban Center,Kakamega,"57,128","67,170","107,227",
10,Kapsokwony,Urban Center,Bungoma,"5,687","3,663","7,077",
11,Khayega,Urban Center,Kakamega,...,...,"3,892",
12,Kimilili,Urban Center,Bungoma,"10,261","40,928","56,050",
13,Luanda,Urban Center,Vihiga,...,"7,149","13,319",
14,Majengo,Urban Center,Vihiga,"4,423","7,396","11,913",
15,Malaba,Urban Center,Busia,"7,302","15,626","15,581",
16,Malava,Urban Center,Kakamega,...,...,"5,131",
17,Mbale ( Vihiga ),Urban Center,Vihiga,...,"36,380","17,404",
18,Mumias,Urban Center,Kakamega,"36,158","38,623","41,942",
19,Nambale,Urban Center,Busia,...,...,"3,993",
20,Port Victoria,Urban Center,Busia,...,"6,539","12,194",
21,Serem,Urban Center,Vihiga / Nandi,...,...,"3,984",
22,Shianda,Urban Center,Kakamega,...,...,"7,502",
23,Sirisia,Urban Center,Bungoma,...,...,"2,096",
24,Webuye,Urban Center,Bungoma,"19,606","23,364","42,642",
