,0,1,2,3,4,5,6,7,8,9,10
0,,Name,Adm.,Population Census (Cf) 1969-08-24,Population Census (Cf) 1979-08-24,Population Census (Cf) 1989-08-24,Population Census (C) 1999-08-24,Population Census (C) 2009-08-24,Population Census (C) 2019-08-24,Area,
1,,Athi River ( Mavoko ),EA,...,...,...,"22,167",...,"81,302",0,
2,,Awendo,NY,...,...,...,"13,760","17,909","16,815",0,
3,,Banisa ( Banissa ),NE,...,...,...,...,...,"14,974",0,
4,,Bondo,NY,...,...,...,"7,797","14,478","22,712",0,
5,,Bungoma,WE,"4,401","25,161","26,805","44,196","54,469","68,031",0,
6,,Busia,WE,"1,057","5,266","20,781","30,777","39,076","71,886",0,
7,,Chuka,EA,...,...,...,"6,784","7,614","22,388",0,
8,,Elburgon,RV,"5,343",...,"12,072",...,"29,556","28,359",0,
9,,Eldama Ravine,RV,"2,692",...,"6,831","10,518","17,610","21,385",0,
10,,Eldoret,RV,"18,196","50,503","111,882","167,016","247,500","475,716",0,
11,,Elwak,NE,...,...,...,"11,128","28,069","60,732",0,
12,,Emali,EA,...,...,...,"3,649","7,024","18,325",0,
13,,Embu,EA,"3,928","15,986","26,525","31,500","34,825","64,979",0,
14,,Garbatula,EA,...,...,...,"1,991",...,"17,443",0,
15,,Garissa,NE,...,"14,076","31,319","50,955","109,224","163,399",0,
16,,Gilgil,RV,"4,178","9,103","14,034","20,362","39,016","60,711",0,
17,,Githunguri,EA,...,...,...,...,...,"63,319",0,
18,,Habaswein,NE,...,...,...,...,"8,280","49,599",0,
19,,Hola,CO,...,...,...,...,"11,492","20,912",0,
20,,Homa Bay,NY,"3,252","7,489","23,335","32,174","28,593","44,949",0,
21,,Isebania,NY,...,...,...,...,...,"23,891",0,
22,,Isiolo,EA,"8,201","11,331","16,824","28,854","43,746","78,650",0,
23,,Juja,CE,...,...,...,"6,009","40,183","156,041",0,
24,,Kabarnet,RV,...,...,...,"9,583","17,269","22,474",0,
25,,Kajiado,RV,"1,755",...,...,"9,128","14,205","24,678",0,
26,,Kakamega,WE,"6,244","32,025",...,"57,128","67,170","107,227",0,
27,,Kakuma,RV,...,...,...,"9,107","31,581","22,984",0,
28,,Kapsabet,RV,"2,298",...,"10,537","17,918","23,303","41,997",0,
29,,Karatina,CE,"2,436",...,...,"6,852","8,362","23,552",0,
30,,Karuri,CE,...,...,"14,929","19,746","107,754","194,342",0,
31,,Kehancha,NY,...,...,...,"11,819",...,"22,194",0,
32,,Kenol,CE,...,...,...,...,...,"44,086",0,
33,,Kericho,RV,"10,144",...,...,"30,023","40,813","53,804",0,
34,,Kerugoya,CE,"1,938",...,"9,585","14,056","20,121","30,045",0,
35,,Kiambu,CE,"2,776",...,"6,522","13,814","75,203","147,870",0,
