,0,1,2,3,4,5,6
0,Name,Status,County,Population Census 1999-08-24,Population Census 2009-08-24,Population Census 2019-08-24,
1,Ahero,Urban Center,Kisumu,...,"8,362","11,801",
2,Awasi,Urban Center,Kisumu,...,...,"5,052",
3,Awendo,Urban Center,Migori,"13,760","17,909","16,815",
4,Bondo,Urban Center,Siaya,"7,797","14,478","22,712",
5,Homa Bay,Urban Center,Homa Bay,"32,174","28,593","44,949",
6,Isebania,Urban Center,Migori,...,...,"23,891",
7,Katito,Urban Center,Kisumu,"4,043","3,067","5,098",
8,Kebirigo,Urban Center,Nyamira,...,...,"4,711",
9,Kehancha,Urban Center,Migori,"11,819",...,"22,194",
10,Kendu Bay,Urban Center,Homa Bay,...,"5,213","6,064",
11,Kenyenya,Urban Center,Kisii,"2,212",...,"2,698",
12,Keroka,Urban Center,Nyamira / Kisii,...,"6,949","10,881",
13,Kisii,Urban Center,Nyamira / Kisii,...,"60,222","112,417",
14,Kisumu,Urban Center,Kisumu,"194,390","254,016","397,957",
15,Magena,Urban Center,Kisii,...,...,"3,505",
16,Maseno,Urban Center,Kisumu,"2,689","3,624","6,771",
17,Mbita ( Mbita Point ),Urban Center,Homa Bay,"6,103","10,720","14,916",
18,Migori,Urban Center,Migori,"31,644","52,418","71,668",
19,Mogonga ( Magonga ),Urban Center,Kisii,...,...,"3,628",
20,Mosocho,Urban Center,Kisii,...,...,"3,824",
21,Muhoroni,Urban Center,Kisumu,...,...,"7,215",
22,Muhuru Bay,Urban Center,Migori,...,"6,144","4,924",
23,Ndhiwa,Urban Center,Homa Bay,...,...,"4,762",
24,Ndori,Urban Center,Siaya,...,...,"3,770",
25,Nyamira,Urban Center,Nyamira,"9,971","12,657","24,483",
26,Nyandiwa Beach,Urban Center,Homa Bay,...,...,"4,033",
27,Nyansiongo ( Kijauri ),Urban Center,Nyamira,...,"5,792","5,993",
28,Ogembo,Urban Center,Kisii,...,...,"3,901",
29,Oyugis,Urban Center,Homa Bay,"9,084","8,917","19,947",
30,Rabuor,Urban Center,Kisumu,...,...,"2,942",
31,Rodi Kopany,Urban Center,Homa Bay,...,...,"8,122",
32,Rongo,Urban Center,Migori,"6,175","12,282","20,688",
33,Sega,Urban Center,Siaya,...,...,"4,179",
34,Siaya,Urban Center,Siaya,"13,787","22,182","33,153",
35,Sindo,Urban Center,Homa Bay,...,"5,812","10,286",
36,Sondu,Urban Center,Kisumu / Kericho,...,...,"6,869",
37,Sori,Urban Center,Migori,"4,339","8,604","7,020",
38,Suneka,Urban Center,Kisii,...,"5,688","13,405",
39,Tabaka,Urban Center,Kisii,...,...,"2,910",
40,Ugunja,Urban Center,Siaya,...,"6,491","7,060",
41,Usenge,Urban Center,Siaya,"5,771","9,686","7,976",
42,Yala,Urban Center,Siaya,...,...,"3,237",
