,0,1,2,3,4,5,6
0,Name,Status,County,Population Census 1999-08-24,Population Census 2009-08-24,Population Census 2019-08-24,
1,Archers Post,Urban Center,Samburu,"3,966","2,683","4,620",
2,Bahati,Urban Center,Nakuru,...,...,"3,180",
3,Baragoi,Urban Center,Samburu,"4,345","4,628","4,254",
4,Baraton,Urban Center,Nandi,...,...,"2,043",
5,Bomet,Urban Center,Bomet,...,"6,742","11,765",
6,Brooke Bond,Urban Center,Kericho,...,...,"7,896",
7,Burnt Forest,Urban Center,Uasin Gishu,...,...,"4,739",
8,Chebilat,Urban Center,Bomet / Nyamira,...,...,"5,373",
9,Chepsion,Urban Center,Kericho,...,...,"3,096",
10,Elburgon,Urban Center,Nakuru,"23,173","29,556","28,359",
11,Eldama Ravine,Urban Center,Baringo,"10,518","17,610","21,385",
12,Eldoret,Urban Center,Uasin Gishu,"167,016","247,500","475,716",
13,Ewuaso Kedong,Urban Center,Kajiado,...,...,"2,144",
14,Gilgil,Urban Center,Nakuru,"20,362","39,016","60,711",
15,Il Bissil ( Bissil ),Urban Center,Kajiado,...,"5,345","7,812",
16,Illasit ( Laset ),Urban Center,Kajiado,...,...,"4,631",
17,Isineti,Urban Center,Kajiado,...,...,"4,437",
18,Isinya,Urban Center,Kajiado,...,"8,791","14,429",
19,Iten,Urban Center,Elgeyo-Marakwet,...,"9,012","12,630",
20,Jua Kali,Urban Center,Uasin Gishu,...,...,"4,623",
21,Kabarnet,Urban Center,Baringo,"9,583","17,269","22,474",
22,Kainuk,Urban Center,Turkana,...,...,"10,535",
23,Kajiado,Urban Center,Kajiado,"9,128","14,205","24,678",
24,Kakuma,Urban Center,Turkana,"9,107","31,581","22,984",
25,Kampi ya Moto,Urban Center,Nakuru,...,...,"2,775",
26,Kapcherop,Urban Center,Elgeyo-Marakwet,...,...,"3,240",
27,Kapkatet,Urban Center,Kericho,...,...,"2,484",
28,Kapsabet,Urban Center,Nandi,"17,918","23,303","41,997",
29,Kapsoit,Urban Center,Kericho,...,...,"3,545",
30,Kapsowar,Urban Center,Elgeyo-Marakwet,...,...,"4,709",
31,Karuga,Urban Center,Laikipia,...,...,"2,301",
