,0,1,2,3,4,5,6
0,,Name,Native,Adm.,Population Census (Cp) 1984-07-31,Population Census (Cf) 2006-04-15,Area
1,,Abū Ghīlān,ابو غيلان,JG,...,"6,449",0
2,,Abū Zayyān,ابو زيان,JG,...,"11,699",0
3,,Adirī,ادري,SH,"5,610","3,834",0
4,,Ajdābiyā,أجدابيا,WA,"65,270","107,564",0
5,,Al-Abriq [ Labraq ],الابرق,DR,"5,210","6,756",0
6,,Al-Abyār,الأبيار,MJ,"16,940","23,681",0
7,,Al-'Ajaylāt,العجيلات,NQ,"28,250","77,198",0
8,,Al-Akhyār,الاخيار,MB,...,"16,708",0
9,,Al-'Alūaṣ,العلوص,MB,...,"13,977",0
10,,Al-Aṣābi'ah,الاصابعة,JG,...,"22,622",0
11,,Al-'Awaynāt,العوينات,GT,...,"3,168",0
12,,Al-'Azīziyah,العزيزية,JI,"29,310","42,777",0
13,,Al-Bardī [ Bardia ],البردي,BU,"2,940","4,716",0
14,,Al-Bayḍā' [ Bayda ],البيضاء,JA,"66,020","105,659",0
15,,Al-Bayyāḍah,الشرقية,MJ,"4,490","5,538",0
16,,Al-Birkat,البركت,GT,"3,590","8,088",0
17,,Al-Buraīqah [ Brega ],البريقة,WA,"9,680","25,550",0
18,,Al-Gharayfah ( incl. Al-Q'īrāt ),الشمالية,WD,...,"19,141",0
19,,Al-Ḥarshah,الحرشة,ZA,"15,880","66,216",0
20,,Al-Ḥawāmid,الحوامد,NL,...,"3,721",0
21,,Al-Jawf ( incl. Al-Kufrah ),الجوف,KF,"14,950","34,349",0
22,,Al-Jumayl,الجميل,NQ,"21,160","51,974",0
23,,Al-Khaḍrā',الخضراء,MB,...,"7,772",0
24,,Al-Khums,الخمس,MB,"38,170","126,348",0
25,,Al-Marj,المرج,MJ,"43,550","62,595",0
26,,Al-Māyah,الماية,JI,"6,830","11,594",0
27,,Al-Mukhīlī [ Mechili ],المخيلي,DR,...,"1,764",0
28,,Al-Qarābūllī [ Castelverde ],القرابوللي,MB,...,"40,496",0
29,,Al-Qaṭrūn,القطرون,MQ,...,"5,913",0
30,,Al-Qawāsim,القواسم,JG,...,"12,354",0
