,0,1,2,3,4,5,6,7
0,,Name,Adm.,Population Census (C) 1975-06-01,Population Census (Cf) 1993-08-01,Population Census (Cf) 2018-06-01,Area,
1,,Ambalavao,HMA,"6,988","19,673","43,231",9994,
2,,Ambanja,DIA,"12,258","21,463","60,321",8094,
3,,Ambatoboeny,BOE,...,"15,065","33,456",58255,
4,,Ambatofinandrahana,AMM,...,"18,263","37,409",86888,
5,,Ambatolampy,VAK,"11,539","18,847","32,291",2833,
6,,Ambatondrazaka,ALM,"18,044","27,632","47,649",1108,
7,,Ambilobe,DIA,...,"10,281","62,346",13077,
8,,Amboasary,ASY,...,"24,480","45,989",21538,
9,,Ambodifototra ( Sainte-Marie ),AJF,...,"7,877","26,822",18522,
10,,Ambohidratrimo,AMG,...,"6,380","23,760",1226,
11,,Ambohimahasoa,HMA,...,"6,327","11,606",1283,
12,,Ambositra,AMM,"16,780","21,429","41,078",1532,
13,,Ambovombe,ADR,...,"45,425","65,402",47780,
14,,Ampanihy,AAF,...,"17,521","38,000",157910,
15,,Amparafaravola,ALM,...,"33,103","33,299",39293,
16,,Analalava,SOF,...,"7,967","12,991",77871,
17,,Andapa,SAV,"6,275","14,612","34,616",4304,
18,,Andilamena,ALM,...,"12,695","37,229",157510,
19,,"Andoany ( Antsirambazaha, Hell-Ville )",DIA,"6,183","15,935","50,251",2915,
20,,Anjozorobe,AMG,...,"12,594","24,117",32926,
21,,Ankazobe,AMG,...,"10,419","26,845",50920,
22,,Antalaha,SAV,"17,541","23,967","67,888",16269,
23,,Antananarivo [ Tananarive ],AMG,"451,808","710,236","1,274,225",8501,
24,,Antsirabe,VAK,"79,028","126,062","246,354",13294,
25,,Antsiranana ( Diégo-Suarez ),DIA,"44,143","59,040","129,320",7190,
26,,Antsohihy,SOF,"8,721","14,206","38,253",2059,
27,,Arivonimamo,ITA,"8,497","14,533","28,324",4306,
28,,Bealanana,SOF,...,"11,299","30,937",38687,
29,,Befandriana-Avaratra ( Befandriana-Nord ),SOF,...,"6,891","17,559",1241,
30,,Besalampy,MEL,...,"7,111","11,331",79058,
31,,Betafo,VAK,...,"19,681","34,336",5403,
32,,Betioky,AAF,...,"21,196","25,612",47623,
33,,Betroka,ASY,...,"9,150","17,327",19555,
34,,Boriziny ( Port-Bergé ),SOF,...,"6,546","22,573",2287,
35,,"Brickaville ( Ampasimanolotra, Vohibinany )",ATS,...,"16,366","27,865",13523,
36,,Fandriana,AMM,...,"22,123","29,232",24787,
37,,Farafangana,AAN,"13,652","17,487","34,676",2697,
38,,Fenoarivo Atsinanana ( Fénérive-Est ),AJF,...,"13,559","41,734",2293,
39,,Fianarantsoa,HMA,"68,054","109,260","191,776",8605,
40,,Ifanadiana,VVF,...,"12,386","15,681",34327,
41,,Ihosy,IHO,...,"11,964","39,556",3009,
42,,Ikongo,VVF,...,"22,780","36,684",50437,
43,,Imerintsiatosika,ITA,...,...,"69,953",18231,
44,,Maevatanana,BET,...,"9,107","25,928",3315,
45,,Mahabo,MEN,...,"6,250","17,731",2648,
46,,Mahajanga ( Majunga ),BOE,"65,864","106,780","246,022",5105,
47,,Mahanoro,ATS,...,"25,650","37,800",26766,
48,,Maintirano,MEL,...,"7,302","22,293",14617,
49,,Mampikony,SOF,...,"5,707","28,593",833,
50,,Manakara,VVF,"19,768","24,921","44,237",2908,
51,,Mananara Avaratra ( Mananara-Nord ),AJF,...,"26,480","35,148",16552,
52,,Mananjary,VVF,"14,638","19,527","25,222",3659,
53,,Mandritsara,SOF,...,"9,370","31,135",2618,
54,,Manja,MEN,...,"8,162","20,556",73742,
55,,Manjakandriana,AMG,...,"21,020","22,188",7493,
56,,Maroantsetra,AJF,...,"15,314","42,529",3336,
57,,Marovoay,BOE,"20,253","20,910","39,290",9296,
58,,Miandrivazo,MEN,...,"14,022","20,421",49281,
59,,Miarinarivo,ITA,...,"7,615","13,109",1793,
60,,Morafeno Bekily,ADR,...,"6,929","20,915",16623,
61,,Moramanga,ALM,"10,806","18,852","57,084",4079,
62,,Morombe,AAF,...,"6,965","22,625",71523,
63,,Morondava,MEN,"19,061","25,072","53,510",3498,
64,,Sambava,SAV,...,"22,050","84,039",9892,
65,,Soalala,BOE,...,"7,303","14,328",192580,
66,,Soavinandriana,ITA,...,"26,726","40,045",19951,
67,,"Taolanaro ( Tola'aro, Tôlanaro, Fort-Dauphin )",ASY,"19,605","30,616","67,284",3727,
68,,Toamasina ( Tamatave ),ATS,"77,395","137,782","325,857",3091,
69,,Toliara ( Tuléar ),AAF,"45,676","80,826","168,756",3212,
70,,Tsaratanana,BET,...,"11,201","24,971",135550,
71,,Tsiroanomandidy,BON,"11,444","17,851","44,461",3584,
72,,Vangaindrano,AAN,...,"16,592","38,537",6950,
73,,Vatomandry,ATS,...,"7,470","15,836",2869,
74,,Vavatenina,AJF,...,"23,761","35,750",26203,
75,,Vohemar,SAV,...,"6,977","22,047",1699,
76,,Vohipeno,VVF,...,"7,183","14,751",4130,
