,0,1,2,3,4,5
0,Name,Status,Population Census 1993-08-01,Population Census 2018-06-01,Population Projection 2020-06-01,
1,Alaotra-Mangoro,Region,"613,411","1,249,931","1,316,136",
2,Ambatondrazaka,District,"184,785","358,164","375,183",
3,Amparafaravola,District,"163,852","322,691","338,494",
4,Andilamena,District,"31,655","104,236","114,206",
5,Anosibe An'ala,District,"65,396","114,116","118,439",
6,Moramanga,District,"167,723","350,724","369,814",
7,Amoron'i Mania,Region,"473,801","837,116","889,497",
8,Ambatofinandrahana,District,"87,927","217,493","237,262",
9,Ambositra,District,"173,576","297,535","314,968",
10,Fandriana,District,"143,592","215,642","225,574",
11,Manandriana,District,"68,706","106,446","111,693",
12,Analamanga,Region,"1,758,925","3,623,925","3,812,126",
13,Ambohidratrimo,District,"185,145","442,244","470,221",
14,Andramasina,District,"109,444","169,171","173,237",
15,Anjozorobe,District,"114,311","226,258","236,729",
16,Ankazobe,District,"87,315","193,426","204,349",
17,Antananarivo Atsimondrano,District,"229,597","648,780","699,348",
18,Antananarivo Avaradrano,District,"163,471","449,578","483,687",
19,Antananarivo Renivohitra,District,"710,236","1,274,225","1,321,269",
20,Manjakandriana,District,"159,406","220,243","223,286",
21,Analanjirofo,Region,"601,566","1,150,089","1,211,380",
22,Fenoarivo Atsinanana ( Fenerive-Est ),District,"185,147","293,565","303,525",
23,Mananara Avaratra ( Mananara-Nord ),District,"81,713","240,149","261,784",
24,Maroantsetra,District,"128,832","250,928","264,234",
25,Nosy Boraha ( Sainte-Marie ),District,"12,563","26,822","28,467",
26,Soanierana Ivongo,District,"76,471","143,687","150,841",
27,Vavatenina,District,"116,840","194,938","202,529",
28,Androy,Region,"347,520","900,235","966,708",
29,Ambovombe-Androy,District,"146,078","362,195","387,339",
30,Bekily,District,"99,194","237,111","252,765",
31,Beloha,District,"50,652","154,052","167,650",
32,Tsihombe,District,"51,596","146,877","158,954",
33,Anosy,Region,"396,959","809,051","858,988",
34,Amboasary Atsimo ( Amboasary-Sud ),District,"120,248","258,241","275,397",
35,Betroka,District,"107,149","210,071","222,278",
36,Taolanaro ( Tôlanaro ),District,"169,562","340,739","361,313",
37,Atsimo-Andrefana,Region,"743,007","1,797,894","1,892,024",
38,Ampanihy Ouest,District,"163,210","398,995","420,065",
39,Ankazoabo,District,"38,122","72,557","74,751",
40,Benenitra,District,"20,923","43,332","44,972",
41,Beroroha,District,"31,199","68,729","71,712",
42,Betioky Atsimo ( Betioky-Sud ),District,"131,342","306,859","321,809",
43,Morombe,District,"76,933","217,144","231,431",
44,Sakaraha,District,"53,960","150,366","160,094",
45,Toliara I,District,"80,826","168,756","175,251",
46,Toliara II,District,"146,492","371,156","391,939",
47,Atsimo-Atsinanana,Region,"424,765","1,030,404","1,095,667",
48,Befotaka ( Befotaka-Sud ),District,"18,216","53,440","57,750",
49,Farafangana,District,"156,942","407,943","436,226",
50,Midongy ( Midongy Atsimo ),District,"19,629","47,779","50,812",
51,Vangaindrano,District,"159,110","356,271","376,110",
52,Vondrozo,District,"70,868","164,971","174,769",
53,Atsinanana,Region,"780,484","1,478,472","1,562,330",
54,Antanambao Manampontsy,District,"35,533","61,459","64,402",
55,Mahanoro,District,"163,232","285,526","299,459",
56,Marolambo,District,"92,385","166,312","174,871",
57,Toamasina I,District,"137,782","325,857","350,607",
58,Toamasina II,District,"129,581","260,456","276,478",
59,Vatomandry,District,"99,383","169,861","177,786",
60,Vohibinany ( Brickaville ),District,"122,588","209,001","218,727",
61,Betsiboka,Region,"170,175","393,278","417,610",
