,0,1,2,3,4,5,6,7,8,9,10
0,,Name,Status,Native,Adm.,Population Census (C) 1982-09-03,Population Census (C) 1994-09-02,Population Census (C) 2004-09-02,Population Census (C) 2014-09-01,Area,
1,,Agadir,UCom,اكادير,SMS,"132,387","254,865","346,106","421,844",11611,
2,,Ahfir,UCom,احفير,ORI,...,"20,508","19,482","19,630",748,
3,,Aïn Attig,UCom,عين عتيق,RSK,...,"15,513","17,688","25,078",3828,
4,,Aïn El Aouda,UCom,عين العودة,RSK,"3,533","13,708","25,105","49,816",1044,
5,,Aïn Harrouda,UCom,عين حرودة,GCS,...,"27,741","41,853","62,420",3041,
6,,Aïn Taoujdate,UCom,عين تاوجطات,FMK,"7,776","16,070","22,030","28,288",527,
7,,Aït Amira,UrbC,ايت عميرة,SMS,...,...,...,"48,560",0,
8,,Aït Melloul,UCom,أيت ملول,SMS,"11,712","82,825","130,370","171,847",2696,
9,,Aït Ourir,UCom,أيت أورير,MSF,"6,079","12,162","20,005","39,108",1504,
10,,Al Aâroui,UCom,العروي,ORI,"10,836","27,049","36,021","47,599",2210,
11,,Al Hoceïma,UCom,الحسيمة,TTH,"41,662","55,216","55,357","56,716",1536,
12,,Aourir,UrbC,أورير,SMS,...,"11,270","21,810","35,365",0,
13,,Arfoud,UCom,ارفود,DTF,"10,124","18,563","23,637","29,279",631,
14,,Assilah,UCom,اصيلة,TTH,"18,722","24,588","28,217","31,147",3408,
15,,Azemmour,UCom,أزمور,GCS,"24,774","32,739","36,722","40,920",435,
16,,Azilal,UCom,أزيلال,BMK,"7,849","18,080","27,719","38,520",1231,
17,,Azrou,UCom,ازرو,FMK,"31,471","40,808","47,540","54,350",894,
18,,Bejaâd,UCom,ابي الجعد,BMK,"28,308","33,321","40,513","46,893",1208,
19,,Ben Ahmed,UCom,بن أحمد,GCS,"15,808","19,135","21,361","33,105",397,
20,,Ben Guerir,UCom,ابن جرير,MSF,"22,354","47,080","62,872","88,626",1829,
21,,Beni Ensar ( incl. Farkhana ),UCom,بني انصار,ORI,...,"41,925","52,233","56,582",6113,
22,,Béni Mellal,UCom,بني ملال,BMK,"95,003","140,212","163,286","192,676",5070,
23,,Benslimane,UCom,بنسليمان,GCS,"24,125","36,977","46,478","57,101",2774,
24,,Berkane ( incl. Bouhdila ),UCom,بركان,ORI,"60,490","77,026","96,157","109,237",2700,
25,,Berrechid,UCom,برشيد,GCS,"29,738","54,781","89,830","136,634",2918,
26,,Biougra,UCom,بيوكرة,SMS,"2,974","13,885","25,928","37,933",1165,
27,,Bouarfa,UCom,بوعرفة,ORI,"13,471","19,631","25,947","28,846",0,
28,,Bouskoura ( incl. Lamkanssa ),UCom,بوسكورة,GCS,...,"22,818","92,259","103,026",11886,
29,,Bouznika,UCom,بوزنيقة,GCS,"10,137","21,327","27,028","37,238",11255,
30,,Casablanca ( Dar El Beida ),City,الدار البيضاء,GCS,"2,139,204","2,717,125","3,032,116","3,359,818",19567,
31,,Chefchaouen,UCom,شفشاون,TTH,"23,563","31,410","35,709","42,786",1640,
32,,Chichaoua,UCom,شيشاوة,MSF,...,"9,738","15,657","27,869",1952,
