,0,1,2,3,4,5,6,7,8,9,10
0,,Name,Abbr.,Native,Area A (km²),Population Census (C) 1994-09-02,Population Census (C) 2004-09-02,Population Census (C) 2014-09-01,Population Projection (P) 2020-07-01,,
1,,Morocco,MAR,‏المغرب‎,"410,000","25,821,571","29,475,763","33,337,529","35,372,600",,
2,,Béni Mellal - Khénifra,BMK,بني ملال - خنيفرة,"27,750","2,137,675","2,307,566","2,520,776","2,613,100",2775000,
3,,Drâa - Tafilalet,DTF,درعة - تافيلالت,"86,140","1,349,881","1,493,595","1,635,008","1,693,800",8614000,
4,,Fès - Meknès,FMK,فاس - مكناس,"38,880","3,425,789","3,873,214","4,236,892","4,405,900",3888000,
5,,Grand Casablanca - Settat [ Greater Casablanca ],GCS,الدار البيضاء الكبرى - سطات,"20,190","5,125,917","5,890,609","6,861,739","7,408,200",2019000,
6,,Guelmim - Oued Noun,GUE,كلميم - واد نون,"44,130","360,706","408,147","433,757","446,200",4413000,
7,,Marrakech - Safi,MSF,مراكش - آسفي,"39,040","3,546,768","3,983,659","4,520,569","4,774,400",3904000,
8,,Oriental,ORI,الشرق,"66,110","1,918,859","2,102,781","2,314,346","2,453,200",6611000,
9,,Rabat - Salé - Kénitra,RSK,الرباط - سلا - القنيطرة‎,"17,690","3,417,094","4,023,217","4,580,866","4,867,700",1769000,
10,,Souss - Massa,SMS,سوس - ماسة,"53,720","1,926,288","2,324,142","2,676,847","2,896,200",5372000,
11,,Tanger - Tétouan - Al Hoceïma,TTH,طنجة - تطوان - الحسيمة,"16,170","2,612,594","3,068,833","3,556,729","3,813,900",1617000,
