,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Name,Abbr.,Status,Capital,Area A (km²),Population Census (C) 1974-12-08,Population Census (C) 1985-12-15,Population Census (Cf) 2004-12-04,Population Census (Cf) 2015-12-04,Population Census (Cf) 2021-12-09,,
1,,Sierra Leone,SLE,Rep,Freetown,"72,640","2,735,159","3,515,812","4,976,871","7,092,113","7,548,702",,
2,,Eastern,E,Prov,Kenema,"15,676","775,931","960,551","1,191,539","1,642,370","1,943,610",1567600,
3,,Kailahun,,Dist,Kailahun,"3,940","186,365","233,839","358,190","526,379","550,435",394000,
4,,Kenema,,Dist,Kenema,"6,345","266,636","337,055","497,948","609,891","772,472",634500,
5,,Kono,,Dist,Koidu,"5,391","328,930","389,657","335,401","506,100","620,703",539100,
6,,Northern ( North Eastern ),N,Prov,Makeni,"22,538","1,046,158","1,259,641","875,971","1,346,316","1,316,831",2253800,
7,,Bombali,,Dist,Makeni,"3,876","233,626","317,729","270,923","422,960","387,236",387600,
8,,Falaba,,Dist,Bendugu,"7,423",...,...,"130,753","205,353","166,205",742300,
9,,Koinadugu,,Dist,Kabala,"4,951","158,626","183,286","135,005","204,019","206,133",495100,
10,,Tonkolili,,Dist,Magburaka,"6,288","206,321","243,051","339,290","513,984","557,257",628800,
11,,North Western,NW,Reg,Port Loko,"13,527",Northern,Northern,"869,582","1,161,885","1,186,050",1352700,
12,,Kambia,,Dist,Kambia,"3,031","155,341","186,231","270,462","345,474","367,699",303100,
13,,Karene,,Dist,Kamakwie,"5,828",...,...,"210,884","285,546","290,313",582800,
14,,Port Loko,,Dist,Port Loko,"4,668","292,244","329,344","388,236","530,865","528,038",466800,
15,,Southern,S,Prov,Bo,"20,202","596,758","741,377","1,092,657","1,441,308","1,830,881",2020200,
16,,Bo,,Dist,Bo,"5,463","217,711","268,671","463,668","575,478","756,975",546300,
17,,Bonthe ( incl. Sherbro Urban ),,Dist,Bonthe,"3,547","87,761","105,007","139,687","200,781","297,561",354700,
18,,Moyamba,,Dist,Moyamba,"7,012","188,745","250,514","260,910","318,588","346,771",701200,
19,,Pujehun,,Dist,Pujehun,"4,179","102,741","117,185","228,392","346,461","429,574",417900,
20,,Western,W,Area,Freetown,696,"316,312","554,243","947,122","1,500,234","1,271,330",69600,
21,,Western Area Rural,,Dist,Waterloo,614,"40,065","84,467","174,249","444,270","662,156",61400,
22,,Western Area Urban ( Freetown ),,Dist,Freetown,82,"276,247","469,776","772,873","1,055,964","609,174",8200,
