,0,1,2,3,4,5
0,Name,Status,Population Census 2004-12-04,Population Census 2015-12-04,Population Census 2021-12-09,
1,Bo,District,"463,668","575,478","756,975",
2,Badjia,Chiefdom,"7,698","8,135","10,818",
3,Bagbo,Chiefdom,"24,834","25,884","29,042",
4,Bagbwe,Chiefdom,"10,904","20,926","15,976",
5,Bo,City,"149,957","174,369","223,075",
6,Boama,Chiefdom,"50,937","45,835","55,507",
7,Bongor,Chiefdom,...,"16,305","20,268",
8,Bumpe Ngao,Chiefdom,"35,642","44,279","54,364",
9,Gbo,Chiefdom,"5,050","5,403","6,386",
10,Jaiama,Chiefdom,...,"14,993","22,372",
11,Kakua,Chiefdom,"29,770","51,074","96,658",
12,Komboya,Chiefdom,"15,616","15,623","17,503",
13,Lugbu,Chiefdom,"23,639","25,453","37,157",
14,Niawa Lenga,Chiefdom,"11,109","13,955","16,368",
15,Selenga,Chiefdom,"5,412","9,175","6,519",
16,Tikonko,Chiefdom,"39,399","53,206","92,074",
17,Valunia,Chiefdom,"17,741","35,558","37,000",
18,Wonde,Chiefdom,"9,893","15,305","15,888",
19,Bombali,District,"270,923","422,960","387,236",
20,Biriwa,Chiefdom,"28,175","47,305","40,787",
21,Bombali Shebora,Chiefdom,...,"28,979","32,065",
22,Bombali Siari,Chiefdom,...,"7,434","8,820",
23,Gbanti,Chiefdom,...,"42,130","54,295",
24,Gbendembu,Chiefdom,...,"18,452","17,424",
25,Kamaranka,Chiefdom,...,"11,852","11,493",
26,Magbaimba Ndorwahun,Chiefdom,"8,655","12,688","9,692",
27,Makari,Chiefdom,...,"39,215","42,803",
28,Makeni,City,"82,840","125,970","85,116",
29,Mara,Chiefdom,...,"17,451","11,795",
30,N'gowahun,Chiefdom,...,"20,348","21,139",
31,Paki Masabong,Chiefdom,"17,320","19,880","22,414",
32,Safroko Limba,Chiefdom,"21,199","31,256","29,393",
33,Bonthe,District,"139,687","200,781","297,561",
34,Bendu-Cha,Chiefdom,"4,680","7,168","6,901",
35,Bonthe Urban,Town,"9,740","10,075","12,376",
36,Bum,Chiefdom,"18,827","24,339","34,793",
37,Dema,Chiefdom,"5,301","7,411","14,246",
38,Imperri,Chiefdom,"17,576","33,394","55,428",
39,Jong,Chiefdom,"28,495","33,816","58,265",
40,Kpanda Kemo,Chiefdom,"7,661","10,438","14,574",
41,Kwamebai Krim,Chiefdom,"7,715","14,289","14,748",
42,Nongoba Bullom,Chiefdom,"13,617","20,060","28,578",
43,Sittia,Chiefdom,"13,449","21,347","30,917",
44,Sogbeni,Chiefdom,"7,853","10,863","16,964",
45,Yawbeko,Chiefdom,"4,773","7,581","9,771",
46,Falaba,District,"130,753","205,353","166,205",
47,Delemandugu,Chiefdom,...,"21,013","16,189",
48,Dembelia,Chiefdom,...,"10,228","11,822",
49,Dembelia-Sinkunia,Chiefdom,"13,921","21,449","15,645",
50,Folosaba,Chiefdom,...,"10,691","6,550",
51,Kamadu Yiraia,Chiefdom,...,"13,230","11,870",
52,Kebelia,Chiefdom,...,"8,972","6,954",
53,Kulor Saradu,Chiefdom,...,"12,375","9,522",
54,Mongo,Chiefdom,...,"15,521","11,643",
55,Morifindugu,Chiefdom,...,"11,302","13,165",
56,Neya,Chiefdom,...,"25,239","17,960",
57,Nyedu,Chiefdom,...,"5,090","6,716",
58,Sulima,Chiefdom,...,"26,667","22,890",
59,Wollay Barawa,Chiefdom,...,"23,576","15,279",
60,Kailahun,District,"358,190","526,379","550,435",
61,Dea,Chiefdom,"9,876","13,414","16,492",
62,Jahn,Chiefdom,...,"10,257","9,759",
63,Jawie,Chiefdom,"42,639","50,951","51,288",
64,Kissi Kama,Chiefdom,"12,972","20,421","21,487",
65,Kissi Teng,Chiefdom,"30,455","45,149","24,743",
66,Kissi Tongi,Chiefdom,"33,457","50,950","35,917",
67,Kpeje Bongre,Chiefdom,"12,700","25,169","21,182",
68,Kpeje West,Chiefdom,"13,010","27,544","28,188",
69,Luawa,Chiefdom,"65,500","81,044","113,897",
70,Malema,Chiefdom,"23,298","37,095","37,763",
71,Mandu,Chiefdom,"19,708","30,984","32,642",
72,Njaluahun,Chiefdom,...,"50,959","53,541",
73,Penguia,Chiefdom,"12,518","26,272","30,703",
74,Upper Bambara,Chiefdom,"28,438","26,848","51,900",
75,Yawei,Chiefdom,"16,135","29,322","20,933",
76,Kambia,District,"270,462","345,474","367,699",
77,Bramaia,Chiefdom,...,"23,065","37,132",
78,Dixon,Chiefdom,...,"7,990","8,277",
79,Gbinle,Chiefdom,...,"15,443","18,290",
80,Khonimaka,Chiefdom,...,"13,699","18,896",
81,Magbema,Chiefdom,"67,211","92,165","98,990",
82,Mambolo,Chiefdom,"33,825","37,952","42,649",
83,Masungbala,Chiefdom,...,"15,679","19,298",
84,Munu Thalla,Chiefdom,...,"16,118","15,044",
85,Samu,Chiefdom,"56,857","64,790","67,609",
86,Tonko Limba,Chiefdom,"39,106","58,573","41,514",
87,Karene,District,"210,884","285,546","290,313",
88,Buya,Chiefdom,...,"13,174","14,378",
89,Dibia,Chiefdom,"15,077","15,519","24,059",
90,Gbanti,Chiefdom,...,"16,639","19,789",
91,Libeisaygahun/Gbombahun,Chiefdom,...,"11,770","13,510",
92,Mafonda Makerembay,Chiefdom,...,"4,429","6,560",
93,Romende,Chiefdom,...,"21,107","27,860",
94,Safroko,Chiefdom,...,"10,980","9,158",
95,Sanda Loko,Chiefdom,"27,667","45,075","24,862",
96,Sanda Magbolontor,Chiefdom,"15,088","23,731","27,862",
97,Sanda Tendaran,Chiefdom,"18,840","26,228","29,782",
98,Sella Limba,Chiefdom,"52,579","58,401","58,066",
99,Tambakha Simibungie,Chiefdom,...,"14,030","9,805",
100,Tambakha Yobangie,Chiefdom,...,"24,463","24,622",
101,Kenema,District,"497,948","609,891","772,472",
102,Dama,Chiefdom,"26,157","30,751","37,994",
103,Dodo,Chiefdom,"14,194","22,858","21,143",
104,Gaura,Chiefdom,"17,361","18,217","34,704",
105,Gorama Mende,Chiefdom,"32,539","43,359","48,332",
106,Kandu Leppiama,Chiefdom,"21,743","18,229","22,722",
107,Kenema,City,"128,402","200,443","255,110",
108,Koya,Chiefdom,"10,184","13,482","19,338",
109,Langrama,Chiefdom,"4,356","3,584","4,474",
110,Lower Bambara,Chiefdom,"78,389","76,281","91,477",
111,Malegohun,Chiefdom,"12,224","20,544","19,519",
112,Niawa,Chiefdom,"8,496","7,815","12,827",
113,Nomo,Chiefdom,"4,105","5,491","9,351",
114,Nongowa,Chiefdom,"51,486","45,562","67,567",
115,Simbaru,Chiefdom,"18,375","17,397","22,868",
116,Small Bo,Chiefdom,"31,193","29,498","41,744",
117,Tunkia,Chiefdom,"21,330","36,054","41,320",
118,Wandor,Chiefdom,"17,414","20,326","21,982",
119,Koinadugu,District,"135,005","204,019","206,133",
120,Diang,Chiefdom,"19,700","29,063","32,480",
121,Gbonkobon Kayaka,Chiefdom,...,"7,728","8,005",
122,Kalian,Chiefdom,...,"22,267","18,669",
123,Kamukeh,Chiefdom,...,"12,187","10,764",
124,Kasunko Kakellian,Chiefdom,...,"10,824","17,299",
125,Nieni,Chiefdom,...,"32,356","29,336",
126,Sengbe,Chiefdom,...,"24,786","22,095",
127,Tamiso,Chiefdom,...,"6,244","7,157",
128,Wara-Wara Bafodia,Chiefdom,...,"22,419","11,666",
129,Wara-Wara Yagala,Chiefdom,"27,168","36,145","48,662",
130,Kono,District,"335,401","506,100","620,703",
131,Fiama,Chiefdom,"9,091","15,455","13,415",
132,Gbane,Chiefdom,"14,813","24,404","28,043",
133,Gbane Kandor,Chiefdom,"4,163","11,903","9,488",
134,Gbense,Chiefdom,"24,599","15,864","21,146",
135,Gorama Kono,Chiefdom,"11,643","18,294","13,603",
136,Kamara,Chiefdom,"12,538","19,412","19,110",
137,Koidu,City,"80,025","128,030","196,418",
138,Lei,Chiefdom,"16,452","26,966","28,939",
139,Mafindor,Chiefdom,"6,801","13,703","10,314",
140,Nimikoro,Chiefdom,"44,295","61,225","80,475",
141,Nimiyama,Chiefdom,"26,140","28,168","42,657",
142,Sandor,Chiefdom,"49,971","89,879","94,515",
143,Soa,Chiefdom,"21,249","39,250","41,214",
144,Tankoro,Chiefdom,"11,014","8,501","17,268",
145,Toli,Chiefdom,"2,607","5,046","4,098",
146,Moyamba,District,"260,910","318,588","346,771",
147,Bagruwa,Chiefdom,"18,989","27,623","28,311",
148,Bumpeh,Chiefdom,"32,363","37,445","38,740",
149,Dasse,Chiefdom,"10,879","13,217","13,451",
150,Fakunya,Chiefdom,"22,327","27,646","26,948",
151,Kagboro,Chiefdom,"31,150","34,862","39,341",
152,Kaiyamba,Chiefdom,"21,669","25,749","28,636",
153,Kamajei,Chiefdom,"8,549","10,165","11,289",
154,Kongbora,Chiefdom,"11,331","10,328","11,866",
155,Kori,Chiefdom,"29,043","30,514","33,895",
156,Kowa,Chiefdom,"7,082","9,752","10,207",
157,Lower Banta,Chiefdom,"25,954","37,317","45,837",
158,Ribbi,Chiefdom,"25,163","33,165","32,690",
159,Timdale,Chiefdom,"8,192","10,292","13,468",
160,Upper Banta,Chiefdom,"8,219","10,513","12,092",
161,Port Loko,District,"388,236","530,865","528,038",
162,Bakeh Loko,Chiefdom,...,"7,773","5,771",
163,Bureh,Chiefdom,...,"15,666","17,554",
164,Kaffu Bullom,Chiefdom,"69,637","120,490","107,402",
165,Kamasondo,Chiefdom,...,"29,983","35,035",
