,Unnamed: 0,Name,Status,Adm.,PopulationCensus (C)2008-02-10,PopulationCensus (C)2016-02-07,Area
0,,Alarm Forest,Dist,SH,256,383,590
1,,Blue Hill,Dist,SH,149,158,3680
2,,Cat Hill US Military Base,,AC,210,...,0
3,,Edinburgh of the Seven Seas,,TC,269,293,0
4,,Georgetown,,AC,450,...,0
5,,Half Tree Hollow,Dist,SH,879,984,160
6,,Jamestown,Town,SH,640,629,390
7,,Levelwood,Dist,SH,311,369,1400
8,,Longwood,Dist,SH,691,790,3340
9,,Sandy Bay,Dist,SH,202,193,1530
10,,St. Paul's (New Ground),Dist,SH,739,843,1140
11,,The Residency,,AC,4,...,0
12,,Traveller's Hill Royal Air Force Base (Wideawake Airfield),,AC,170,...,0
13,,Two Boats Village,,AC,110,...,0
