Indicator (italics indicate national -level data),Unit ,Source,"Year of source consulted(* indicates year of creation of institution, if available)","Maputo, Mozambique","Ibadan, Nigeria","Kano, Nigeria","Johannesburg, South Africa","Cape Town, South Africa","Durban, South Africa","Al-Khartum (Khartoum), Sudan","Lusaka, Zambia ","Harare, Zimbabwe","Cotonou, Benin","Douala, Cameroon","Yaoundé, Cameroon","Abidjan, Cote d'Ivoire ","Addis Ababa, Ethiopia","Accra, Ghana","Kumasi, Ghana","Conakry, Guinea","Nairobi, Kenya","Lagos, Nigeria","Dakar, Senegal","Kampala, Uganda","Luanda, Angola","Ouagadougou, Burkina Faso","Kinshasa, Democratic Republic of the Congo","Lubumbashi, Democratic Republic of the Congo","Mbuji-Mayi, Democratic Republic of the Congo","Brazzaville, Congo","Blantyre, Malawi","Lilongwe, Malawi","Abuja, Nigeria","Dar es Salaam, Tanzania"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual city growth rate 1995-2010,% of growth from previous year,UNDESA 2012 World Urbanization Prospects: The 2011 Revision,2012,1.37,2.39,2.23,2.38,2.52,2.33,2.53,4.3,1.3,2.82,4.56,5.45,3.29,2.06,3.7,5.04,3.3,4.08,3.93,3.66,3.72,5.87,7.02,4.18,4.06,4.47,4.19,,4.75,8.93,4.77
Share of city in national population ,% of national population ,UNDESA 2010 World Urbanization Prospects: The 2009 Revision.,2010,6.9,1.7,2.1,7.3,6.7,5.7,11.9,10.9,12.8,21.8,42.9,8.9,19,3.5,9.5,7.5,15.9,8.5,6.6,22.2,4.7,24.4,11.3,12.7,2.3,2.2,35.1,5.7,5.4,1.2,7.4
"Projection, Share of city in national population in 2025",% of national population ,UNDESA 2010 World Urbanization Prospects: The 2009 Revision.,2010,9.8,1.6,2.2,7.6,7.1,6,13.07,10.8,14.8,21.2,11.8,10.07,23.3,4.3,10.4,8.2,20.3,10.5,6.8,24.1,6.09,29.08,17,15.7,2.8,2.7,33.7,7.2,7.3,1.4,8.7
City density ,(Population/km2) ,Demographia 2011 Demographia World Urban Areas.,2011,7000,7900,15600,2900,5000,3500,6400,8200,2800,4400,11000,9100,12900,13100,3900,5200,10500,7700,10700,14000,3300,9990,5600,15300,9300,29689,10540,8500,1479,9100,6600
Solid waste collected (public and private collection),% of city population ,"Andersen, J. 2009 Meanings and perceptions of the built environment in peri-urban areas of Maputo, Mozambique, African Perspectives 2009, The African Inner City.",2009,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"Adenji, G. and B. Ogundiji 2009 Climate Adaptation in Nigerian Cities: Regularising Informal and Illegal Settlements in Ibadan, World Bank 2009 Urban Symposium, June 28-30, Marseille, France.",2009,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"Iliyas, M.H. 2000 Strengthening the Capacity of Water Utilities to Deliver Water and sanitation Services, Environmental Health and Hygiene to Low Income Communities, Case Study for Kano (town), Nigeria, Context and Practices, Water Utilities Project No.5, MIT.",2000,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"UN-Habitat 2008 The State of African Cities: a Framework for Addressing urban challenges in Africa, Nairobi: UN-Habitat.",2008,,,,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"City of Cape Town 2009 Water Services Development Plan for City of Cape Town 2010/2011 - 2012/2014, Final Report.",2009,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
