dataset,area,project_name,developer,Google Pin Location,land_size_acres,project_status,start_year,completion_year,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units,number_units_per_acre,Year Data Valid, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,occupancy,annual_uptake,"Projected Yield assuming 90% occupancy rate, 6% stamp duty",Source
NMDA,Parklands,16 Second Park,,"-1.26267, 36.82204",,Complete,,,4,Apartments,260,40,,2021,"  22,500,000 ","  86,538 ","  150,000 ",  577 ,,"Ksh266,649.89",,  1.8 ,90%,,7%,"Field and online research, property agents interviews"
Neighborhood,Syokimau,360 Degrees Apartments,Kings Developers Limited,"-1.37154, 36.93292",,Complete,,,2,Apartments,79,,,2019,"  4,500,000 ","  56,962 ","  25,000 ",  316 ,3000,"Ksh53,329.98","  53,330 ",  2.1 ,,,6%,"Field and online research, property agents interviews"
Neighborhood,Syokimau,360 Degrees Apartments,Kings Developers Limited,"-1.37154, 36.93292",,Complete,,,2,Apartments,90,,,2019,"  5,500,000 ","  61,111 ","  25,000 ",  278 ,3000,"Ksh65,181.08",65181.08434,  2.6 ,,,5%,"Field and online research, property agents interviews"
Neighborhood,Syokimau,360 Degrees Apartments,Kings Developers Limited,"-1.37154, 36.93292",,Complete,,,3,Apartments,83,,,2019,"  4,000,000 ","  48,193 ","  25,000 ",  301 ,3000,"Ksh47,404.42",47404.42497,  1.9 ,,,6%,"Field and online research, property agents interviews"
Neighborhood,Syokimau,360 Degrees Apartments,Kings Developers Limited,"-1.37154, 36.93292",,Complete,,,3,Apartments,120,,,2019,"  6,500,000 ","  54,167 ","  30,000 ",  250 ,3000,"Ksh77,032.19",77032.19058,  2.6 ,,,5%,"Field and online research, property agents interviews"
Neighborhood,Syokimau,360 Degrees Apartments,Kings Developers Limited,"-1.37154, 36.93292",,Complete,,,3,Apartments,,,,2019,"  6,500,000 ",,"  30,000 ",,3000,"Ksh77,032.19",77032.19058,  2.6 ,,,5%,"Field and online research, property agents interviews"
NMDA,Westlands,7 Heights,Eastwood Consulting,"-1.25127, 36.79784",,Complete,2018,2018,2,Apartments,260,20,,2021,"  28,000,000 ","  107,600 ","  156,000 ",  599 ,,"Ksh331,830.97",,  2.1 ,80%,,6%,"Field and online research, property agents interviews"
NMDA,Westlands,7 Heights,Eastwood Consulting,"-1.25127, 36.79784",,Complete,2018,2018,2,Apartments,344,32,,2021,"  38,000,000 ","  110,508 ","  180,000 ",  523 ,,"Ksh450,342.04",,  2.5 ,81%,,5%,"Field and online research, property agents interviews"
NMDA,Westlands,7 Heights,Eastwood Consulting,"-1.25127, 36.79784",,Complete,2018,2018,2,Apartments,455,6,,2021,"  49,000,000 ","  107,600 ","  200,000 ",  439 ,,"Ksh580,704.21",,  2.9 ,67%,,4%,"Field and online research, property agents interviews"
NMDA,Kilimani,9 Degrees Apartments,,"-1.29424, 36.79677",,Complete,2016,,3,Apartments,265,44,,2021,"  22,000,000 ","  83,019 ","  75,000 ",  283 ,"  15,000 ","Ksh260,724.34",,  3.5 ,93%,18%,3%,"Field and online research, property agents interviews"
