Country,Category,Indicator,Unit,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cameroon,DEMOGRAPHY,Average Household Size,Number, , ,5.61, , , , , , ,5.5, , , , , ,4.79,5.12, , , , , ,4.99, , , , , , , , , , , , 
Cameroon,DEMOGRAPHY,Households,Number,2028000,2110000,2170000,2230000,2289000,2358000,2400000,2440000,2500000,2600000,2670400,2732320,2765000,2880000,2960000,3042000,3126000,3192000,3567000,3638000,3721000,3804000,3888000,3973000,4074000,4177373.87,4282500,4389440.35,4498128.44,4617181.1,4738049.95,4860634.48, , , 
Cote d'Ivoire,DEMOGRAPHY,Average Household Size,Number, , , , , ,6.22, , , ,6.19, , , , , , ,5.48, , , , , , ,5.09, , , , , , , , , , , 
Cote d'Ivoire,DEMOGRAPHY,Households,Number,1252000,1300000,1346322,1393000,1445000,1495000,1600000,1662000,1730000,1796000,1825400,1892400,1958634,2027186,2079000,2112000,2146000,2196000,2293000,2336000,2391000,2447000,2498000,2553000,2614000,2676877.78,2740000,2802905.03,2865878.39,2939967.37,3015880.43,3093484.12, , , 
Egypt,DEMOGRAPHY,Average Household Size,Number, , , ,5.65, , ,5.33,4.64, , , ,5.25, , ,5.05, ,4.88,4.19, ,4.61, , , , , ,4.13, , , , , , , , , 
Egypt,DEMOGRAPHY,Households,Number,10443000,10650000,10850000,11100000,11280000,11500000,12300000,12514000,12732000,12954000,13180000,13929763,14187376,14470290,14756001,15055537,15345090,15340192,17748408,17941191,18265000,18590000,18914000,19240000,19558000,19875089.31,20189500,20500291.14,20807304.22,21234702.69,21658534.4,22078451.59, , , 
Gabon,DEMOGRAPHY,Average Household Size,Number, , , , , , , , , , , ,4.97, , , , , , , , , , , ,4.1, , , , , , , , , , , 
Gabon,DEMOGRAPHY,Households,Number,176700,180000,183000,186000,190000,195000,200000,205000,215000,225000,235000,245000,252400,260000,267400,270400,273000,281000,266000,270000,275000,280000,285000,290900,298000,305056.08,312200,319360.89,326567.41,335179.41,343609.84,352016.71, , , 
Libya,DEMOGRAPHY,Average Household Size,Number, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Libya,DEMOGRAPHY,Households,Number,591000,613000,635000,657000,680700,704700,705000,721000,737000,754000,771000,789000,807400,826200,845000,864000,883000,904000,933000,952000,971000,990000,1001000,1007800,1015000,1023499.52,1033900,1046630.21,1061247.51,1077024.98,1092973.06,1108106.27, , , 
Morocco,DEMOGRAPHY,Average Household Size,Number, , , ,6.02, ,5.83, , , , , , , , ,5.36,5.24, , , , , , , , , , , , , , , , , , , 
Morocco,DEMOGRAPHY,Households,Number,4094500,4082000,4170000,4258000,4383000,4472000,4565000,4600000,4790000,4900000,5072000,5211000,5354000,5390000,5637000,5895000,6165000,6272000,6370000,6450000,6529000,6608000,6675000,6742000,6843000,6943496.57,7039300,7128962.5,7213383.54,7304173.69,7393917.34,7482873.38, , , 
Nigeria,DEMOGRAPHY,Average Household Size,Number, ,5.39, , , , , , , , ,5, , , ,4.98, , ,4.41,4.55,9.23,4.44,9.6, , ,4.6, ,4.9, , , , , , , , 
Nigeria,DEMOGRAPHY,Households,Number,17292000,17806296,18348773,18870370,19425926,19980000,20500000,21190000,21400000,21600000,21800000,22201000,23910000,24554000,25215000,25894000,26591000,27423000,30226000,30917000,31636000,32358000,33185000,34034000,34998000,35986073.73,36995300,38024778.99,39075322.85,40099210.95,41141007.24,42200629.19, , , 
Sudan,DEMOGRAPHY,Average Household Size,Number, , , , , , , , , , , , , , , , , , , ,5.59, , , , , , , , , , , , , , , 
Sudan,DEMOGRAPHY,Households,Number,3863500,3970000,4073000,4183000,4297000,4413000,4500000,4539000,4650000,4809640,5054000,5124000,5242000,5362000,5457000,5566000,5677000,5967000,6220000,6360827,6503000,6645000,6810000,6976000,7120000,7269995,7585800,7759220.94,7942206.37,8134495.68,8331371.47,8532979.3, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OICStat [2023.03.31 17:03:04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.sesric.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
