COU,Country,MEAS,Measure,Large subnational region,VAR,Variable,Year,Unit Code,Unit,Value
DZA,Algeria,SQKM,Square kilometers,Khenchela,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,2.7432
DZA,Algeria,SQKM,Square kilometers,Khenchela,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,12.9105
DZA,Algeria,SQKM,Square kilometers,Khenchela,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,22.6368
DZA,Algeria,SQKM,Square kilometers,Khenchela,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,30.177
DZA,Algeria,SQKM,Square kilometers,Khenchela,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,9.7263
DZA,Algeria,SQKM,Square kilometers,Khenchela,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,17.2665
DZA,Algeria,SQKM,Square kilometers,Khenchela,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,7.5402
DZA,Algeria,SQKM,Square kilometers,Khenchela,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,10.1673
DZA,Algeria,PCNT,Percent of total land area,Khenchela,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.028586984
DZA,Algeria,PCNT,Percent of total land area,Khenchela,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.134540777
DZA,Algeria,PCNT,Percent of total land area,Khenchela,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.235898893
DZA,Algeria,PCNT,Percent of total land area,Khenchela,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.314475584
DZA,Algeria,PCNT,Percent of total land area,Khenchela,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.101358116
DZA,Algeria,PCNT,Percent of total land area,Khenchela,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.179934807
DZA,Algeria,PCNT,Percent of total land area,Khenchela,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.078576691
DZA,Algeria,PCNT,Percent of total land area,Khenchela,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.105953793
DZA,Algeria,SQKM,Square kilometers,Tlemcen,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,23.5494
DZA,Algeria,SQKM,Square kilometers,Tlemcen,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,54.3492
DZA,Algeria,SQKM,Square kilometers,Tlemcen,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,74.943
DZA,Algeria,SQKM,Square kilometers,Tlemcen,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,95.1597
DZA,Algeria,SQKM,Square kilometers,Tlemcen,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,20.5938
DZA,Algeria,SQKM,Square kilometers,Tlemcen,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,40.8105
DZA,Algeria,SQKM,Square kilometers,Tlemcen,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,20.2167
DZA,Algeria,SQKM,Square kilometers,Tlemcen,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,30.7998
DZA,Algeria,PCNT,Percent of total land area,Tlemcen,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.261048416
DZA,Algeria,PCNT,Percent of total land area,Tlemcen,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.602468537
DZA,Algeria,PCNT,Percent of total land area,Tlemcen,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.83075371
DZA,Algeria,PCNT,Percent of total land area,Tlemcen,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,1.054858677
DZA,Algeria,PCNT,Percent of total land area,Tlemcen,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.228285173
DZA,Algeria,PCNT,Percent of total land area,Tlemcen,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.45239014
