,year,GDL-%-of-women-in-50+-population-data,GDL-%-population-aged-15-65-data,GDL-%-population-aged-over-65-data,GDL-%-population-aged-under-15-data,GDL-%-population-in-urban-areas-data,GDL-Average-household-size-data,GDL-Dependency-ratio-data,GDL-Mean-International-Wealth-Index-(IWI)-score-of-region-data,GDL-Mean-age-at-first-birth-of-women-aged-20-50-data,GDL-Mean-age-at-first-marriage-of-women-aged-20-50-data,GDL-Mean-age-difference-partners-(husband-wife)-data,GDL-Mean-years-education-of-adults-aged-20+-data,GDL-Mean-years-education-of-adults-aged-20-39-data,GDL-Mean-years-education-of-adults-aged-25+-data,GDL-Mean-years-education-of-adults-aged-40-59-data,GDL-Mean-years-education-of-adults-aged-60+-data,GDL-Mean-years-education-of-men-aged-20+-data,GDL-Mean-years-education-of-men-aged-20-39-data,GDL-Mean-years-education-of-men-aged-25+-data,GDL-Mean-years-education-of-men-aged-40-59-data,GDL-Mean-years-education-of-men-aged-60+-data,GDL-Mean-years-education-of-women-aged-20+-data,GDL-Mean-years-education-of-women-aged-20-39-data,GDL-Mean-years-education-of-women-aged-25+-data,GDL-Mean-years-education-of-women-aged-40-59-data,GDL-Mean-years-education-of-women-aged-60+-data,GDL-Percentage-of-employed-men-in-agriculture-data,GDL-Percentage-of-employed-men-in-lower-nonfarm-jobs-data,GDL-Percentage-of-employed-men-in-upper-nonfarm-jobs-data,GDL-Percentage-of-employed-women-in-agriculture-data,GDL-Percentage-of-employed-women-in-lower-nonfarm-jobs-data,GDL-Percentage-of-employed-women-in-upper-nonfarm-jobs-data,GDL-Percentage-of-women-in-paid-employment-data,GDL-Total-area-population-in-millions-data
0,1992,38.0,68.3,1.2,30.5,100.0,4.31,46.4,52.3,19.6,19.4,6.14,8.46,8.97,8.24,6.99,5.76,8.89,9.43,8.73,7.63,6.66,7.88,8.43,7.4,5.77,4.16,3.71,90.0,6.33,2.32,89.4,8.3,54.9,1.09
1,1993,37.7,68.4,1.17,30.4,100.0,4.35,46.1,51.6,19.8,19.6,6.06,8.67,9.13,8.48,7.44,5.56,9.07,9.54,8.93,8.02,6.56,8.14,8.64,7.71,6.34,3.78,3.49,88.2,8.3,2.54,88.3,9.14,55.2,1.28
2,1994,37.3,68.6,1.14,30.3,100.0,4.39,45.8,50.9,19.9,19.7,5.98,8.88,9.29,8.72,7.89,5.36,9.25,9.65,9.13,8.41,6.46,8.4,8.85,8.02,6.91,3.4,3.28,86.5,10.3,2.76,87.3,9.97,55.5,1.48
3,1995,36.9,68.7,1.11,30.2,100.0,4.43,45.5,50.2,20.0,19.8,5.9,9.1,9.45,8.96,8.34,5.16,9.43,9.76,9.33,8.81,6.36,8.66,9.07,8.33,7.48,3.02,3.06,84.7,12.2,2.97,86.2,10.8,55.8,1.68
4,1996,36.5,68.9,1.07,30.0,100.0,4.46,45.1,49.5,20.1,19.9,5.83,9.31,9.6,9.19,8.79,4.95,9.6,9.86,9.52,9.2,6.27,8.93,9.28,8.63,8.04,2.64,2.85,82.9,14.2,3.19,85.2,11.6,56.2,1.88
5,1997,36.2,69.1,1.04,29.9,100.0,4.5,44.8,48.8,20.2,20.0,5.75,9.53,9.76,9.43,9.24,4.75,9.78,9.97,9.72,9.6,6.17,9.19,9.5,8.94,8.61,2.26,2.63,81.2,16.2,3.41,84.1,12.5,56.5,2.08
6,1998,35.8,69.2,1.01,29.8,100.0,4.54,44.5,48.1,20.4,20.2,5.67,9.74,9.92,9.67,9.69,4.55,9.96,10.1,9.92,9.99,6.07,9.45,9.71,9.25,9.18,1.88,2.42,79.4,18.1,3.63,83.1,13.3,56.8,2.28
7,1999,36.1,69.6,0.98,29.4,100.0,4.56,43.7,48.6,20.4,20.2,5.72,9.8,10.0,9.75,9.67,4.87,10.0,10.2,10.0,9.97,6.44,9.51,9.79,9.33,9.18,2.1,2.41,79.2,18.4,3.37,82.7,14.0,56.9,2.34
8,2000,36.4,70.0,0.95,29.1,100.0,4.58,43.0,49.2,20.4,20.3,5.77,9.87,10.1,9.83,9.65,5.19,10.1,10.3,10.1,9.94,6.8,9.58,9.87,9.41,9.17,2.31,2.41,78.9,18.7,3.12,82.3,14.6,56.9,2.41
9,2001,36.8,70.3,0.93,28.7,100.0,4.61,42.2,49.7,20.5,20.4,5.81,9.93,10.2,9.9,9.63,5.51,10.2,10.4,10.2,9.92,7.17,9.64,9.96,9.5,9.17,2.53,2.4,78.7,18.9,2.86,81.9,15.3,57.0,2.47
10,2002,37.1,70.7,0.9,28.4,100.0,4.63,41.5,50.3,20.5,20.5,5.86,10.0,10.3,9.98,9.61,5.83,10.2,10.5,10.3,9.89,7.53,9.71,10.0,9.58,9.16,2.74,2.4,78.4,19.2,2.61,81.5,15.9,57.1,2.53
11,2003,37.4,71.1,0.87,28.0,100.0,4.65,40.7,50.8,20.6,20.5,5.91,10.1,10.4,10.1,9.59,6.15,10.3,10.6,10.4,9.87,7.9,9.77,10.1,9.66,9.16,2.96,2.39,78.2,19.4,2.35,81.1,16.6,57.2,2.59
12,2004,38.8,70.7,0.89,28.4,100.0,4.56,41.4,53.0,20.7,20.7,5.8,10.3,10.6,10.4,9.91,6.92,10.6,10.9,10.7,10.2,8.5,10.0,10.3,9.95,9.49,4.12,2.47,71.3,26.3,2.38,75.5,22.1,57.1,2.57
13,2005,40.2,70.4,0.9,28.7,100.0,4.46,42.1,55.3,20.8,20.9,5.7,10.6,10.8,10.7,10.2,7.68,11.0,11.2,11.0,10.5,9.1,10.2,10.5,10.2,9.82,5.28,2.56,64.3,33.1,2.41,70.0,27.6,57.1,2.54
