Macrotrends Data Download

Nairobi, Kenya Metro Area Population 1950-2023
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,137000
1951-12-31,148000,8.03
1952-12-31,160000,8.11
1953-12-31,172000,7.5
1954-12-31,186000,8.14
1955-12-31,201000,8.06
1956-12-31,216000,7.46
1957-12-31,233000,7.87
1958-12-31,252000,8.15
1959-12-31,271000,7.54
1960-12-31,293000,8.12
1961-12-31,316000,7.85
1962-12-31,340000,7.59
1963-12-31,361000,6.18
1964-12-31,382000,5.82
1965-12-31,404000,5.76
1966-12-31,427000,5.69
1967-12-31,451000,5.62
1968-12-31,478000,5.99
1969-12-31,505000,5.65
1970-12-31,531000,5.15
1971-12-31,557000,4.9
1972-12-31,585000,5.03
1973-12-31,614000,4.96
1974-12-31,645000,5.05
1975-12-31,677000,4.96
1976-12-31,710000,4.87
1977-12-31,746000,5.07
1978-12-31,783000,4.96
1979-12-31,822000,4.98
1980-12-31,862000,4.87
1981-12-31,903000,4.76
1982-12-31,947000,4.87
1983-12-31,992000,4.75
1984-12-31,1040000,4.84
1985-12-31,1090000,4.81
1986-12-31,1142000,4.77
1987-12-31,1197000,4.82
1988-12-31,1255000,4.85
1989-12-31,1315000,4.78
1990-12-31,1380000,4.94
1991-12-31,1448000,4.93
1992-12-31,1520000,4.97
1993-12-31,1594000,4.87
1994-12-31,1673000,4.96
1995-12-31,1755000,4.9
1996-12-31,1842000,4.96
1997-12-31,1933000,4.94
1998-12-31,2028000,4.91
1999-12-31,2128000,4.93
2000-12-31,2214000,4.04
2001-12-31,2299000,3.84
2002-12-31,2388000,3.87
2003-12-31,2481000,3.89
2004-12-31,2577000,3.87
2005-12-31,2677000,3.88
2006-12-31,2780000,3.85
2007-12-31,2888000,3.88
2008-12-31,3000000,3.88
2009-12-31,3116000,3.87
2010-12-31,3237000,3.88
2011-12-31,3362000,3.86
2012-12-31,3492000,3.87
2013-12-31,3627000,3.87
2014-12-31,3768000,3.89
2015-12-31,3914000,3.87
2016-12-31,4065000,3.86
2017-12-31,4222000,3.86
2018-12-31,4386000,3.88
2019-12-31,4556000,3.88
2020-12-31,4735000,3.93
2021-12-31,4922000,3.95
2022-12-31,5119000,4
2023-12-31,5325000,4.02
2024-12-31,5541000,4.06
2025-12-31,5767000,4.08
2026-12-31,6002000,4.07
2027-12-31,6247000,4.08
2028-12-31,6500000,4.05
2029-12-31,6762000,4.03
2030-12-31,7031000,3.98
2031-12-31,7309000,3.95
2032-12-31,7594000,3.9
2033-12-31,7888000,3.87
2034-12-31,8190000,3.83
2035-12-31,8499000,3.77
