date, Population, Annual Change
1950-12-31,138000
1951-12-31,145000,5.07
1952-12-31,152000,4.83
1953-12-31,159000,4.61
1954-12-31,166000,4.4
1955-12-31,174000,4.82
1956-12-31,182000,4.6
1957-12-31,191000,4.95
1958-12-31,200000,4.71
1959-12-31,210000,5
1960-12-31,219000,4.29
1961-12-31,233000,6.39
1962-12-31,251000,7.73
1963-12-31,271000,7.97
1964-12-31,292000,7.75
1965-12-31,315000,7.88
1966-12-31,340000,7.94
1967-12-31,366000,7.65
1968-12-31,395000,7.92
1969-12-31,426000,7.85
1970-12-31,459000,7.75
1971-12-31,489000,6.54
1972-12-31,514000,5.11
1973-12-31,541000,5.25
1974-12-31,569000,5.18
1975-12-31,599000,5.27
1976-12-31,630000,5.18
1977-12-31,662000,5.08
1978-12-31,697000,5.29
1979-12-31,733000,5.16
1980-12-31,771000,5.18
1981-12-31,811000,5.19
1982-12-31,854000,5.3
1983-12-31,898000,5.15
1984-12-31,964000,7.35
1985-12-31,1035000,7.37
1986-12-31,1111000,7.34
1987-12-31,1192000,7.29
1988-12-31,1279000,7.3
1989-12-31,1373000,7.35
1990-12-31,1474000,7.36
1991-12-31,1582000,7.33
1992-12-31,1698000,7.33
1993-12-31,1822000,7.3
1994-12-31,1941000,6.53
1995-12-31,2066000,6.44
1996-12-31,2200000,6.49
1997-12-31,2343000,6.5
1998-12-31,2495000,6.49
1999-12-31,2656000,6.45
2000-12-31,2829000,6.51
2001-12-31,3012000,6.47
2002-12-31,3207000,6.47
2003-12-31,3415000,6.49
2004-12-31,3637000,6.5
2005-12-31,3872000,6.46
2006-12-31,4123000,6.48
2007-12-31,4390000,6.48
2008-12-31,4675000,6.49
2009-12-31,4978000,6.48
2010-12-31,5300000,6.47
2011-12-31,5644000,6.49
2012-12-31,6010000,6.48
2013-12-31,6399000,6.47
2014-12-31,6789000,6.09
2015-12-31,7023000,3.45
2016-12-31,7265000,3.45
2017-12-31,7515000,3.44
2018-12-31,7774000,3.45
2019-12-31,8045000,3.49
2020-12-31,8330000,3.54
2021-12-31,8632000,3.63
2022-12-31,8952000,3.71
2023-12-31,9292000,3.8
2024-12-31,9651000,3.86
2025-12-31,10028000,3.91
2026-12-31,10421000,3.92
2027-12-31,10830000,3.92
2028-12-31,11251000,3.89
2029-12-31,11684000,3.85
2030-12-31,12129000,3.81
2031-12-31,12583000,3.74
2032-12-31,13047000,3.69
2033-12-31,13521000,3.63
2034-12-31,14004000,3.57
2035-12-31,14495000,3.51
