"United Nations, Department of Economic and Social Affairs
Population Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOUSEHOLD SIZE AND COMPOSITION 2022


Copyright © 2022 by United Nations, made available under a Creative Commons license (CC BY 3.0 IGO) http://creativecommons.org/licenses/by/3.0/igo.
Suggested citation:  United Nations, Department of Economic and Social Affairs, Population Division (2022).  Database on Household Size and Composition 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Households by size
(percentage )",,,,,Households by age of the head of household (percentage)*,,,,"Households with at least one member in age range
(percentage)",,,,,"Households with members in age ranges
(percentage)",,,,,,Average number of household members of selected ages,,,,,Basic household types (percentage of households)**,,,,,,,,,Intergenerational household types (percentage of households)***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country or area,ISO Code,Data source category,Reference date (dd/mm/yyyy),Average household size (number of members),1 member,2-3 members,4-5 members,6 or more members,Female head of household (percentage of households),Under 20 years (aged 0-19),Aged 20-64 years,Aged 60 years or over,Aged 65 years or over,Under 15 years (aged 0-14),Under 18 years (aged 0-17),Under 20 years (aged 0-19),Aged 60 years or over,Aged 65 years or over,Under 15 years AND 60 years or over,Under 15 years AND 65 years or over,Under 18 years AND 60 years or over,Under 18 years AND 65 years or over,Under 20 years AND 60 years or over,Under 20 years AND 65 years or over,Under age 15 years among all households,Under age 15 years among households with at least one member under age 15 years,Under age 20 years among all households,Under age 20 years among households with at least one member under age 20 years,Ages 20-64 years among all households,One-person,Couple only,Couple with children,Single parent with children,Single mother with children,Single father with children,Extended family,Non-relatives,Unknown,Nuclear,Multi-generation,Three generation,Skip generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,24,MICS,07-01-01,4.75,7.91,26.39,31.19,34.5,..,..,..,..,..,81.02,83.83,85.89,13.96,8.78,8.34,5,9,5.38,9.24,5.49,2.3,2.84,2.81,3.27,1.84,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,24,DHS,29/01/2007,5.69,4.08,19.1,30.13,46.69,24.78,1.74,89.1,14.85,8.79,84.6,87.84,89.21,19.48,12.6,13.35,8.32,14.04,8.75,14.38,8.85,2.59,3.05,3.32,3.7,2.23,4.08,4.33,36.35,6.58,5.6,0.97,47.85,0.72,0.1,47.25,27.86,20.52,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,24,DHS,03-01-11,4.98,6.6,22.84,32.79,37.77,21.74,1.36,90.82,13.01,7.6,81.03,84.28,86.13,15.77,9.65,8.86,5.28,9.78,5.86,10.13,6.03,2.36,2.91,2.87,3.32,2,6.6,5.35,45.01,7.43,6.22,1.21,35.03,0.55,0.03,57.79,20.83,16.02,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,24,DHS,01-01-16,4.82,10.81,23.9,28.46,36.83,34.47,1.85,88.4,12.85,7.88,75.72,78.31,79.82,14.94,9.75,8.14,4.92,8.73,5.28,8.97,5.42,2.41,3.09,2.87,3.49,1.82,10.81,5.34,36.08,13.39,12.14,1.25,32.8,1.57,0.01,54.81,17.54,13.34,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,120,IPUMS,07-01-76,5.07,13.18,28.27,22.32,36.22,13.79,1.78,88.21,15.64,9.75,66.26,70.43,72.98,23.59,15.81,14.55,9.68,15.31,10.2,15.62,10.4,2.21,3.33,2.69,3.68,2.19,13.18,9.17,21.85,4.86,3.61,1.25,40.57,10.08,0.28,35.88,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,120,IPUMS,07-01-87,5.14,14.34,25.87,21.7,38.09,18.37,2.36,87.77,15.87,9.87,68.48,72.4,74.9,22.38,14.96,14.08,9.19,14.74,9.6,15.01,9.78,2.38,3.47,2.88,3.84,2.08,14.34,6.95,22.01,5.89,4.5,1.39,42.42,8.39,0.0,34.85,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,120,DHS,07-10-91,5.61,14.19,20.62,20.68,44.52,17.86,1.59,87.04,18.68,11.17,71.37,74.41,76.63,25.42,16.18,16.77,10.38,17.27,10.64,17.8,10.97,2.65,3.7,3.19,4.15,2.22,14.19,5.45,22,3.99,2.99,1,41.7,12.65,0.03,31.44,23.64,16.84,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,120,DHS,20/04/1998,5.5,12.7,22.88,21.62,42.8,22.34,1.4,84.01,21.87,14.39,71.11,74.51,77.02,30.01,20.92,21.22,14.22,22.03,14.78,22.47,15.08,2.48,3.47,3.02,3.9,2.22,12.7,5.68,21.72,5.25,4.13,1.12,47.47,7.11,0.07,32.65,26.79,18.06,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,120,MICS,07-01-00,5.79,10.12,20.25,23.48,46.15,..,..,..,..,..,74.51,77.74,79.69,29.39,19.06,20.36,12.64,21.35,13.35,21.83,13.65,2.56,3.4,3.2,3.97,2.34,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,120,DHS,06-06-04,4.79,17.6,24.81,22.36,35.23,24,2.67,85.24,18.7,12.03,67.24,71.17,74.38,23.47,15.79,15.29,9.81,16.14,10.43,16.51,10.69,2.12,3.15,2.64,3.55,1.97,17.6,5.49,22.14,7.22,5.43,1.79,43.75,3.71,0.1,34.84,21.31,14.46,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,120,IPUMS,07-01-05,5.12,12.59,23.39,24.31,39.71,22.86,2.09,86.97,16.23,10.78,70.41,74.91,77.88,21.05,14.83,14.03,9.63,15.03,10.33,15.48,10.64,2.24,3.18,2.81,3.6,2.14,12.59,4.83,28.91,9.61,7.63,1.97,39.17,4.77,0.12,43.34,24.03,8.66,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,120,MICS,07-01-06,4.51,18.09,25.62,24.01,32.29,25.85,1.48,85.67,19.44,12.51,65.48,69.29,72.45,22.43,15.01,13.74,8.79,14.73,9.43,15.18,9.72,1.97,2.99,2.44,3.35,1.89,18.09,5.45,25.2,9.23,7.7,1.53,39.54,2.42,0.08,39.88,19.44,12.31,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,120,DHS,05-02-11,4.99,15.14,22.69,24.44,37.72,25.42,1.31,84.79,20.92,13.85,70.54,74.06,76.62,26.02,18.28,17.54,11.86,18.76,12.73,19.28,13.01,2.23,3.17,2.74,3.57,2.04,15.14,4.04,25.11,7.3,5.84,1.45,42.97,5.26,0.18,36.45,24.31,17.24,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,120,MICS,07-01-14,4.56,18.67,24.89,23.82,32.62,26.44,1.28,85.62,20.16,13,66.6,69.94,72.96,24.15,16.41,15.72,10.14,16.76,10.93,17.25,11.31,2.02,3.03,2.46,3.36,1.92,18.67,4.74,26.63,8.53,7.04,1.49,38.91,2.49,0.02,39.91,21.73,14.26,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
