Country,Continent,ISO_Code,Level,GDLCODE,Region,"Urbanization","Area pop millions","Area pop share","% Aged 0-9","% Aged 10-19","% Aged 20-29","% Aged 30-39","% Aged 40-49","% Aged 50-59","% Aged 60-69","% Aged 70-79","% Aged 80-89","% Aged 90+","HH size","% Piped water","% Electricity","% Flush toilet","% 0-1 sleep room","% 2 sleep rooms","% 3+ sleep rooms","% Natural floor","% Cook on wood"
"Algeria","Africa","DZA","National","DZAt","Total",63.4,44.7,100,19.9,15.7,14.5,14.9,12.0,10.5,7.15,3.39,1.61,0.30,4.78,,99.8,,19.1,35.0,45.9,,5.78
"Algeria","Africa","DZA","Urb/rur","DZAtu","Urban",100,28.3,63.4,18.6,16.1,14.4,14.0,12.2,11.4,7.63,3.55,1.78,0.36,4.71,,99.9,,16.5,35.5,48.1,,0.66
"Algeria","Africa","DZA","Urb/rur","DZAtr","Rural",0.00,16.4,36.6,22.3,14.9,14.7,16.5,11.8,8.99,6.31,3.08,1.32,0.22,4.90,,99.7,,23.7,34.2,42.1,,8.32
"Algeria","Africa","DZA","Poverty","DZAp1","Poor",15.7,0.23,0.49,24.8,23.0,9.62,12.7,11.9,8.46,6.11,1.26,1.60,0.57,4.56,,71.0,,62.5,25.3,12.2,,67.8
"Algeria","Africa","DZA","Poverty","DZAp0","Nonpoor",63.6,44.4,99.5,19.9,15.6,14.5,14.9,12.0,10.5,7.15,3.40,1.60,0.30,4.78,,99.9,,18.8,35.1,46.1,,3.64
"Algeria","Africa","DZA","Wealth quartiles","DZAw41","Lowest 25%",28.5,11.0,24.5,23.7,15.7,13.6,15.8,12.0,8.98,5.65,2.99,1.32,0.37,4.69,,99.4,,34.5,33.9,31.5,,8.19
"Algeria","Africa","DZA","Wealth quartiles","DZAw42","Second 25%",58.0,11.2,25.1,21.4,15.1,14.3,15.2,12.3,9.70,6.66,3.30,1.68,0.29,4.80,,99.9,,20.1,38.2,41.7,,0.01
"Algeria","Africa","DZA","Wealth quartiles","DZAw43","Third 25%",76.2,11.1,24.8,18.8,15.5,14.4,14.8,12.4,10.7,7.77,3.54,1.75,0.24,4.75,,99.9,,13.2,36.6,50.2,,0.01
"Algeria","Africa","DZA","Wealth quartiles","DZAw44","Highest 25%",89.7,11.4,25.6,16.0,16.3,15.7,13.9,11.4,12.6,8.46,3.69,1.68,0.33,4.90,,99.9,,8.29,31.3,60.5,,0.00
"Algeria","Africa","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",65.1,3.41,7.66,22.1,18.1,16.6,14.5,9.95,8.85,5.87,2.53,1.30,0.23,5.59,,98.4,,10.3,29.2,60.5,,47.1
"Algeria","Africa","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",60.2,6.26,14.0,20.3,16.7,15.5,14.7,11.8,10.0,6.48,2.85,1.44,0.27,4.73,,99.9,,20.7,39.7,39.6,,4.75
"Algeria","Africa","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",65.3,2.19,4.87,20.6,16.8,14.7,14.1,11.8,10.6,6.40,3.03,1.64,0.26,4.87,,99.8,,21.7,36.1,42.2,,54.4
"Algeria","Africa","DZA","Subnat","DZAr101","Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",60.8,14.5,32.4,19.3,14.6,13.4,15.4,12.8,10.6,8.01,3.89,1.66,0.37,4.77,,99.9,,15.9,32.1,52.0,,0.01
"Algeria","Africa","DZA","Subnat","DZAr102","Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",64.4,6.40,14.3,18.5,14.1,14.9,15.5,12.5,10.6,7.52,4.02,1.98,0.33,4.52,,99.9,,22.9,38.9,38.1,,1.18
"Algeria","Africa","DZA","Subnat","DZAr103","Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",64.3,7.55,17.0,18.6,15.3,13.2,14.5,13.0,12.2,7.67,3.57,1.81,0.25,4.53,,99.8,,22.0,35.5,42.5,,1.57
"Algeria","Africa","DZA","Subnat","DZAr107","Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",70.7,4.39,9.81,24.0,18.1,16.4,14.4,9.24,9.35,5.16,2.06,1.01,0.32,5.14,,99.9,,21.4,34.4,44.2,,3.72
"Benin","Africa","BEN","National","BENt","Total",39.5,12.4,100,35.4,21.4,15.2,10.8,6.98,4.63,3.16,1.64,0.57,0.22,7.91,,34.4,,28.4,41.5,30.1,,94.0
"Benin","Africa","BEN","Urb/rur","BENtu","Urban",100,4.90,39.5,34.1,21.6,15.3,11.8,7.31,4.61,3.21,1.44,0.51,0.19,7.11,,49.9,,29.4,44.1,26.5,,88.7
"Benin","Africa","BEN","Urb/rur","BENtr","Rural",0.00,7.45,60.5,36.3,21.3,15.2,10.1,6.78,4.65,3.12,1.76,0.60,0.24,8.44,,23.0,,27.6,39.6,32.8,,97.8
"Benin","Africa","BEN","Poverty","BENp1","Poor",32.9,9.62,78.2,36.4,20.7,15.4,10.2,6.76,4.61,3.30,1.76,0.61,0.23,7.93,,18.2,,32.8,40.2,27.0,,97.9
"Benin","Africa","BEN","Poverty","BENp0","Nonpoor",64.9,2.73,21.8,31.7,23.8,14.9,12.6,7.83,4.73,2.65,1.19,0.43,0.17,7.85,,95.9,,12.3,46.3,41.4,,78.5
"Benin","Africa","BEN","Wealth quartiles","BENw41","Lowest 25%",30.7,3.48,28.3,38.3,20.9,13.7,9.74,6.45,4.56,3.45,2.02,0.65,0.19,9.01,,2.14,,28.8,38.9,32.3,,99.8
"Benin","Africa","BEN","Wealth quartiles","BENw42","Second 25%",21.1,3.20,25.9,36.4,21.2,15.0,9.56,6.88,4.95,3.38,1.76,0.58,0.31,8.12,,10.2,,30.0,38.5,31.5,,99.3
"Benin","Africa","BEN","Wealth quartiles","BENw43","Third 25%",37.5,2.96,23.9,34.8,21.8,15.5,11.0,7.42,4.21,2.86,1.55,0.65,0.21,7.54,,39.0,,30.5,42.1,27.5,,97.9
"Benin","Africa","BEN","Wealth quartiles","BENw44","Highest 25%",75.5,2.71,21.9,31.2,22.0,17.0,13.2,7.33,4.80,2.84,1.08,0.33,0.17,6.70,,86.1,,24.2,46.7,29.1,,78.6
"Benin","Africa","BEN","Subnat","BENr101","Atacora (incl Donga)",38.4,1.93,15.7,35.5,21.8,15.5,10.2,6.17,4.54,3.19,2.13,0.72,0.30,9.62,,27.2,,16.5,26.7,56.8,,98.8
"Benin","Africa","BEN","Subnat","BENr102","Atlantique (incl Littoral (Cotonou))",54.7,1.80,13.9,32.7,21.8,15.1,12.2,8.26,4.92,3.00,1.36,0.47,0.26,6.06,,51.3,,33.8,46.7,19.5,,82.8
"Benin","Africa","BEN","Subnat","BENr103","Borgou (incl Alibori)",30.5,3.51,29.5,37.6,21.4,17.3,9.78,5.86,3.72,2.54,1.20,0.42,0.11,10.8,,26.7,,16.8,35.7,47.5,,97.2
"Benin","Africa","BEN","Subnat","BENr104","Mono (incl Couffo)",39.3,1.41,11.3,36.0,20.2,14.8,9.94,6.56,5.87,3.83,1.88,0.60,0.36,5.57,,32.7,,45.7,40.5,13.8,,97.7
"Benin","Africa","BEN","Subnat","BENr105","Queme (incl Plateau)",60.0,1.77,14.0,33.1,21.2,13.0,12.6,7.92,5.34,4.01,2.01,0.66,0.16,5.40,,37.4,,30.1,48.8,21.1,,93.4
"Benin","Africa","BEN","Subnat","BENr106","Zou (incl Collines)",25.3,1.93,15.6,35.0,21.2,15.3,10.6,8.00,4.28,3.03,1.56,0.63,0.27,7.19,,35.1,,32.5,43.7,23.8,,93.9
"Cameroon","Africa","CMR","National","CMRt","Total",52.3,27.1,100,32.6,23.2,15.2,11.8,6.99,4.68,3.30,1.44,0.52,0.31,7.77,,65.9,,34.3,28.1,37.7,,66.0
"Cameroon","Africa","CMR","Urb/rur","CMRtu","Urban",100,14.1,52.3,29.5,23.0,17.0,13.4,7.59,4.54,3.19,1.08,0.40,0.31,6.88,,91.1,,39.7,27.5,32.8,,44.8
"Cameroon","Africa","CMR","Urb/rur","CMRtr","Rural",0.00,13.0,47.7,35.9,23.3,13.2,10.1,6.36,4.87,3.45,1.85,0.69,0.31,8.74,,30.2,,26.8,28.9,44.3,,94.9
"Cameroon","Africa","CMR","Poverty","CMRp1","Poor",23.7,14.8,54.1,35.7,22.6,14.0,10.4,6.51,4.80,3.25,1.71,0.69,0.30,8.15,,35.7,,37.9,28.3,33.9,,90.1
"Cameroon","Africa","CMR","Poverty","CMRp0","Nonpoor",86.1,12.2,45.9,28.9,23.7,16.5,13.5,7.56,4.54,3.44,1.17,0.35,0.31,7.28,,98.6,,30.6,27.8,41.6,,39.2
"Cameroon","Africa","CMR","Wealth quartiles","CMRw41","Lowest 25%",8.14,7.53,27.9,38.6,23.3,12.3,9.42,6.27,4.49,2.93,1.73,0.63,0.32,8.42,,3.21,,33.2,31.9,34.9,,100.0
"Cameroon","Africa","CMR","Wealth quartiles","CMRw42","Second 25%",36.9,7.43,27.6,33.2,23.6,14.3,10.4,6.95,5.12,3.65,1.76,0.76,0.24,8.52,,60.9,,28.1,27.1,44.8,,95.9
"Cameroon","Africa","CMR","Wealth quartiles","CMRw43","Third 25%",85.4,6.15,22.5,30.0,23.2,17.5,12.9,7.04,4.46,3.27,1.01,0.36,0.28,7.18,,99.9,,42.3,25.2,32.5,,56.2
"Cameroon","Africa","CMR","Wealth quartiles","CMRw44","Highest 25%",93.9,5.95,22.0,26.6,22.5,17.9,15.4,7.96,4.62,3.26,1.12,0.29,0.39,6.71,,99.1,,33.4,28.0,38.6,,12.7
"Cameroon","Africa","CMR","Subnat","CMRr101","Adamaoua",40.1,1.35,4.99,31.7,26.5,15.2,10.6,6.59,4.27,2.48,1.32,1.04,0.21,8.53,,48.6,,42.1,25.2,32.7,,80.4
"Cameroon","Africa","CMR","Subnat","CMRr102","Centre (incl Yaounde)",62.2,5.66,21.2,30.9,22.0,17.1,13.6,7.20,4.47,3.15,0.88,0.25,0.42,7.87,,82.5,,33.0,29.2,37.7,,43.6
"Cameroon","Africa","CMR","Subnat","CMRr103","Est",45.2,1.89,7.16,35.7,23.3,15.1,11.2,5.66,4.33,2.79,1.33,0.32,0.31,8.18,,44.5,,25.0,35.2,39.8,,80.3
"Cameroon","Africa","CMR","Subnat","CMRr104","Extreme Nord",32.0,4.38,16.0,37.5,24.2,13.3,9.74,5.90,4.46,2.62,1.58,0.58,0.12,8.11,,22.5,,41.3,28.8,29.9,,95.8
"Cameroon","Africa","CMR","Subnat","CMRr105","Littoral (incl Douala)",94.2,4.19,15.7,27.0,22.0,15.3,15.6,9.56,5.09,3.53,1.18,0.33,0.32,5.97,,96.9,,38.8,26.9,34.3,,35.6
"Cameroon","Africa","CMR","Subnat","CMRr106","Nord",18.8,3.86,14.4,37.2,23.3,13.5,10.4,6.35,3.43,3.11,1.66,0.59,0.36,9.25,,29.0,,32.6,28.5,38.9,,95.7
"Cameroon","Africa","CMR","Subnat","CMRr107","Nord Ouest",39.3,1.42,4.96,31.8,19.7,15.6,12.1,6.98,5.14,4.20,2.75,1.15,0.52,5.75,,64.7,,36.6,29.5,33.9,,80.2
"Cameroon","Africa","CMR","Subnat","CMRr108","Ouest",52.9,2.94,10.8,32.4,26.1,13.9,7.66,6.16,5.83,4.82,2.13,0.72,0.21,7.72,,87.9,,21.4,23.8,54.8,,76.7
"Cameroon","Africa","CMR","Subnat","CMRr109","Sud",41.1,1.38,5.28,28.8,23.3,17.1,14.0,6.83,5.60,2.99,0.44,0.69,0.34,9.57,,75.9,,20.7,26.4,52.9,,60.9
"Cameroon","Africa","CMR","Subnat","CMRr110","Sud Ouest",99.9,0.00,0.01,21.8,21.7,21.6,12.9,10.3,5.17,4.13,1.75,0.46,0.21,4.92,,99.9,,55.8,23.5,20.7,,19.7
"Central African Republic CAR","Africa","CAF","National","CAFt","Total",34.8,4.82,100,38.7,21.8,13.3,10.5,6.47,5.29,2.74,0.94,0.21,0.01,5.77,,13.7,,31.8,29.1,39.1,,99.5
"Central African Republic CAR","Africa","CAF","Urb/rur","CAFtu","Urban",100,1.68,34.8,33.1,25.0,15.4,11.0,6.27,4.90,2.81,1.16,0.27,0.05,6.42,,31.7,,22.1,25.5,52.4,,99.4
"Central African Republic CAR","Africa","CAF","Urb/rur","CAFtr","Rural",0.00,3.14,65.2,41.7,20.1,12.2,10.3,6.57,5.51,2.70,0.83,0.19,0.01,5.47,,5.40,,36.3,30.6,33.1,,99.6
