Variable,Category,Dtype,Decimals,RankOrder,Label,Shortdescr,Longdescr
iso_code,System,Str,,,,ISO country code 3 digit,ISO country code 3 digit
ISO2,System,Str,,,,ISO country code two digit,ISO country code two digit
iso_num,System,Int,,,,ISO country code numerical,ISO country code numerical
country,System,Str,,,,Country name,Country name
year,System,Int,0,,,Year of data collection,Year of data collection
datasource,System,Str,,,,Source of data,"DHS=Demographic & Health Survey, MICS=UNICEF Multiple Indicator Cluster Survey, IPUMS=Census Data, CHIP=China Household Income Project, HFS=China Household Finance Survey, PAPFAM=Pan Arabic Family Project, SAGHS=South African General Household Survey, Afrobar=Afrobarometers"
GDLCODE,System,Str,,,,Region code Global Data Lab,"Iso-code, level (t=total, u=urban, r=rural), regional division (1=most important, 2=secondary division, etc.), region number"
level,System,Str,,,,Aggregation level,"National, urban or rural, poor or nonpoor, wealth quartiles, sub-national"
region,System,Str,,,,Sub-national region name,Name of sub-national region
dollarstreet,System,Str,,,,Location of nearest Dollarstreet houses,Location of nearest Dollarstreet houses
dollarstlink,System,Str,,,,Link to dollarstreet country or region,Link to dollarstreet country or region
continent,System,Flt,,,,Continent,"Categories: Africa, America, Asia/Pacific, Europe"
wrldreg,System,Int,,,,"Worldregion: 1 Latin America, 2 Sub-Saharan Africa, 3 Middle East & North Africa (MENA), 4 South Asia, 5 South-East Asia, 6 Central Asia, 7 Europe","Worldregion: 1 Latin America, 2 Sub-Saharan Africa, 3 Middle East & North Africa (MENA), 4 South Asia, 5 South-East Asia, 6 Central Asia, 7 Europe"
N,System,Flt,,,,Number of individual cases in dataset for region,Number of individual cases in dataset for region
Nhh,System,Flt,,,,Number of households in dataset for region,Number of households in dataset for region
iwi,"Wealth, Poverty, Assets",Pct,,A,International Wealth Index (IWI),Mean International Wealth Index (IWI) score of region,The international Wealth Index is an asset-based wealth index that runs from 0 (no assets) to 100 (all assets) and is comparable across place and time
iwipov70,"Wealth, Poverty, Assets",Pct,,A,Poverty (IWI<70),% poor households (with IWI value under 70),Percentage of households with an International Wealth Index value under 70
