Country,Measure,Large subnational region,Small subnational region,Variable,Year,Value
Algeria,Square kilometers,Total,Total,Area built-up before,1975,899.2116
Algeria,Square kilometers,Total,Total,Area built-up before,1990,1713.5127
Algeria,Square kilometers,Total,Total,Area built-up before,2000,2326.8636
Algeria,Square kilometers,Total,Total,Area built-up before,2014,2761.2216
Algeria,Square kilometers,Total,Total,Built-up since 1990,2000,613.3509
Algeria,Square kilometers,Total,Total,Built-up since 1990,2014,1047.7089
Algeria,Square kilometers,Total,Total,Built-up since 2000,2014,434.358
Algeria,Percent of total land area,Total,Total,Area built-up before,1975,0.038805605
Algeria,Percent of total land area,Total,Total,Area built-up before,1990,0.073946884
Algeria,Percent of total land area,Total,Total,Area built-up before,2000,0.10041613
Algeria,Percent of total land area,Total,Total,Area built-up before,2014,0.119160911
Algeria,Percent of total land area,Total,Total,Built-up since 1990,2000,0.026469245
Algeria,Percent of total land area,Total,Total,Built-up since 1990,2014,0.045214027
Algeria,Percent of total land area,Total,Total,Built-up since 2000,2014,0.018744781
Angola,Square kilometers,Total,Total,Area built-up before,1975,575.5824
Angola,Square kilometers,Total,Total,Area built-up before,1990,731.088
Angola,Square kilometers,Total,Total,Area built-up before,2000,922.1418
Angola,Square kilometers,Total,Total,Area built-up before,2014,1168.9668
Angola,Square kilometers,Total,Total,Built-up since 1990,2000,191.0538
Angola,Square kilometers,Total,Total,Built-up since 1990,2014,437.8788
Angola,Square kilometers,Total,Total,Built-up since 1975,1990,155.5056
Angola,Percent of total land area,Total,Total,Area built-up before,1975,0.04590858
Angola,Percent of total land area,Total,Total,Area built-up before,1990,0.058311741
Angola,Percent of total land area,Total,Total,Area built-up before,2000,0.073550234
Angola,Percent of total land area,Total,Total,Area built-up before,2014,0.093237051
Angola,Percent of total land area,Total,Total,Built-up since 1990,2000,0.015238493
Angola,Percent of total land area,Total,Total,Built-up since 1990,2014,0.03492531
Angola,Percent of total land area,Total,Total,Built-up since 2000,2014,0.019686817
Angola,Percent of total land area,Total,Total,Built-up since 1975,1990,0.012403161
Benin,Square kilometers,Total,Total,Area built-up before,1975,250.2099
Benin,Square kilometers,Total,Total,Area built-up before,1990,385.4943
Benin,Square kilometers,Total,Total,Area built-up before,2000,517.0644
Benin,Square kilometers,Total,Total,Area built-up before,2014,595.4958
Benin,Square kilometers,Total,Total,Built-up since 1990,2000,131.5701
Benin,Square kilometers,Total,Total,Built-up since 1990,2014,210.0015
Benin,Square kilometers,Total,Total,Built-up since 1975,1990,135.2844
Benin,Percent of total land area,Total,Total,Area built-up before,1975,0.215960526
Benin,Percent of total land area,Total,Total,Area built-up before,1990,0.33272685
Benin,Percent of total land area,Total,Total,Area built-up before,2000,0.446287297
Benin,Percent of total land area,Total,Total,Area built-up before,2014,0.513982805
Benin,Percent of total land area,Total,Total,Built-up since 1990,2000,0.113560447
Benin,Percent of total land area,Total,Total,Built-up since 1990,2014,0.181255955
Benin,Percent of total land area,Total,Total,Built-up since 2000,2014,0.067695509
Benin,Percent of total land area,Total,Total,Built-up since 1975,1990,0.116766324
Botswana,Square kilometers,Total,Total,Area built-up before,1975,68.9697
Botswana,Square kilometers,Total,Total,Area built-up before,1990,141.3567
Botswana,Square kilometers,Total,Total,Area built-up before,2000,220.1616
Botswana,Square kilometers,Total,Total,Area built-up before,2014,254.1015
Botswana,Square kilometers,Total,Total,Built-up since 1990,2000,78.8049
Botswana,Square kilometers,Total,Total,Built-up since 1990,2014,112.7448
Botswana,Square kilometers,Total,Total,Built-up since 2000,2014,33.9399
Botswana,Square kilometers,Total,Total,Built-up since 1975,1990,72.387
Botswana,Percent of total land area,Total,Total,Area built-up before,1975,0.011870508
Botswana,Percent of total land area,Total,Total,Area built-up before,1990,0.024329174
Botswana,Percent of total land area,Total,Total,Area built-up before,2000,0.037892438
Botswana,Percent of total land area,Total,Total,Area built-up before,2014,0.043733899
Botswana,Percent of total land area,Total,Total,Built-up since 1990,2000,0.013563263
Botswana,Percent of total land area,Total,Total,Built-up since 1990,2014,0.019404725
Botswana,Percent of total land area,Total,Total,Built-up since 2000,2014,0.005841462
Botswana,Percent of total land area,Total,Total,Built-up since 1975,1990,0.012458666
Burkina Faso,Square kilometers,Total,Total,Area built-up before,1975,146.1663
Burkina Faso,Square kilometers,Total,Total,Area built-up before,1990,178.2594
Burkina Faso,Square kilometers,Total,Total,Area built-up before,2000,282.1356
