Country,Year,"Central government, Fiscal Balance (% of GDP)","Central government, Fiscal Balance (Current US $)","Central government, total expenditure and net lending  (% of GDP)","Central government, total expenditure and net lending  (Current US $)","Central government, total revenue and grants  (% of GDP)","Central government, total revenue and grants  (Current US $)",Current account balance (As % of GDP),"Current account balance (Net, BoP, cur. US$)",Exports of goods and services (% of GDP),Exports of goods and services (current US$),Final consumption expenditure  (% of GDP),Final consumption expenditure  (current US$),General government final consumption expenditure (% of GDP),General government final consumption expenditure (current US$),Gross capital formation (% of GDP),Gross capital formation (current US$),"Gross capital formation, Private sector  (current US$)","Gross capital formation, Private sector (% GDP)","Gross capital formation, Public sector  (current US$)","Gross capital formation, Public sector (% GDP)","Gross domestic product, (constant prices US$)","Gross domestic product, current prices (current US$)",Household final consumption expenditure  (% of GDP),Household final consumption expenditure (current US$),Imports of goods and services (% of GDP),Imports of goods and services (current US$),"Inflation, consumer prices (annual %)",Real GDP growth (annual %),Real per Capita GDP Growth Rate (annual %)
Angola,1981,-12.5082280115,-585.692722159833,42.7913103566,2003.68581580483,30.2830823451,1417.99309364499,-3.9093869318,-183.055463330368,55.6785615393,2607.12614479578,77.8072206126,3643.29166388128,53.7577160596,2517.18333140888,9.2797602565,434.521024132629,905.027649036066,19.3280397085,-470.506624903437,-10.0482794519,6966.15402001488,4682.4595907638,24.049504553,1126.1083324724,34.9775578901,1637.81001403837,5386.889918028412,-4.4000012194,-7.6534390519
Angola,1982,-13.8248839789,-647.344605782275,47.3996050162,2219.46735106559,33.5747210373,1572.12274528331,-10.5598532537,-494.460861447014,47.8264567068,2239.45450899124,82.8040145969,3877.26452302962,57.1062169634,2673.97553312387,9.2797602565,434.521024132629,905.027649036068,19.3280397085,-470.506624903439,-10.0482794519,6966.15402001488,4682.4595907638,25.6977976335,1203.28898990574,32.1222470419,1504.11123738218,5070.756091618275,0.0,-3.5237268105
Angola,1983,-7.580544637,-369.911301734641,42.9564149029,2096.16381349183,35.375870266,1726.25251175719,-7.3621941876,-359.256355047246,45.8928526603,2239.45450899124,86.9909296696,4244.93615883415,60.0651657242,2931.02734776644,9.5895513022,467.945718296678,902.945212390546,18.5039398774,-434.999494093868,-8.9143885753,7258.73258835309,4879.74571022406,26.9257639453,1313.90881106771,34.9333654579,1704.65940236647,4992.8251604734705,4.2000014283,0.5341021771
Angola,1984,-4.1716326105,-215.781535260759,48.8677026378,2527.72688401335,44.6960700273,2311.94534875259,-3.3010746851,-170.751125535753,43.2946287467,2239.45450899124,91.1125769146,4712.88187713082,62.6802834093,3242.1953339127,10.3390158201,534.795106624774,906.081335393564,17.5169689193,-371.28622876879,-7.1779530992,7694.25670076228,5172.59201388621,28.4322935053,1470.68654321813,36.8327438591,1905.20756735076,4842.852178896825,6.0000021644,2.4338534815
Angola,1985,-5.7905885083,-369.017280233687,43.7764825297,2789.7472766402,37.9858940214,2420.72999640651,-1.5896717709,-101.305135485153,35.6658316551,2272.87920315529,83.3951063701,5314.5263720837,50.3517623367,3208.77063974865,19.4064084006,1236.71368406979,902.794281918533,14.1665728796,333.919402151258,5.2398355209,7963.55564600978,6372.70770840743,33.0433440334,2105.75573233505,30.9453539361,1972.05695567886,4525.63151321707,3.4999994895,0.2637861414
Angola,1986,-6.1440248502,-366.582218759001,42.9322069299,2561.54297163558,36.7881820797,2194.96075287658,-10.0762949166,-601.200456943112,24.6491351899,1470.68654321813,91.8740493441,5481.64984290394,52.6595160875,3141.92125142055,19.6072666283,1169.86429574169,816.694387830509,13.6880360178,353.169907911186,5.9192306105,8194.49889852495,5966.48333456549,39.2145332566,2339.72859148339,28.0103808976,1671.23470820242,4763.674171255409,2.9000017427,-0.0396720304
Angola,1987,-8.0995419587,-552.398102829857,36.2044949045,2469.1883073434,28.1049529458,1916.79020451354,1.1321129394,77.2114081376922,35.7765603029,2440.00267397553,81.3549179491,5548.49923123203,45.5783576462,3108.4965572565,20.0936845537,1370.41246072598,964.503199378169,14.1420364998,405.909261347816,5.9516480539,8529.05969057248,6820.11533058975,35.7765603029,2440.00267397553,28.4252122955,1938.63226151481,5435.9445185663235,4.0827486365,1.3250484764
Angola,1988,-9.9494821809,-736.097337800781,40.4843237432,2995.17124492473,30.5348415623,2259.07390712395,-9.2066712684,-681.141599885733,35.6910861794,2640.55083895982,84.9357493891,6283.8425028411,49.2446632096,3643.29166388128,15.8125065352,1169.86429574169,615.338355882592,8.3172397082,554.525939859102,7.495266827,9051.79641765739,7398.34821973198,35.6910861794,2640.55083895982,28.0107258623,2072.331038171,5855.933057922652,6.1288904762,3.4033042219
Angola,1989,-10.196833041,-877.575645661984,36.7489038975,3162.7411114175,26.5520708564,2285.16546575552,-1.6501310753,-142.016137563525,36.5069912631,3141.92125142055,83.5000332081,7186.30924527041,52.0418811622,4478.90901798249,13.2046564143,1136.43960157765,243.765669985471,2.832391544,892.673931592175,10.3722648703,9055.56390764558,8606.35495481045,31.4581520458,2707.40022728792,24.8558238387,2139.1804264991,6201.518350523967,0.0416214618,-2.608189201
Angola,1990,-23.7200202931,-2247.08411801918,49.3108098595,4671.3930389914,25.5907895664,2424.30892097222,0.014291304,1.35386739755392,42.3393722116,4010.96329968581,79.3863228967,7520.55618691089,31.0488729552,2941.37308643626,12.7018116635,1203.28898990574,171.547714467556,1.8108424317,1031.74127543819,10.8909692318,8743.13801647534,9473.36507410232,48.3374499416,4579.18310047463,25.7564514287,2440.00267397553,6709.460075057626,-3.4500986836,-6.1804953747
Angola,1991,-25.9851261994,-2386.12279076709,47.9417742406,4402.32459398616,21.9566480413,2016.20180321907,-1.1978944858,-109.998439549529,48.3494737842,4439.76220984435,107.2992703767,9852.91479879294,35.3459818579,3245.69725873272,19.898672669,1827.22515939693,1502.78683734344,16.3655054846,324.438322053493,3.5331671845,8829.81392795504,9182.6484599599,71.9532885188,6607.21754006022,43.0413931959,3952.33982945027,6681.541898619085,0.9913592959,-2.0818370366
Angola,1992,-31.9853534408,-2264.6080721278,58.7697100901,4160.97824628482,26.7843566494,1896.37017415701,-8.2050495666,-580.929065394374,102.5640023341,7261.6758175164,148.9798476166,10547.9830361013,37.9160728551,2684.51135955558,50.8684003687,3601.55438971907,3233.67154965655,45.6724184198,367.882840062526,5.1959819489,8314.30460257768,7080.14084109441,111.0637747614,7863.47167654572,105.0380795425,7436.84396838718,6965.1356397824475,-5.8382807337,-8.8508165015
Angola,1993,-13.7620044943,-707.161468627162,52.7406887224,2710.08361527471,38.9786842281,2002.92214664755,-9.5271742752,-489.554450816766,106.9115226739,5493.65533331464,146.7423756261,7540.36622357834,70.467659598,3620.98513139252,52.1094703803,2677.64842096558,2000.99993609431,38.9412762648,676.648484871267,13.1681941155,6320.25022284923,5138.50630494879,76.2747160281,3919.38109218583,108.6954912115,5585.3246691001,6836.590688136682,-23.9834174359,-26.4526386146
Angola,1994,-19.9911863645,-748.014289006424,62.0879705959,2323.15823254587,42.0967842313,1575.14394353944,-6.4768183396,-242.344430038434,218.0781682159,8159.87520556994,200.2707229016,7493.57039989596,67.3781049484,2521.10026631619,71.5941817581,2678.85407040242,2310.87961018231,61.759816132,367.974460220112,9.8343656261,6404.90134503473,3741.72035299368,132.8926179532,4972.47013357977,211.420636045,7910.76896932375,7171.256134486055,1.3393634619,-1.8642921231
Angola,1995,-37.2535958462,-1739.65059463077,67.2353941716,3139.72626787135,29.9817983254,1400.07567324058,-12.0578507667,-563.071745955342,81.456584422,3803.82060597517,79.3017770274,3703.19644124204,23.3880487293,1092.16390941743,29.8577599217,1394.28338720762,1048.27596237406,22.4482141173,346.00742483356,7.4095458044,7365.63654678994,4669.75215443405,55.9137282981,2611.03253182461,83.66980819,3907.17267056508,7886.423135942916,15.0,11.5530369555
Angola,1996,4.8284764947,290.852007247206,42.9998897533,2590.17606483793,47.828366248,2881.02807208513,-4.8250201093,-290.643805624884,89.6196140355,5398.39940396003,56.2992453946,3391.28678529396,35.8512653665,2159.56575654235,37.5889539895,2264.23857094877,1416.80230957249,23.5205413025,847.436261376279,14.068412687,8838.76385614792,6023.68071103701,20.4479800281,1231.72102875161,75.1720124224,4528.12201238782,8193.034527536243,20.0,16.6221331776
Angola,1997,-22.8440345457,-1616.07682549319,65.5081674131,4634.30533800495,42.6641328673,3018.22851251176,-12.4839234952,-883.161834284351,74.0504839215,5238.62239581981,81.3372009145,5754.11340695458,23.1735565478,1639.38850758745,27.5341859069,1947.87657424853,1589.64229479295,22.4703695547,358.234279455583,5.0638163522,9324.89586823606,7074.39319555864,58.1636443667,4114.72489936713,74.7950154097,5291.29348076026,8523.841678143748,5.5,2.6564326643
Angola,1998,-8.8008543304,-527.778647132384,42.5944559324,2554.34796253413,33.793601602,2026.56931540175,-31.2733440941,-1875.43193168513,60.9630444076,3655.89429102323,87.9610731864,5274.93973471011,57.2955178813,3435.95630367192,38.1877305262,2290.080939603,1909.40138595998,31.8397941018,380.679553643013,6.3479364244,9324.89586823606,5996.90242924817,30.6655553052,1838.98343103818,78.610320433,4714.18421568764,8333.48284320807,0.0,-2.6788472734
Angola,1999,-31.2111268916,-1770.02106253484,81.5148939429,4622.80902866951,50.3037670513,2852.78796613466,-29.839654445,-1692.24318782013,123.0170320798,6976.44588701498,112.5637420953,6383.62706603701,27.1854552219,1541.72031354793,39.3480221315,2231.47431311339,1202.48257203077,21.2036099089,1028.99174108261,18.1444122226,9627.00381392424,5671.12193252361,85.3782868734,4841.90675248908,132.1391325897,7493.77132974233,8520.346503452407,3.2397996713,0.3564995474
