area,Country,project_name,developer,Google Pin Location,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,"Projected Yield assuming 90% occupancy rate, 6% stamp duty"
Parklands,Kenya,16 Second Park,Cytonn Real Estate,"-1.26267, 36.82204",4,Apartments,260,40,22500000,86538,150000,577,3003,266649.89,123660.884771413,1.8,7
Syokimau,Kenya,360 Degrees Apartments,Kings Developers Limited,"-1.37154, 36.93292",2,Apartments,79,40,4500000,56962,25000,316,3000,53329.98,123660.884771413,2.1,6
Syokimau,Kenya,360 Degrees Apartments,Kings Developers Limited,"-1.37154, 36.93292",2,Apartments,90,40,5500000,61111,25000,278,3000,65181.08,65181.08434,2.6,5
Syokimau,Kenya,360 Degrees Apartments,Kings Developers Limited,"-1.37154, 36.93292",3,Apartments,83,40,4000000,48193,25000,301,3000,47404.42,47404.42497,1.9,6
Syokimau,Kenya,360 Degrees Apartments,Kings Developers Limited,"-1.37154, 36.93292",3,Apartments,120,40,6500000,54167,30000,250,3000,77032.19,77032.19058,2.6,5
Syokimau,Kenya,360 Degrees Apartments,Kings Developers Limited,"-1.37154, 36.93292",3,Apartments,111,40,6500000,93429.5354752343,30000,488.966974900925,3000,77032.19,77032.19058,2.6,5
Westlands,Kenya,7 Heights,Eastwood Consulting,"-1.25127, 36.79784",2,Apartments,260,20,28000000,107600,156000,599,3003,331830.97,123660.884771413,2.1,6
Westlands,Kenya,7 Heights,Eastwood Consulting,"-1.25127, 36.79784",2,Apartments,344,32,38000000,110508,180000,523,3003,450342.04,123660.884771413,2.5,5
Westlands,Kenya,7 Heights,Eastwood Consulting,"-1.25127, 36.79784",2,Apartments,455,6,49000000,107600,200000,439,3003,580704.21,123660.884771413,2.9,4
Kilimani,Kenya,9 Degrees Apartments,Cytonn Real Estate,"-1.29424, 36.79677",3,Apartments,265,44,22000000,83019,75000,283,3003,260724.34,123660.884771413,3.5,3
Embakasi,Kenya,90 degrees,Tsavo,"-1.31568, 36.90364",1,Apartments,111,40,1400000,93429.5354752343,11000,488.966974900925,3000,16591.55,15669.79603,1.5,8
Embakasi,Kenya,90 degrees,Tsavo,"-1.31568, 36.90364",1,Apartments,111,40,2400000,93429.5354752343,15000,488.966974900925,3000,28442.65,26862.50748,1.9,6
Kitengela,Kenya,Acacia Premier Villas,Cherd Africa,"-1.52414, 36.93327",3,Maisonette,111,40,8500000,93429.5354752343,35000,488.966974900925,3000,100734.4,95138.04734,2.9,4
Kitengela,Kenya,Acacia Villas,Urbanis Africa,"-1.52414, 36.93327",3,Maisonette,111,40,7500000,93429.5354752343,30000,488.966974900925,3000,88883.3,83945.33589,3,4
Kitengela,Kenya,Acacia Villas,Urbanis Africa,"-1.52414, 36.93327",3,Maisonette,111,40,8000000,93429.5354752343,35000,488.966974900925,3000,94808.85,89541.69162,2.7,4
Joska,Kenya,Ace Park Estate,Willstone Homes,"-1.27078, 37.04307",3,Bungalows,131,40,4250000,32443,30000,229,3000,50367.2,47569.02367,1.7,7
Ruaka,Kenya,Alma,Cytonn Real Estate,"-1.20441, 36.76968",1,Apartments,51,40,7900000,154902,40000,784,3003,93623.74,123660.884771413,2.3,5
Ruaka,Kenya,Alma,Cytonn Real Estate,"-1.20441, 36.76968",2,Apartments,84,70,12400000,147619,48500,577,3003,146953.72,123660.884771413,3,4
Ruaka,Kenya,Alma,Cytonn Real Estate,"-1.20441, 36.76968",3,Apartments,117,27,16400000,140171,60000,513,3003,194358.14,123660.884771413,3.2,4
Syokimau,Kenya,Almasi Apartments,Cytonn Real Estate,"-1.38341, 36.92076",3,Apartments,153,10,12500000,81699,59775.1237623762,488.966974900925,3003,148138.83,123660.884771413,2.46908850726552,5
Kitengela,Kenya,Almond Grove,Grove Limited,"-1.50346, 36.94640",3,Maisonette,119,40,8900000,74790,35000,294,3000,105474.85,99615.13192,3,4
Syokimau,Kenya,Amani Ridge Apartments,ADG Group,"-1.36455, 36.92286",3,Apartments,127,40,11000000,86743,45000,355,3000,130362.17,130362.1687,2.9,4
Karen,Kenya,Amara Ridge,Cytonn Real Estate,"-1.33492, 36.76656",5,Maisonette,470,10,105000000,223404,350000,745,3003,1244366.16,123660.884771413,3.6,3
Racecourse,Kenya,Ambient Magu Apartments,Cytonn Real Estate,"-1.29909, 36.74507",2,Apartments,97,40,6000000,61856,40000,412,3000,71106.64,67156.26871,1.8,7
Kitengela,Kenya,Angelville Villas,Cytonn Real Estate,"-1.50527, 36.94985",4,Maisonette,170,40,12500000,73529,45000,265,3000,148138.83,139908.8931,3.3,4
