,city,Population,Land Area (Sq. Km),Population Density (No. per Sq. Km),country,year
1,Mombasa,1208333,219.9,5495,Kenya,2019
2,Changamwe,131882,17.7,7457,Kenya,2019
3,Jomvu,163415,36.9,4432,Kenya,2019
4,Kisauni,291930,87.7,3328,Kenya,2019
5,Likoni,250358,40.5,6187,Kenya,2019
6,Mvita,154171,14.6,10543,Kenya,2019
7,Nyali,216577,22.5,9610,Kenya,2019
8,Kwale,866820,8267.1,105,Kenya,2019
9,Kinango,94220,1614.0,58,Kenya,2019
10,Lungalunga,198423,2765.2,72,Kenya,2019
11,Matuga,194252,1032.4,188,Kenya,2019
12,Msambweni,177690,411.7,432,Kenya,2019
13,Samburu-Kwale,202235,2443.7,83,Kenya,2019
14,Kilifi,1453787,12539.7,116,Kenya,2019
15,Chonyi,62335,192.6,324,Kenya,2019
16,Ganze,143906,3204.4,45,Kenya,2019
17,Kaloleni,193682,706.1,274,Kenya,2019
18,Kauma,22638,181.4,125,Kenya,2019
19,KilifiNorth,178824,264.4,676,Kenya,2019
20,KilifiSouth,206753,290.5,712,Kenya,2019
21,Magarini,191610,5229.4,37,Kenya,2019
22,Malindi,333226,2263.3,147,Kenya,2019
23,Rabai,120813,207.8,581,Kenya,2019
24,TanaRiver,315943,37950.5,8,Kenya,2019
25,TanaNorth,110640,15478.7,7,Kenya,2019
26,TanaDelta,116757,13306.1,9,Kenya,2019
27,TanaRiver,88546,9165.6,10,Kenya,2019
28,Lamu,143920,6253.3,23,Kenya,2019
29,LamuEast,22258,2336.7,10,Kenya,2019
30,LamuWest,121662,3916.6,31,Kenya,2019
31,Taita/Taveta,340671,17152.0,20,Kenya,2019
32,Mwatate,81659,2722.6,30,Kenya,2019
33,Taita,55959,477.9,117,Kenya,2019
34,Taveta,91222,6398.7,14,Kenya,2019
35,Voi,111831,7552.8,15,Kenya,2019
36,Garissa,841353,44736.0,19,Kenya,2019
37,Balambala,32257,3684.1,9,Kenya,2019
38,Dadaab,185252,6479.8,29,Kenya,2019
39,Fafi,134040,15072.9,9,Kenya,2019
40,Garissa,163914,3230.7,51,Kenya,2019
41,Hulugho,133984,7733.2,17,Kenya,2019
42,Ijara,141591,2438.9,58,Kenya,2019
43,Lagdera,50315,6096.4,8,Kenya,2019
44,Wajir,781263,56773.1,14,Kenya,2019
45,Buna,49886,3892.8,13,Kenya,2019
46,Eldas,88509,4444.0,20,Kenya,2019
47,Habaswein,174134,1912.5,16,Kenya,2019
48,Tarbaj,57232,9650.9,6,Kenya,2019
49,WajirEast,110654,4055.1,27,Kenya,2019
50,WajirNorth,62206,4042.9,15,Kenya,2019
51,WajirSouth,116814,1732.6,11,Kenya,2019
52,WajirWest,121828,9042.3,13,Kenya,2019
53,Mandera,867457,25939.8,33,Kenya,2019
54,ManderaWest,98300,4016.9,24,Kenya,2019
55,Banisa,152598,3942.7,39,Kenya,2019
56,Kutulo,72394,2509.3,29,Kenya,2019
57,Lafey,83457,3846.3,22,Kenya,2019
58,ManderaCentral,157220,4031.6,39,Kenya,2019
59,ManderaEast,159638,2505.7,64,Kenya,2019
60,ManderaNorth,143850,5087.3,28,Kenya,2019
61,Marsabit,459785,7944.1,6,Kenya,2019
