Population,annual population change %,Year,City,Country
202000,5.54,1950,Kinshasa,Democratic Republic of Congo
217000,7.43,1951,Kinshasa,Democratic Republic of Congo
234000,7.83,1952,Kinshasa,Democratic Republic of Congo
252000,7.69,1953,Kinshasa,Democratic Republic of Congo
272000,7.94,1954,Kinshasa,Democratic Republic of Congo
292000,7.35,1955,Kinshasa,Democratic Republic of Congo
315000,7.88,1956,Kinshasa,Democratic Republic of Congo
339000,7.62,1957,Kinshasa,Democratic Republic of Congo
365000,7.67,1958,Kinshasa,Democratic Republic of Congo
402000,10.14,1959,Kinshasa,Democratic Republic of Congo
443000,10.2,1960,Kinshasa,Democratic Republic of Congo
488000,10.16,1961,Kinshasa,Democratic Republic of Congo
537000,10.04,1962,Kinshasa,Democratic Republic of Congo
591000,10.06,1963,Kinshasa,Democratic Republic of Congo
651000,10.15,1964,Kinshasa,Democratic Republic of Congo
717000,10.14,1965,Kinshasa,Democratic Republic of Congo
790000,10.18,1966,Kinshasa,Democratic Republic of Congo
869000,10.0,1967,Kinshasa,Democratic Republic of Congo
939000,8.06,1968,Kinshasa,Democratic Republic of Congo
1002000,6.71,1969,Kinshasa,Democratic Republic of Congo
1070000,6.79,1970,Kinshasa,Democratic Republic of Congo
1142000,6.73,1971,Kinshasa,Democratic Republic of Congo
1219000,6.74,1972,Kinshasa,Democratic Republic of Congo
1301000,6.73,1973,Kinshasa,Democratic Republic of Congo
1388000,6.69,1974,Kinshasa,Democratic Republic of Congo
1482000,6.77,1975,Kinshasa,Democratic Republic of Congo
1582000,6.75,1976,Kinshasa,Democratic Republic of Congo
1688000,6.7,1977,Kinshasa,Democratic Republic of Congo
1802000,6.75,1978,Kinshasa,Democratic Republic of Congo
1923000,6.71,1979,Kinshasa,Democratic Republic of Congo
2053000,6.76,1980,Kinshasa,Democratic Republic of Congo
2191000,6.72,1981,Kinshasa,Democratic Republic of Congo
2338000,6.71,1982,Kinshasa,Democratic Republic of Congo
2496000,6.76,1983,Kinshasa,Democratic Republic of Congo
2664000,6.73,1984,Kinshasa,Democratic Republic of Congo
2812000,5.56,1985,Kinshasa,Democratic Republic of Congo
2968000,5.55,1986,Kinshasa,Democratic Republic of Congo
3133000,5.56,1987,Kinshasa,Democratic Republic of Congo
3307000,5.55,1988,Kinshasa,Democratic Republic of Congo
3490000,5.53,1989,Kinshasa,Democratic Republic of Congo
3683000,5.53,1990,Kinshasa,Democratic Republic of Congo
3888000,5.57,1991,Kinshasa,Democratic Republic of Congo
4104000,5.56,1992,Kinshasa,Democratic Republic of Congo
4331000,5.53,1993,Kinshasa,Democratic Republic of Congo
4571000,5.54,1994,Kinshasa,Democratic Republic of Congo
4825000,5.56,1995,Kinshasa,Democratic Republic of Congo
