Country,Measure,Large subnational region,Variable,Year,Value
Algeria,Square kilometers,Khenchela,Area built-up before,1975,2.7432
Algeria,Square kilometers,Khenchela,Area built-up before,1990,12.9105
Algeria,Square kilometers,Khenchela,Area built-up before,2000,22.6368
Algeria,Square kilometers,Khenchela,Area built-up before,2014,30.177
Algeria,Square kilometers,Khenchela,Built-up since 1990,2000,9.7263
Algeria,Square kilometers,Khenchela,Built-up since 1990,2014,17.2665
Algeria,Square kilometers,Khenchela,Built-up since 2000,2014,7.5402
Algeria,Square kilometers,Khenchela,Built-up since 1975,1990,10.1673
Algeria,Percent of total land area,Khenchela,Area built-up before,1975,0.028586984
Algeria,Percent of total land area,Khenchela,Area built-up before,1990,0.134540777
Algeria,Percent of total land area,Khenchela,Area built-up before,2000,0.235898893
Algeria,Percent of total land area,Khenchela,Area built-up before,2014,0.314475584
Algeria,Percent of total land area,Khenchela,Built-up since 1990,2000,0.101358116
Algeria,Percent of total land area,Khenchela,Built-up since 1990,2014,0.179934807
Algeria,Percent of total land area,Khenchela,Built-up since 2000,2014,0.078576691
Algeria,Percent of total land area,Khenchela,Built-up since 1975,1990,0.105953793
Algeria,Square kilometers,Tlemcen,Area built-up before,1975,23.5494
Algeria,Square kilometers,Tlemcen,Area built-up before,1990,54.3492
Algeria,Square kilometers,Tlemcen,Area built-up before,2000,74.943
Algeria,Square kilometers,Tlemcen,Area built-up before,2014,95.1597
Algeria,Square kilometers,Tlemcen,Built-up since 1990,2000,20.5938
Algeria,Square kilometers,Tlemcen,Built-up since 1990,2014,40.8105
Algeria,Square kilometers,Tlemcen,Built-up since 2000,2014,20.2167
Algeria,Square kilometers,Tlemcen,Built-up since 1975,1990,30.7998
Algeria,Percent of total land area,Tlemcen,Area built-up before,1975,0.261048416
Algeria,Percent of total land area,Tlemcen,Area built-up before,1990,0.602468537
Algeria,Percent of total land area,Tlemcen,Area built-up before,2000,0.83075371
Algeria,Percent of total land area,Tlemcen,Area built-up before,2014,1.054858677
Algeria,Percent of total land area,Tlemcen,Built-up since 1990,2000,0.228285173
Algeria,Percent of total land area,Tlemcen,Built-up since 1990,2014,0.45239014
Algeria,Percent of total land area,Tlemcen,Built-up since 2000,2014,0.224104967
Algeria,Square kilometers,Tizi Ouzou,Area built-up before,1975,34.7643
Algeria,Square kilometers,Tizi Ouzou,Area built-up before,1990,50.9211
Algeria,Square kilometers,Tizi Ouzou,Area built-up before,2000,73.6155
Algeria,Square kilometers,Tizi Ouzou,Area built-up before,2014,86.9571
Algeria,Square kilometers,Tizi Ouzou,Built-up since 1990,2000,22.6944
Algeria,Square kilometers,Tizi Ouzou,Built-up since 1990,2014,36.036
Algeria,Square kilometers,Tizi Ouzou,Built-up since 2000,2014,13.3416
Algeria,Square kilometers,Tizi Ouzou,Built-up since 1975,1990,16.1568
Algeria,Percent of total land area,Tizi Ouzou,Area built-up before,1975,1.174074733
Algeria,Percent of total land area,Tizi Ouzou,Area built-up before,1990,1.719729057
Algeria,Percent of total land area,Tizi Ouzou,Area built-up before,2000,2.486173991
Algeria,Percent of total land area,Tizi Ouzou,Area built-up before,2014,2.936752184
Algeria,Percent of total land area,Tizi Ouzou,Built-up since 1990,2000,0.766444934
Algeria,Percent of total land area,Tizi Ouzou,Built-up since 1990,2014,1.217023126
Algeria,Percent of total land area,Tizi Ouzou,Built-up since 1975,1990,0.545654325
Algeria,Square kilometers,Relizane,Area built-up before,1975,7.2081
Algeria,Square kilometers,Relizane,Area built-up before,1990,21.6243
Algeria,Square kilometers,Relizane,Area built-up before,2000,34.5582
Algeria,Square kilometers,Relizane,Area built-up before,2014,43.623
Algeria,Square kilometers,Relizane,Built-up since 1990,2000,12.9339
Algeria,Square kilometers,Relizane,Built-up since 1990,2014,21.9987
Algeria,Square kilometers,Relizane,Built-up since 2000,2014,9.0648
Algeria,Square kilometers,Relizane,Built-up since 1975,1990,14.4162
Algeria,Percent of total land area,Relizane,Area built-up before,1975,0.147786042
Algeria,Percent of total land area,Relizane,Area built-up before,1990,0.443358125
Algeria,Percent of total land area,Relizane,Area built-up before,2000,0.708538948
Algeria,Percent of total land area,Relizane,Area built-up before,2014,0.894392489
Algeria,Percent of total land area,Relizane,Built-up since 1990,2000,0.265180822
Algeria,Percent of total land area,Relizane,Built-up since 1990,2014,0.451034364
Algeria,Percent of total land area,Relizane,Built-up since 2000,2014,0.185853541
Algeria,Square kilometers,Saida,Area built-up before,1975,7.5168
Algeria,Square kilometers,Saida,Area built-up before,1990,15.921
Algeria,Square kilometers,Saida,Area built-up before,2000,21.1554
Algeria,Square kilometers,Saida,Area built-up before,2014,25.569
Algeria,Square kilometers,Saida,Built-up since 1990,2000,5.2344
Algeria,Square kilometers,Saida,Built-up since 1990,2014,9.648
Algeria,Percent of total land area,Saida,Area built-up before,1975,0.110898323
Algeria,Percent of total land area,Saida,Area built-up before,1990,0.234888809
Algeria,Percent of total land area,Saida,Area built-up before,2000,0.312113982
Algeria,Percent of total land area,Saida,Area built-up before,2014,0.377229568
Algeria,Percent of total land area,Saida,Built-up since 1990,2000,0.077225173
Algeria,Percent of total land area,Saida,Built-up since 1990,2014,0.142340759
Algeria,Percent of total land area,Saida,Built-up since 2000,2014,0.065115586
Algeria,Square kilometers,Ouargla,Area built-up before,1975,29.7522
Algeria,Square kilometers,Ouargla,Area built-up before,1990,50.2938
Algeria,Square kilometers,Ouargla,Area built-up before,2000,60.3603
Algeria,Square kilometers,Ouargla,Area built-up before,2014,68.1642
Algeria,Square kilometers,Ouargla,Built-up since 1975,1990,20.5416
Algeria,Percent of total land area,Ouargla,Area built-up before,1975,0.019210695
Algeria,Percent of total land area,Ouargla,Area built-up before,1990,0.032474198
Algeria,Percent of total land area,Ouargla,Area built-up before,2000,0.038974035
Algeria,Percent of total land area,Ouargla,Area built-up before,2014,0.044012935
Algeria,Percent of total land area,Ouargla,Built-up since 1990,2000,0.006499837
Algeria,Percent of total land area,Ouargla,Built-up since 1990,2014,0.011538737
Algeria,Percent of total land area,Ouargla,Built-up since 2000,2014,0.005038899
Algeria,Percent of total land area,Ouargla,Built-up since 1975,1990,0.013263503
Algeria,Square kilometers,Naama,Area built-up before,1975,5.0166
Algeria,Square kilometers,Naama,Area built-up before,1990,11.5425
Algeria,Square kilometers,Naama,Area built-up before,2000,14.6088
Algeria,Square kilometers,Naama,Area built-up before,2014,18.4347
