,population_growth,population_growth_rate,population,year,city,country
0,163737,0.0233748179474608,7168583,2035,Alexandria,Egypt
1,156804,0.0228976399385401,7004846,2034,Alexandria,Egypt
2,150073,0.0224057471750018,6848042,2033,Alexandria,Egypt
3,143349,0.0218699177068999,6697969,2032,Alexandria,Egypt
4,137236,0.0213850378908291,6554620,2031,Alexandria,Egypt
5,131377,0.0208999130926834,6417384,2030,Alexandria,Egypt
6,126061,0.0204646274496562,6286007,2029,Alexandria,Egypt
7,121305,0.0200881291005707,6159946,2028,Alexandria,Egypt
8,117436,0.019833125183134,6038641,2027,Alexandria,Egypt
9,114154,0.0196578263218283,5921205,2026,Alexandria,Egypt
10,110920,0.0194728667581556,5807051,2025,Alexandria,Egypt
11,107654,0.0192635668000422,5696131,2024,Alexandria,Egypt
12,104872,0.0191246451923505,5588477,2023,Alexandria,Egypt
13,102504,0.0190488898089815,5483605,2022,Alexandria,Egypt
14,100437,0.0190197672110932,5381101,2021,Alexandria,Egypt
15,98214,0.0189512682225587,5280664,2020,Alexandria,Egypt
16,96210,0.0189157412941582,5182450,2019,Alexandria,Egypt
17,100950,0.020249574247436,5086240,2018,Alexandria,Egypt
18,98946,0.0202494953282044,4985290,2017,Alexandria,Egypt
19,96982,0.0202494612017216,4886344,2016,Alexandria,Egypt
20,95058,0.0202496472320496,4789362,2015,Alexandria,Egypt
21,93171,0.0202495776583724,4694304,2014,Alexandria,Egypt
22,91321,0.0202494028575914,4601133,2013,Alexandria,Egypt
23,89509,0.0202495168317646,4509812,2012,Alexandria,Egypt
24,87733,0.0202496439757464,4420303,2011,Alexandria,Egypt
25,85991,0.0202494761077092,4332570,2010,Alexandria,Egypt
26,84284,0.0202494056764357,4246579,2009,Alexandria,Egypt
27,82612,0.0202496125311697,4162295,2008,Alexandria,Egypt
28,80972,0.0202495254095631,4079683,2007,Alexandria,Egypt
29,79366,0.020249812149734,3998711,2006,Alexandria,Egypt
30,77684,0.0202214614980342,3919345,2005,Alexandria,Egypt
31,76352,0.0202777514408512,3841661,2004,Alexandria,Egypt
32,74733,0.0202496846020783,3765309,2003,Alexandria,Egypt
33,73250,0.0202497646051253,3690576,2002,Alexandria,Egypt
34,71698,0.020221523521362,3617326,2001,Alexandria,Egypt
35,70469,0.0202779210965597,3545628,2000,Alexandria,Egypt
36,68974,0.0202496341214584,3475159,1999,Alexandria,Egypt
37,67605,0.0202496270869652,3406185,1998,Alexandria,Egypt
38,55851,0.0170135883894162,3338580,1997,Alexandria,Egypt
39,38985,0.0120185193406137,3282729,1996,Alexandria,Egypt
40,38470,0.0120020940487459,3243744,1995,Alexandria,Egypt
41,38013,0.0120018527049081,3205274,1994,Alexandria,Egypt
42,37511,0.0119853023404425,3167261,1993,Alexandria,Egypt
43,37169,0.0120187636152455,3129750,1992,Alexandria,Egypt
44,36676,0.0120016819894597,3092581,1991,Alexandria,Egypt
45,36242,0.0120020015478548,3055905,1990,Alexandria,Egypt
46,35763,0.0119853212239016,3019663,1989,Alexandria,Egypt
47,35436,0.0120184611377314,2983900,1988,Alexandria,Egypt
48,47714,0.0164488494354908,2948464,1987,Alexandria,Egypt
49,66981,0.0236367184481163,2900750,1986,Alexandria,Egypt
50,65345,0.0236036820949392,2833769,1985,Alexandria,Egypt
51,64012,0.0236694704800894,2768424,1984,Alexandria,Egypt
52,62447,0.0236365735352284,2704412,1983,Alexandria,Egypt
53,61005,0.0236365538404315,2641965,1982,Alexandria,Egypt
54,59515,0.0236035289288483,2580960,1981,Alexandria,Egypt
55,58301,0.0236693429210796,2521445,1980,Alexandria,Egypt
56,56876,0.0236366024067145,2463144,1979,Alexandria,Egypt
57,55563,0.0236367387656044,2406268,1978,Alexandria,Egypt
58,54836,0.0238846380172388,2350705,1977,Alexandria,Egypt
59,54653,0.0243854229132756,2295869,1976,Alexandria,Egypt
60,53279,0.0243512496017939,2241216,1975,Alexandria,Egypt
61,52013,0.0243515218706282,2187937,1974,Alexandria,Egypt
62,50707,0.0243173732038439,2135924,1973,Alexandria,Egypt
63,49638,0.0243851994936084,2085217,1972,Alexandria,Egypt
64,48391,0.0243514956813346,2035579,1971,Alexandria,Egypt
65,47240,0.0243511681756418,1987188,1970,Alexandria,Egypt
66,46054,0.0243170948321289,1939948,1969,Alexandria,Egypt
67,45084,0.024385415483473,1893894,1968,Alexandria,Egypt
68,43951,0.024351486736637,1848810,1967,Alexandria,Egypt
69,52838,0.0301583143124426,1804859,1966,Alexandria,Egypt
70,52144,0.0306751606145621,1752021,1965,Alexandria,Egypt
71,50729,0.0307607322083887,1699877,1964,Alexandria,Egypt
72,49149,0.0307181441988402,1649148,1963,Alexandria,Egypt
73,47684,0.0307179921600964,1599999,1962,Alexandria,Egypt
74,48486,0.0322416976930222,1552315,1961,Alexandria,Egypt
75,54870,0.0378685663293441,1503829,1960,Alexandria,Egypt
76,52798,0.0378165555405143,1448959,1959,Alexandria,Egypt
77,50873,0.037815694483263,1396161,1958,Alexandria,Egypt
78,48954,0.0377634159097886,1345288,1957,Alexandria,Egypt
79,47300,0.0378692653682766,1296334,1956,Alexandria,Egypt
80,45512,0.0378156776527558,1249034,1955,Alexandria,Egypt
81,43855,0.0378168905384046,1203522,1954,Alexandria,Egypt
82,42199,0.0377630500381218,1159667,1953,Alexandria,Egypt
83,40773,0.0378686628989639,1117468,1952,Alexandria,Egypt
84,39233,0.0378163248388856,1076695,1951,Alexandria,Egypt
85,0,0.0,1037462,1950,Alexandria,Egypt
86,218595,0.0362708649355587,6245333,2035,Antananarivo,Madagascar
87,214422,0.036890974269121,6026738,2034,Antananarivo,Madagascar
88,211345,0.0377336358285018,5812316,2033,Antananarivo,Madagascar
89,207698,0.0385105667745726,5600971,2032,Antananarivo,Madagascar
90,203975,0.0393068580759863,5393273,2031,Antananarivo,Madagascar
91,200031,0.0400922620497159,5189298,2030,Antananarivo,Madagascar
92,196057,0.0409030691332112,4989267,2029,Antananarivo,Madagascar
93,191991,0.0417261164921729,4793210,2028,Antananarivo,Madagascar
94,188072,0.0426163007939686,4601219,2027,Antananarivo,Madagascar
95,184163,0.0435478119567254,4413147,2026,Antananarivo,Madagascar
96,180318,0.0445376328894504,4228984,2025,Antananarivo,Madagascar
97,176402,0.0455552617280226,4048666,2024,Antananarivo,Madagascar
98,172364,0.0465861239492959,3872264,2023,Antananarivo,Madagascar
99,168013,0.0475703214740448,3699900,2022,Antananarivo,Madagascar
100,163302,0.0484779217386528,3531887,2021,Antananarivo,Madagascar
101,158199,0.0492772520189161,3368585,2020,Antananarivo,Madagascar
102,151999,0.0496990734004558,3210386,2019,Antananarivo,Madagascar
103,154435,0.0531809754431202,3058387,2018,Antananarivo,Madagascar
104,146636,0.0531807018129224,2903952,2017,Antananarivo,Madagascar
105,139232,0.0531808757854981,2757316,2016,Antananarivo,Madagascar
106,132024,0.0531057174806721,2618084,2015,Antananarivo,Madagascar
107,125366,0.0531055698027782,2486060,2014,Antananarivo,Madagascar
108,118885,0.053030833581273,2360694,2013,Antananarivo,Madagascar
