population_growth,population_growth_rate,population,Year,Country,City
651072,0.023375057,28504352,2035,Egypt,Cairo
623526,0.022898701,27853280,2034,Egypt,Cairo
596806,0.02240856,27229754,2033,Egypt,Cairo
570172,0.021876871,26632948,2032,Egypt,Cairo
546080,0.02140089,26062776,2031,Egypt,Cairo
523188,0.020932956,25516696,2030,Egypt,Cairo
502746,0.020527985,24993508,2029,Egypt,Cairo
484948,0.020201273,24490762,2028,Egypt,Cairo
471202,0.02002166,24005814,2027,Egypt,Cairo
460388,0.01995248,23534612,2026,Egypt,Cairo
450350,0.019905963,23074224,2025,Egypt,Cairo
440674,0.019865213,22623874,2024,Egypt,Cairo
433180,0.019916304,22183200,2023,Egypt,Cairo
427270,0.020038222,21750020,2022,Egypt,Cairo
422146,0.020197789,21322750,2021,Egypt,Cairo
415640,0.020290004,20900604,2020,Egypt,Cairo
408962,0.020370689,20484964,2019,Egypt,Cairo
427690,0.021767264,20076002,2018,Egypt,Cairo
418580,0.021767334,19648312,2017,Egypt,Cairo
409660,0.021767186,19229732,2016,Egypt,Cairo
400934,0.021767251,18820072,2015,Egypt,Cairo
392392,0.021767212,18419138,2014,Egypt,Cairo
384034,0.021767288,18026746,2013,Egypt,Cairo
375852,0.021767247,17642712,2012,Egypt,Cairo
367844,0.021767185,17266860,2011,Egypt,Cairo
360010,0.02176733,16899016,2010,Egypt,Cairo
352339,0.021767236,16539006,2009,Egypt,Cairo
344833,0.02176724,16186667,2008,Egypt,Cairo
337487,0.02176725,15841834,2007,Egypt,Cairo
330297,0.021767228,15504347,2006,Egypt,Cairo
322820,0.02173692,15174050,2005,Egypt,Cairo
316815,0.021797575,14851230,2004,Egypt,Cairo
309634,0.021767224,14534415,2003,Egypt,Cairo
303038,0.021767246,14224781,2002,Egypt,Cairo
296178,0.021736933,13921743,2001,Egypt,Cairo
290669,0.02179762,13625565,2000,Egypt,Cairo
284080,0.021767221,13334896,1999,Egypt,Cairo
278028,0.021767213,13050816,1998,Egypt,Cairo
346866,0.027914709,12772788,1997,Egypt,Cairo
463936,0.038784195,12425922,1996,Egypt,Cairo
446011,0.038729765,11961986,1995,Egypt,Cairo
429381,0.038729749,11515975,1994,Egypt,Cairo
412813,0.038675423,11086594,1993,Egypt,Cairo
398517,0.038784113,10673781,1992,Egypt,Cairo
383121,0.038729828,10275264,1991,Egypt,Cairo
368836,0.038729824,9892143,1990,Egypt,Cairo
354603,0.038675368,9523307,1989,Egypt,Cairo
342324,0.03878419,9168704,1988,Egypt,Cairo
287031,0.03361275,8826380,1987,Egypt,Cairo
211095,0.025346849,8539349,1986,Egypt,Cairo
205595,0.025311293,8328254,1985,Egypt,Cairo
201067,0.025382145,8122659,1984,Egypt,Cairo
195823,0.025346732,7921592,1983,Egypt,Cairo
190983,0.025346838,7725769,1982,Egypt,Cairo
186008,0.025311419,7534786,1981,Egypt,Cairo
181910,0.025382078,7348778,1980,Egypt,Cairo
177167,0.025346864,7166868,1979,Egypt,Cairo
172786,0.025346656,6989701,1978,Egypt,Cairo
178176,0.026838832,6816915,1977,Egypt,Cairo
188817,0.029274308,6638739,1976,Egypt,Cairo
183199,0.02923362,6449922,1975,Egypt,Cairo
177994,0.029233359,6266723,1974,Egypt,Cairo
172705,0.029192748,6088729,1973,Egypt,Cairo
168262,0.029274351,5916024,1972,Egypt,Cairo
163255,0.029233556,5747762,1971,Egypt,Cairo
158617,0.029233361,5584507,1970,Egypt,Cairo
153903,0.029192599,5425890,1969,Egypt,Cairo
149945,0.029274457,5271987,1968,Egypt,Cairo
145482,0.029233446,5122042,1967,Egypt,Cairo
238592,0.050357453,4976560,1966,Egypt,Cairo
235634,0.052335966,4737968,1965,Egypt,Cairo
224517,0.052484012,4502334,1964,Egypt,Cairo
213035,0.052409945,4277817,1963,Egypt,Cairo
202427,0.052410252,4064782,1962,Egypt,Cairo
182195,0.049507358,3862355,1961,Egypt,Cairo
140673,0.039743895,3680160,1960,Egypt,Cairo
135114,0.039688366,3539487,1959,Egypt,Cairo
129956,0.039688286,3404373,1958,Egypt,Cairo
124827,0.039632778,3274417,1957,Egypt,Cairo
120392,0.039743853,3149590,1956,Egypt,Cairo
115635,0.039688519,3029198,1955,Egypt,Cairo
111220,0.039688218,2913563,1954,Egypt,Cairo
106830,0.03963253,2802343,1953,Egypt,Cairo
103036,0.039744229,2695513,1952,Egypt,Cairo
98963,0.039688167,2592477,1951,Egypt,Cairo
0,0.0,2493514,1950,Egypt,Cairo
