population_growth,population_growth_Rate,population,Year,City,Country
547378,0.042644023,13383362,2035,Dar es salaam,Tanzania
533494,0.043364717,12835984,2034,Dar es salaam,Tanzania
519308,0.044071966,12302490,2033,Dar es salaam,Tanzania
504614,0.044740964,11783182,2032,Dar es salaam,Tanzania
490045,0.045422807,11278568,2031,Dar es salaam,Tanzania
475272,0.046083626,10788523,2030,Dar es salaam,Tanzania
460446,0.046732479,10313251,2029,Dar es salaam,Tanzania
445402,0.047345904,9852805,2028,Dar es salaam,Tanzania
430470,0.047952903,9407403,2027,Dar es salaam,Tanzania
415408,0.048520328,8976933,2026,Dar es salaam,Tanzania
400294,0.049048238,8561525,2025,Dar es salaam,Tanzania
385366,0.049559245,8161231,2024,Dar es salaam,Tanzania
371176,0.050127156,7775865,2023,Dar es salaam,Tanzania
357797,0.050773731,7404689,2022,Dar es salaam,Tanzania
345242,0.05151597,7046892,2021,Dar es salaam,Tanzania
333378,0.052349837,6701650,2020,Dar es salaam,Tanzania
320672,0.053024671,6368272,2019,Dar es salaam,Tanzania
328114,0.057367742,6047600,2018,Dar es salaam,Tanzania
310312,0.057367724,5719486,2017,Dar es salaam,Tanzania
293476,0.057367734,5409174,2016,Dar es salaam,Tanzania
277553,0.057367648,5115698,2015,Dar es salaam,Tanzania
262495,0.057367806,4838145,2014,Dar es salaam,Tanzania
248253,0.057367743,4575650,2013,Dar es salaam,Tanzania
235413,0.057530284,4327397,2012,Dar es salaam,Tanzania
222309,0.057449011,4091984,2011,Dar es salaam,Tanzania
210231,0.057448891,3869675,2010,Dar es salaam,Tanzania
198544,0.057367737,3659444,2009,Dar es salaam,Tanzania
188275,0.05753027,3460900,2008,Dar es salaam,Tanzania
177794,0.057448694,3272625,2007,Dar es salaam,Tanzania
168136,0.057449102,3094831,2006,Dar es salaam,Tanzania
158788,0.057367534,2926695,2005,Dar es salaam,Tanzania
150576,0.057530362,2767907,2004,Dar es salaam,Tanzania
139466,0.056284745,2617331,2003,Dar es salaam,Tanzania
104983,0.044242824,2477865,2002,Dar es salaam,Tanzania
100399,0.044180308,2372882,2001,Dar es salaam,Tanzania
96412,0.04430554,2272483,2000,Dar es salaam,Tanzania
92196,0.044242577,2176071,1999,Dar es salaam,Tanzania
88291,0.044243189,2083875,1998,Dar es salaam,Tanzania
84436,0.044180775,1995584,1997,Dar es salaam,Tanzania
81081,0.044304935,1911148,1996,Dar es salaam,Tanzania
77537,0.044242895,1830067,1995,Dar es salaam,Tanzania
74252,0.044242968,1752530,1994,Dar es salaam,Tanzania
71010,0.04418056,1678278,1993,Dar es salaam,Tanzania
68189,0.044305068,1607268,1992,Dar es salaam,Tanzania
65209,0.044243386,1539079,1991,Dar es salaam,Tanzania
62445,0.044242521,1473870,1990,Dar es salaam,Tanzania
62602,0.046412317,1411425,1989,Dar es salaam,Tanzania
74830,0.058736586,1348823,1988,Dar es salaam,Tanzania
70585,0.058654255,1273993,1987,Dar es salaam,Tanzania
66675,0.058654935,1203408,1986,Dar es salaam,Tanzania
62895,0.058570287,1136733,1985,Dar es salaam,Tanzania
59576,0.058738275,1073838,1984,Dar es salaam,Tanzania
56194,0.058653457,1014262,1983,Dar es salaam,Tanzania
53082,0.058655051,958068,1982,Dar es salaam,Tanzania
50073,0.058570872,904986,1981,Dar es salaam,Tanzania
47429,0.058736768,854913,1980,Dar es salaam,Tanzania
49086,0.064723272,807484,1979,Dar es salaam,Tanzania
68221,0.098845658,758398,1978,Dar es salaam,Tanzania
62002,0.098701795,690177,1977,Dar es salaam,Tanzania
56581,0.098988093,628175,1976,Dar es salaam,Tanzania
51417,0.098845201,571594,1975,Dar es salaam,Tanzania
46791,0.098843227,520177,1974,Dar es salaam,Tanzania
42527,0.098702824,473386,1973,Dar es salaam,Tanzania
38808,0.098987122,430859,1972,Dar es salaam,Tanzania
35266,0.098843842,392051,1971,Dar es salaam,Tanzania
32094,0.098844748,356785,1970,Dar es salaam,Tanzania
29169,0.098703311,324691,1969,Dar es salaam,Tanzania
25730,0.095369766,295522,1968,Dar es salaam,Tanzania
18935,0.07548125,269792,1967,Dar es salaam,Tanzania
17606,0.07548092,250857,1966,Dar es salaam,Tanzania
16349,0.075375054,233251,1965,Dar es salaam,Tanzania
15243,0.075587998,216902,1964,Dar es salaam,Tanzania
14153,0.075480251,201659,1963,Dar es salaam,Tanzania
13160,0.075482087,187506,1962,Dar es salaam,Tanzania
12220,0.075373475,174346,1961,Dar es salaam,Tanzania
11393,0.07558398,162126,1960,Dar es salaam,Tanzania
10579,0.075481256,150733,1959,Dar es salaam,Tanzania
9837,0.075485163,140154,1958,Dar es salaam,Tanzania
6832,0.055326558,130317,1957,Dar es salaam,Tanzania
6046,0.051482046,123485,1956,Dar es salaam,Tanzania
5743,0.051416344,117439,1955,Dar es salaam,Tanzania
5462,0.051414801,111696,1954,Dar es salaam,Tanzania
5188,0.051342953,106234,1953,Dar es salaam,Tanzania
8074,0.086843351,101046,1952,Dar es salaam,Tanzania
9128,0.108868852,92972,1951,Dar es salaam,Tanzania
0,0.0,83844,1950,Dar es salaam,Tanzania
