population_growth,population_growth_Rate,population,Year,City,Country
62068,0.012780863,4918391,2035,ekurhuleni,South Africa
62816,0.013104393,4856323,2034,ekurhuleni,South Africa
63545,0.013434569,4793507,2033,ekurhuleni,South Africa
64245,0.013769588,4729962,2032,ekurhuleni,South Africa
64992,0.014126469,4665717,2031,ekurhuleni,South Africa
65736,0.014495294,4600725,2030,ekurhuleni,South Africa
66565,0.014896751,4534989,2029,ekurhuleni,South Africa
67550,0.015349224,4468424,2028,ekurhuleni,South Africa
68736,0.015866531,4400874,2027,ekurhuleni,South Africa
70012,0.016426544,4332138,2026,ekurhuleni,South Africa
71294,0.017011896,4262126,2025,ekurhuleni,South Africa
72505,0.01760545,4190832,2024,ekurhuleni,South Africa
73667,0.018213397,4118327,2023,ekurhuleni,South Africa
74723,0.018822213,4044660,2022,ekurhuleni,South Africa
75675,0.019432437,3969937,2021,ekurhuleni,South Africa
76324,0.019990896,3894262,2020,ekurhuleni,South Africa
76462,0.02043632,3817938,2019,ekurhuleni,South Africa
92622,0.02538386,3741476,2018,ekurhuleni,South Africa
90328,0.025383544,3648854,2017,ekurhuleni,South Africa
88093,0.025383864,3558526,2016,ekurhuleni,South Africa
85911,0.025383496,3470433,2015,ekurhuleni,South Africa
83785,0.025383725,3384522,2014,ekurhuleni,South Africa
81711,0.025383765,3300737,2013,ekurhuleni,South Africa
79688,0.025383696,3219026,2012,ekurhuleni,South Africa
77611,0.025348766,3139338,2011,ekurhuleni,South Africa
75691,0.025348321,3061727,2010,ekurhuleni,South Africa
73721,0.025313539,2986036,2009,ekurhuleni,South Africa
72095,0.025383597,2912315,2008,ekurhuleni,South Africa
70216,0.0253487,2840220,2007,ekurhuleni,South Africa
68480,0.025348655,2770004,2006,ekurhuleni,South Africa
66696,0.025313227,2701524,2005,ekurhuleni,South Africa
65226,0.025383698,2634828,2004,ekurhuleni,South Africa
63526,0.025348792,2569602,2003,ekurhuleni,South Africa
71940,0.029554635,2506076,2002,ekurhuleni,South Africa
94909,0.03575300175,2434136,2001,ekurhuleni,South Africa
91456,0.03575300175,2339227,2000,ekurhuleni,South Africa
87762,0.03575300175,2247771,1999,ekurhuleni,South Africa
84335,0.03575300175,2160009,1998,ekurhuleni,South Africa
96364,0.03575300175,2075674,1997,ekurhuleni,South Africa
130236,0.03575300175,1979310,1996,ekurhuleni,South Africa
121504,0.03575300175,1849074,1995,ekurhuleni,South Africa
113520,0.03575300175,1727570,1994,ekurhuleni,South Africa
105919,0.03575300175,1614050,1993,ekurhuleni,South Africa
99232,0.03575300175,1508131,1992,ekurhuleni,South Africa
49119,0.03575300175,1408899,1991,ekurhuleni,South Africa
27394,0.020560108,1359780,1990,ekurhuleni,South Africa
26806,0.020531871,1332386,1989,ekurhuleni,South Africa
26338,0.020588755,1305580,1988,ekurhuleni,South Africa
25772,0.020560524,1279242,1987,ekurhuleni,South Africa
25252,0.020559868,1253470,1986,ekurhuleni,South Africa
25122,0.020881127,1228218,1985,ekurhuleni,South Africa
24868,0.021106271,1203096,1984,ekurhuleni,South Africa
24321,0.021077089,1178228,1983,ekurhuleni,South Africa
23819,0.02107712,1153907,1982,ekurhuleni,South Africa
23295,0.021047296,1130088,1981,ekurhuleni,South Africa
22878,0.021106821,1106793,1980,ekurhuleni,South Africa
22374,0.021076906,1083915,1979,ekurhuleni,South Africa
21914,0.021078714,1061541,1978,ekurhuleni,South Africa
21429,0.021046005,1039627,1977,ekurhuleni,South Africa
21047,0.021107134,1018198,1976,ekurhuleni,South Africa
20583,0.021076873,997151,1975,ekurhuleni,South Africa
20158,0.021076735,976568,1974,ekurhuleni,South Africa
19715,0.021047406,956410,1973,ekurhuleni,South Africa
19362,0.021106839,936695,1972,ekurhuleni,South Africa
18936,0.021077541,917333,1971,ekurhuleni,South Africa
23671,0.027061045,898397,1970,ekurhuleni,South Africa
23917,0.028110892,874726,1969,ekurhuleni,South Africa
23326,0.028189099,850809,1968,ekurhuleni,South Africa
22656,0.028150149,827483,1967,ekurhuleni,South Africa
22035,0.02814924,804827,1966,ekurhuleni,South Africa
21403,0.028110467,782792,1965,ekurhuleni,South Africa
20875,0.028189879,761389,1964,ekurhuleni,South Africa
20274,0.02814895,740514,1963,ekurhuleni,South Africa
19720,0.028150517,720240,1962,ekurhuleni,South Africa
18466,0.027074103,700520,1961,ekurhuleni,South Africa
15029,0.022531389,682054,1960,ekurhuleni,South Africa
14677,0.022498728,667025,1959,ekurhuleni,South Africa
14355,0.022500247,652348,1958,ekurhuleni,South Africa
14020,0.022468921,637993,1957,ekurhuleni,South Africa
13749,0.022531071,623973,1956,ekurhuleni,South Africa
13428,0.022500151,610224,1955,ekurhuleni,South Africa
13132,0.022499246,596796,1954,ekurhuleni,South Africa
12826,0.022468721,583664,1953,ekurhuleni,South Africa
12578,0.02253072,570838,1952,ekurhuleni,South Africa
12285,0.02250103,558260,1951,ekurhuleni,South Africa
