City,Population,No.of Households,Avg Household size,country,year
Mombasa,1190987,378422,31,Kenya,2019
Kwale,858748,173176,50,Kenya,2019
Kilifi,1440958,298472,48,Kenya,2019
Tana River,314710,68242,46,Kenya,2019
Lamu,141909,37963,37,Kenya,2019
Taita-Taveta,335747,96429,35,Kenya,2019
Garissa,835482,141394,59,Kenya,2019
Wajir,775302,127932,61,Kenya,2019
Mandera,862079,125763,69,Kenya,2019
Marsabit,447150,77495,58,Kenya,2019
Isiolo,267997,58072,46,Kenya,2019
Meru,1535635,426360,36,Kenya,2019
Tharaka-Nithi,391303,109860,36,Kenya,2019
Embu,604769,182743,33,Kenya,2019
Kitui,1130134,262942,43,Kenya,2019
Machakos,1414022,402466,35,Kenya,2019
Makueni,977015,244669,40,Kenya,2019
Nyandarua,636002,179686,35,Kenya,2019
Nyeri,752695,248050,30,Kenya,2019
Kirinyaga,605630,204188,30,Kenya,2019
Murang'a,1053059,318105,33,Kenya,2019
Kiambu,2402834,795241,30,Kenya,2019
Turkana,922210,164519,56,Kenya,2019
West Pokot,618867,116182,53,Kenya,2019
Samburu,307957,65910,47,Kenya,2019
Trans Nzoia,985333,223808,44,Kenya,2019
Uasin Gishu,1152671,304943,38,Kenya,2019
Elgeyo-Marakwet,453403,99861,45,Kenya,2019
Nandi,883634,199426,44,Kenya,2019
Baringo,662760,142518,47,Kenya,2019
Laikipia,513879,149271,34,Kenya,2019
Nakuru,2142667,616046,35,Kenya,2019
Narok,1149379,241125,48,Kenya,2019
Kajiado,1107296,316179,35,Kenya,2019
Kericho,896863,206036,44,Kenya,2019
Bomet,873023,187641,47,Kenya,2019
Kakamega,1861332,433207,43,Kenya,2019
Vihiga,587189,143365,41,Kenya,2019
Bungoma,1663898,358796,46,Kenya,2019
Busia,886856,198152,45,Kenya,2019
Siaya,989708,250698,39,Kenya,2019
Kisumu,1144777,300745,38,Kenya,2019
Homa Bay,1125823,262036,43,Kenya,2019
Migori,1108950,240168,46,Kenya,2019
Kisii,1260509,308054,41,Kenya,2019
Nyamira,603051,150669,40,Kenya,2019
Nairobi,4337080,1506888,29,Kenya,2019
