City,Population_Density,Country,Year
Baringo,50.44,Kenya,2009
Bomet,293.04,Kenya,2009
Bungoma,453.49,Kenya,2009
Busia,438.9,Kenya,2009
Elgeyo-Marakwet,122.12,Kenya,2009
Embu,183.18,Kenya,2009
Garissa,14.1,Kenya,2009
Homa Bay,302.77,Kenya,2009
Isiolo,5.66,Kenya,2009
Kajiado,31.38,Kenya,2009
Kakamega,544.26,Kenya,2009
Kericho,305.91,Kenya,2009
Kiambu,638.23,Kenya,2009
Kilifi,88.01,Kenya,2009
Kirinyaga,357.01,Kenya,2009
Kisii,874.58,Kenya,2009
Kisumu,464.5,Kenya,2009
Kitui,33.21,Kenya,2009
Kwale,78.59,Kenya,2009
Laikipia,42.19,Kenya,2009
Lamu,16.19,Kenya,2009
Machakos,176.96,Kenya,2009
Makueni,110.45,Kenya,2009
Mandera,39.47,Kenya,2009
Marsabit,4.1,Kenya,2009
Meru,195.54,Kenya,2009
Migori,353.24,Kenya,2009
Mombasa,4292.09,Kenya,2009
Murang'A,368.37,Kenya,2009
Nairobi,4514.96,Kenya,2009
Nakuru,213.92,Kenya,2009
Nandi,261.07,Kenya,2009
Narok,47.45,Kenya,2009
Nyamira,665.22,Kenya,2009
Nyandarua,183.74,Kenya,2009
Nyeri,207.83,Kenya,2009
Samburu,10.65,Kenya,2009
Siaya,332.88,Kenya,2009
Taita-Taveta,16.66,Kenya,2009
Tana River,6.25,Kenya,2009
Tharaka Nithi,138.44,Kenya,2009
Trans-Nzoia,328.09,Kenya,2009
Turkana,12.45,Kenya,2009
Uasin Gishu,267.3,Kenya,2009
Vihiga,1044.68,Kenya,2009
Wajir,11.68,Kenya,2009
West Pokot,55.91,Kenya,2009
