,Population,Annual Change,Year,Country,City
0,138000,5.3,1950,Angola,Luanda
1,145000,5.07,1951,Angola,Luanda
2,152000,4.83,1952,Angola,Luanda
3,159000,4.61,1953,Angola,Luanda
4,166000,4.4,1954,Angola,Luanda
5,174000,4.82,1955,Angola,Luanda
6,182000,4.6,1956,Angola,Luanda
7,191000,4.95,1957,Angola,Luanda
8,200000,4.71,1958,Angola,Luanda
9,210000,5.0,1959,Angola,Luanda
10,219000,4.29,1960,Angola,Luanda
11,233000,6.39,1961,Angola,Luanda
12,251000,7.73,1962,Angola,Luanda
13,271000,7.97,1963,Angola,Luanda
14,292000,7.75,1964,Angola,Luanda
15,315000,7.88,1965,Angola,Luanda
16,340000,7.94,1966,Angola,Luanda
17,366000,7.65,1967,Angola,Luanda
18,395000,7.92,1968,Angola,Luanda
19,426000,7.85,1969,Angola,Luanda
20,459000,7.75,1970,Angola,Luanda
21,489000,6.54,1971,Angola,Luanda
22,514000,5.11,1972,Angola,Luanda
23,541000,5.25,1973,Angola,Luanda
24,569000,5.18,1974,Angola,Luanda
25,599000,5.27,1975,Angola,Luanda
26,630000,5.18,1976,Angola,Luanda
27,662000,5.08,1977,Angola,Luanda
28,697000,5.29,1978,Angola,Luanda
29,733000,5.16,1979,Angola,Luanda
30,771000,5.18,1980,Angola,Luanda
31,811000,5.19,1981,Angola,Luanda
32,854000,5.3,1982,Angola,Luanda
33,898000,5.15,1983,Angola,Luanda
34,964000,7.35,1984,Angola,Luanda
35,1035000,7.37,1985,Angola,Luanda
36,1111000,7.34,1986,Angola,Luanda
37,1192000,7.29,1987,Angola,Luanda
38,1279000,7.3,1988,Angola,Luanda
39,1373000,7.35,1989,Angola,Luanda
40,1474000,7.36,1990,Angola,Luanda
41,1582000,7.33,1991,Angola,Luanda
42,1698000,7.33,1992,Angola,Luanda
43,1822000,7.3,1993,Angola,Luanda
44,1941000,6.53,1994,Angola,Luanda
45,2066000,6.44,1995,Angola,Luanda
46,2200000,6.49,1996,Angola,Luanda
47,2343000,6.5,1997,Angola,Luanda
48,2495000,6.49,1998,Angola,Luanda
49,2656000,6.45,1999,Angola,Luanda
50,2829000,6.51,2000,Angola,Luanda
51,3012000,6.47,2001,Angola,Luanda
52,3207000,6.47,2002,Angola,Luanda
53,3415000,6.49,2003,Angola,Luanda
54,3637000,6.5,2004,Angola,Luanda
55,3872000,6.46,2005,Angola,Luanda
56,4123000,6.48,2006,Angola,Luanda
57,4390000,6.48,2007,Angola,Luanda
58,4675000,6.49,2008,Angola,Luanda
59,4978000,6.48,2009,Angola,Luanda
60,5300000,6.47,2010,Angola,Luanda
61,5644000,6.49,2011,Angola,Luanda
62,6010000,6.48,2012,Angola,Luanda
63,6399000,6.47,2013,Angola,Luanda
64,6789000,6.09,2014,Angola,Luanda
65,7023000,3.45,2015,Angola,Luanda
66,7265000,3.45,2016,Angola,Luanda
67,7515000,3.44,2017,Angola,Luanda
68,7774000,3.45,2018,Angola,Luanda
69,8045000,3.49,2019,Angola,Luanda
70,8330000,3.54,2020,Angola,Luanda
71,8632000,3.63,2021,Angola,Luanda
72,8952000,3.71,2022,Angola,Luanda
73,9292000,3.8,2023,Angola,Luanda
74,9651000,3.86,2024,Angola,Luanda
75,10028000,3.91,2025,Angola,Luanda
76,10421000,3.92,2026,Angola,Luanda
77,10830000,3.92,2027,Angola,Luanda
78,11251000,3.89,2028,Angola,Luanda
79,11684000,3.85,2029,Angola,Luanda
80,12129000,3.81,2030,Angola,Luanda
81,12583000,3.74,2031,Angola,Luanda
82,13047000,3.69,2032,Angola,Luanda
83,13521000,3.63,2033,Angola,Luanda
84,14004000,3.57,2034,Angola,Luanda
85,14495000,3.51,2035,Angola,Luanda
