,Year,Population,Yearly %,Yearly,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban (Pop %),Urban Population,Country's Share of World Pop,World Population,Global Rank,Country
0,2050,129386839.0,2.28,2758164.0,-22554,22.3,4.92,146.0,59.2,76542196.0,1.33,9735033990.0,15,Tanzania
1,2045,115596020.0,2.42,2601898.0,-40154,21.5,4.92,130.0,55.7,64407122.0,1.22,9481803274.0,15,Tanzania
2,2040,102586529.0,2.56,2434187.0,-40132,20.7,4.92,116.0,52.2,53579195.0,1.12,9198847240.0,17,Tanzania
3,2035,90415596.0,2.69,2250574.0,-40116,20.0,4.92,102.0,48.7,44000950.0,1.02,8887524213.0,19,Tanzania
4,2030,79162725.0,2.81,2045712.0,-40102,19.3,4.92,89.0,44.9,35529056.0,0.93,8548487400.0,20,Tanzania
5,2025,68934163.0,2.91,1839989.0,-40086,18.6,4.92,78.0,41.0,28244987.0,0.84,8184437460.0,22,Tanzania
6,2020,59734218.0,2.98,1728755.0,-40076,18.0,4.92,67.0,37.0,22113353.0,0.77,7794798739.0,24,Tanzania
7,2019,58005463.0,3.0,1692025.0,-40076,17.6,5.17,65.0,36.2,21015391.0,0.75,7713468100.0,25,Tanzania
8,2018,56313438.0,3.02,1653099.0,-40076,17.6,5.17,64.0,35.4,19958545.0,0.74,7631091040.0,25,Tanzania
9,2017,54660339.0,3.04,1611109.0,-40076,17.6,5.17,62.0,34.7,18942828.0,0.72,7547858925.0,25,Tanzania
10,2016,53049230.0,3.04,1566597.0,-40076,17.6,5.17,60.0,33.9,17968436.0,0.71,7464022049.0,25,Tanzania
11,2015,51482633.0,3.03,1427222.0,-50087,17.6,5.24,58.0,33.1,17035213.0,0.7,7379797139.0,26,Tanzania
12,2010,44346525.0,2.89,1179241.0,-100171,17.4,5.58,50.0,29.2,12959969.0,0.64,6956823603.0,30,Tanzania
13,2005,38450320.0,2.8,990228.0,-60105,17.4,5.66,43.0,25.5,9791527.0,0.59,6541907027.0,31,Tanzania
14,2000,33499180.0,2.47,770009.0,-80141,17.4,5.75,38.0,22.8,7624725.0,0.55,6143493823.0,32,Tanzania
15,1995,29649135.0,3.3,889058.0,116819,17.2,6.05,33.0,20.8,6154968.0,0.52,5744212979.0,32,Tanzania
16,1990,25203845.0,3.1,714010.0,13623,17.0,6.36,28.0,19.1,4807840.0,0.47,5327231061.0,34,Tanzania
17,1985,21633796.0,3.14,619107.0,7012,16.9,6.55,24.0,16.9,3661481.0,0.44,4870921740.0,36,Tanzania
18,1980,18538259.0,3.14,530606.0,-5008,16.8,6.73,21.0,14.7,2719241.0,0.42,4458003514.0,36,Tanzania
19,1975,15885229.0,3.25,469950.0,24040,16.8,6.75,18.0,11.2,1781210.0,0.39,4079480606.0,38,Tanzania
20,1970,13535481.0,3.07,380130.0,7212,17.0,6.79,15.0,7.9,1068352.0,0.37,3700437046.0,38,Tanzania
21,1965,11634832.0,2.97,316536.0,5008,17.1,6.8,13.0,6.1,704473.0,0.35,3339583597.0,46,Tanzania
22,1960,10052152.0,2.86,264498.0,2003,17.1,6.8,11.0,5.3,528498.0,0.33,3034949748.0,42,Tanzania
23,1955,8729662.0,2.68,215980.0,2003,17.1,6.74,10.0,4.4,385389.0,0.31,2773019936.0,46,Tanzania
24,2020,32866272.0,0.0327,1040977.0,6413,16.7,5.55,26.0,0.667,21936953.0,0.0042,7794798739.0,44,Angola
25,2019,31825295.0,0.033,1015508.0,6413,16.4,5.91,26.0,0.661,21035940.0,0.0041,7713468100.0,45,Angola
26,2018,30809787.0,0.0333,993021.0,6413,16.4,5.91,25.0,0.654,20161538.0,0.004,7631091040.0,45,Angola
27,2017,29816766.0,0.0338,974277.0,6413,16.4,5.91,24.0,0.648,19311639.0,0.004,7547858925.0,45,Angola
28,2016,28842489.0,0.0344,958108.0,6413,16.4,5.91,23.0,0.641,18483603.0,0.0039,7464022049.0,46,Angola
29,2015,27884381.0,0.0361,905627.0,33253,16.4,6.0,22.0,0.634,17675745.0,0.0038,7379797139.0,46,Angola
30,2010,23356246.0,0.0375,784529.0,71460,16.4,6.35,19.0,0.598,13970854.0,0.0034,6956823603.0,50,Angola
31,2005,19433602.0,0.0346,607626.0,52220,16.4,6.55,16.0,0.563,10949424.0,0.003,6541907027.0,55,Angola
32,2000,16395473.0,0.0329,490053.0,39960,16.3,6.75,13.0,0.502,8234824.0,0.0027,6143493823.0,57,Angola
33,1995,13945206.0,0.0331,419364.0,28562,16.1,7.1,11.0,0.452,6302478.0,0.0024,5744212979.0,60,Angola
34,1990,11848386.0,0.0353,377278.0,37698,16.1,7.4,10.0,0.382,4520997.0,0.0022,5327231061.0,59,Angola
35,1985,9961997.0,0.0362,324142.0,46830,16.3,7.46,8.0,0.323,3218567.0,0.002,4870921740.0,64,Angola
36,1980,8341289.0,0.035,263458.0,39960,16.8,7.46,7.0,0.26,2169810.0,0.0019,4458003514.0,69,Angola
37,1975,7024000.0,0.0358,226727.0,39960,16.9,7.5,6.0,0.209,1469515.0,0.0017,4079480606.0,72,Angola
38,1970,5890365.0,0.0041,23959.0,-117457,17.6,7.3,5.0,0.172,1013531.0,0.0016,3700437046.0,75,Angola
39,1965,5770570.0,0.0113,63127.0,-59343,18.4,6.9,5.0,0.134,775667.0,0.0017,3339583597.0,68,Angola
40,1960,5454933.0,0.0158,82337.0,-34577,20.2,6.5,4.0,0.108,588842.0,0.0018,3034949748.0,68,Angola
41,1955,5043247.0,0.0209,99045.0,0,19.6,6.0,4.0,0.09,455428.0,0.0018,2773019936.0,68,Angola
42,2050,159956808.0,1.25,1920351.0,-45745,29.7,3.33,161.0,53.3,85320777.0,1.64,9735033990.0,11,Egypt
43,2045,150355053.0,1.39,2000934.0,-30000,28.5,3.33,151.0,50.8,76439477.0,1.59,9481803274.0,12,Egypt
44,2040,140350381.0,1.49,2002003.0,-30000,27.3,3.33,141.0,48.3,67730752.0,1.53,9198847240.0,13,Egypt
45,2035,130340364.0,1.53,1901761.0,-30000,26.2,3.33,131.0,46.0,59988198.0,1.47,8887524213.0,14,Egypt
46,2030,120831557.0,1.58,1820747.0,-40000,25.6,3.33,121.0,44.4,53613464.0,1.41,8548487400.0,14,Egypt
47,2025,111727822.0,1.77,1878684.0,-40000,25.1,3.33,112.0,43.3,48427431.0,1.37,8184437460.0,14,Egypt
48,2020,102334404.0,1.94,1946331.0,-38033,24.6,3.33,103.0,43.0,44041052.0,1.31,7794798739.0,14,Egypt
49,2019,100388073.0,2.0,1964475.0,-38033,24.3,3.43,101.0,43.1,43229498.0,1.3,7713468100.0,14,Egypt
50,2018,98423598.0,2.05,1981007.0,-38033,24.3,3.43,99.0,43.1,42437529.0,1.29,7631091040.0,14,Egypt
51,2017,96442591.0,2.11,1995518.0,-38033,24.3,3.43,97.0,43.2,41659745.0,1.28,7547858925.0,14,Egypt
52,2016,94447073.0,2.17,2004526.0,-38033,24.3,3.43,95.0,43.3,40889370.0,1.27,7464022049.0,14,Egypt
53,2015,92442547.0,2.24,1936262.0,-56189,24.3,3.45,93.0,43.4,40123329.0,1.25,7379797139.0,15,Egypt
54,2010,82761235.0,1.85,1447533.0,-56715,23.7,3.02,83.0,43.7,36182597.0,1.19,6956823603.0,15,Egypt
55,2005,75523569.0,1.87,1338402.0,-14893,22.5,3.15,76.0,43.7,33035354.0,1.15,6541907027.0,16,Egypt
56,2000,68831561.0,2.0,1299505.0,-42180,21.1,3.6,69.0,43.5,29917321.0,1.12,6143493823.0,15,Egypt
57,1995,62334034.0,2.12,1239912.0,-92081,20.2,4.15,63.0,43.8,27278501.0,1.09,5744212979.0,15,Egypt
58,1990,56134475.0,2.65,1375149.0,-42437,19.7,5.0,56.0,44.5,24961581.0,1.05,5327231061.0,20,Egypt
59,1985,49258732.0,2.61,1189934.0,-78586,19.5,5.49,49.0,44.8,22059000.0,1.01,4870921740.0,20,Egypt
60,1980,43309063.0,2.36,951984.0,-119059,19.4,5.7,44.0,44.7,19340901.0,0.97,4458003514.0,21,Egypt
61,1975,38549142.0,2.24,807058.0,-111836,19.2,6.0,39.0,44.0,16964582.0,0.94,4079480606.0,21,Egypt
62,1970,34513850.0,2.55,816166.0,-47940,19.1,6.45,35.0,42.1,14536071.0,0.93,3700437046.0,21,Egypt
63,1965,30433022.0,2.7,760026.0,-10020,19.0,6.65,31.0,40.3,12253382.0,0.91,3339583597.0,22,Egypt
64,1960,26632894.0,2.78,681954.0,-10020,19.9,6.75,27.0,38.4,10221871.0,0.88,3034949748.0,22,Egypt
65,1955,23223124.0,2.57,554229.0,-10020,20.7,6.75,23.0,35.3,8194766.0,0.84,2773019936.0,22,Egypt
66,2050,75517920.0,0.51,379675.0,90234,33.9,2.41,62.0,76.9,58056843.0,0.78,9735033990.0,25,South Africa
67,2045,73619543.0,0.62,448848.0,58397,32.7,2.41,61.0,75.3,55447449.0,0.78,9481803274.0,23,South Africa
68,2040,71375305.0,0.73,511264.0,59663,31.6,2.41,59.0,73.7,52625241.0,0.78,9198847240.0,24,South Africa
69,2035,68818987.0,0.85,572581.0,76008,30.5,2.41,57.0,72.1,49631106.0,0.77,8887524213.0,24,South Africa
70,2030,65956081.0,0.98,630680.0,91759,29.6,2.41,54.0,70.4,46457072.0,0.77,8548487400.0,24,South Africa
