Country name,Year,Aggregation level,Sub-national region name,Number of individual cases in dataset for region,Number of households in dataset for region,% population in urban areas
Angola,2000.0,National,Total,30117.0,6250.0,69.77
Angola,2000.0,Urb/rur,Rural,9104.0,2134.0,0.0
Angola,2000.0,Urb/rur,Urban,21013.0,4116.0,100.0
Angola,2000.0,Poverty,Nonpoor,4941.0,770.0,98.33
Angola,2000.0,Poverty,Poor,25168.0,5481.0,64.18
Angola,2000.0,Wealth quartiles,Lowest 25%,6276.0,1545.0,23.94
Angola,2000.0,Wealth quartiles,Second 25%,7039.0,1588.0,66.72
Angola,2000.0,Wealth quartiles,Third 25%,7748.0,1555.0,80.55
Angola,2000.0,Wealth quartiles,Highest 25%,9046.0,1562.0,94.75
Angola,2011.0,National,Total,40678.0,8030.0,41.09
Angola,2011.0,Urb/rur,Rural,23963.0,4995.0,0.0
Angola,2011.0,Urb/rur,Urban,16715.0,3035.0,100.0
Angola,2011.0,Poverty,Nonpoor,14590.0,2520.0,91.13
Angola,2011.0,Poverty,Poor,26082.0,5509.0,13.11
Angola,2011.0,Subnat, Cabinda,505.0,95.0,67.25
Angola,2011.0,Subnat, Zaire,676.0,158.0,0.0
Angola,2011.0,Subnat, Uige,2952.0,566.0,26.26
Angola,2011.0,Subnat, Luanda,10146.0,1816.0,97.1
Angola,2011.0,Subnat, Kuanza Norte,971.0,228.0,30.49
Angola,2011.0,Subnat, Kuanza Sul,1568.0,389.0,5.48
Angola,2011.0,Subnat, Malange,1739.0,429.0,7.58
Angola,2011.0,Subnat, Lunda Norte,1057.0,240.0,0.0
Angola,2011.0,Subnat, Benguela,4800.0,883.0,52.18
Angola,2011.0,Subnat, Huambo,4469.0,835.0,16.92
Angola,2011.0,Subnat, Bie,2334.0,523.0,0.0
Angola,2011.0,Subnat, Moxico,1016.0,214.0,0.0
Angola,2011.0,Subnat, Kuando Kubango,222.0,58.0,0.0
Angola,2011.0,Subnat, Namibe,937.0,160.0,51.25
Angola,2011.0,Subnat, Huila,3964.0,718.0,31.61
